D_minus_1_issue_time,FULL_node_temporal_jobs,NORMAL_QUEUE_CONTROLLED_jobs,PARTIAL_shared_temporal_jobs,PARTIAL_shared_temporal_requested_GPU_hours,STANDBY_QUEUE_CONTROLLED_jobs,eligible_jobs,excluded_jobs,fail_closed_duration_jobs,invalid_resource_request_exclusions,operating_day,pending_jobs,running_jobs,snapshot_jobs,temporal_RSP_duration_GPU_hours,temporal_controllable_jobs,temporal_requested_GPU_hours,unknown_GPU_request_exclusions,source_snapshot_sha256,runtime_authority_sha256,RW_active_GPU_trajectory_sha256,RSP_active_GPU_trajectory_sha256,CENTER_IT_power_trajectory_sha256,C1_PCC_P_trajectory_sha256,C1_PCC_Q_trajectory_sha256,status
2025-05-10T18:00:00+10:00,94,1598,3047,80102.0,1543,3525,288,0,0,2025-05-11,3143,382,3813,24249.25,3141,90050.0,288,f7082c4ba81ffca1b6aa9ff2741becadc19bf915cbd3784a6a09d17f8d6db9ff,0d203ea5d739fc816dcf4b2325bb9aff61f2dfad602c1f213a0d0ffac346c9ec,40137bb8575a2bcac93ac62f5bcfa7fac4388c9c831c19a6485df5db78f2514a,656e17dfcf5ebf04a10dca7b475d9e8e6d628e6727b13bc7d5f1f325ffde76ef,9b97282ed5eac98da3c76b2738c25d6fa7df30c2094eba7171390755aa03dd9c,76fec2f08d5fa47276186e86ca6739b50702a674ca13d259cd2d26c462ddf507,f77b81fef7234620ee019e55daaa0ca110a3d1d3083d864ceb21e77b66200806,READY
2025-05-11T18:00:00+10:00,11,246,1767,47024.0,1532,1937,953,0,0,2025-05-12,1778,159,2890,14238.75,1778,49680.0,953,4c2cadff68f55d069acf52071f500d4d068973a886d1c3b11da5d04f439f14d6,0d203ea5d739fc816dcf4b2325bb9aff61f2dfad602c1f213a0d0ffac346c9ec,83777eb456b65050b00e7f3beeaacd345cab6b3ac2241731e14432c4c932f4f8,83777eb456b65050b00e7f3beeaacd345cab6b3ac2241731e14432c4c932f4f8,212abf19c174a4a7c2dddcb5a58dc280b0a2d3e60583a2e6d0fa7e73848629ad,c2636338e71427570df3c7916a6809877420cf93431e17b2aa16dd44057c7af6,6429f5c3b4b01d90d8f4e167d170571b8de746ca2b11532ca9317031eaed8a4a,READY
2025-05-12T18:00:00+10:00,0,24,1200,15372.0,1176,1534,1093,0,0,2025-05-13,1201,333,2627,7661.0,1200,15372.0,1093,5679218427e56751cb12ffe471659dc43a123a05b2fe4f5c0a1d40191e01c27b,0d203ea5d739fc816dcf4b2325bb9aff61f2dfad602c1f213a0d0ffac346c9ec,83777eb456b65050b00e7f3beeaacd345cab6b3ac2241731e14432c4c932f4f8,bd00e89ebc9b789d1d9214696bd4ffe0b1adebe1b35aba60e251b61ca3158935,043e32118dcb142a9612b11751311b7b2118bd38f3fdba5d95069846360a932a,13486f399c9ebda0adf9e757c685a8b73832f52a6573872a132399357a81d269,ca23ca068ba9082e812b952f0c343d1d0355f42a78ddc6a5029d054284af16b0,READY
2025-05-13T18:00:00+10:00,8,4,1708,28452.0,1712,2018,0,0,0,2025-05-14,1716,302,2018,16355.0,1716,30324.0,0,addd5c17d5bf0062880aad28a389c66534712f310303b7db900708954ceb332a,0d203ea5d739fc816dcf4b2325bb9aff61f2dfad602c1f213a0d0ffac346c9ec,83777eb456b65050b00e7f3beeaacd345cab6b3ac2241731e14432c4c932f4f8,83777eb456b65050b00e7f3beeaacd345cab6b3ac2241731e14432c4c932f4f8,212abf19c174a4a7c2dddcb5a58dc280b0a2d3e60583a2e6d0fa7e73848629ad,ba49bdee37bbdbb63302ecf9d9efd8cb3bcec44a3df85a94b6bd06272f506464,6b0dce04a700d85a35980cd9a6db54a848740d93652ad15af7047fb9e6930a17,READY
2025-05-14T18:00:00+10:00,11,160,1584,19266.0,1435,1847,0,0,0,2025-05-15,1596,251,1847,12006.25,1595,21954.0,0,565e745816a48c7f205772ec6dd2e7d28ea338590883f4a8bc5ed54cca1de90c,0d203ea5d739fc816dcf4b2325bb9aff61f2dfad602c1f213a0d0ffac346c9ec,83777eb456b65050b00e7f3beeaacd345cab6b3ac2241731e14432c4c932f4f8,7eddca19f6808206be5f8860510fb2778817ebd1c6f95f117d26c9d3a243e430,76efcb5fd9d9fcdd1468bd3eea0d9027f2e2f05a0287e1df9e6960fc47868cf2,4b4a52846732ff24d5fdcf0e69f9126db0fb9f62a9f96d7de4165ba4548ab272,9186e50f4153fd51ac585db69c9d82e0a48540ef834ada9e849cdda1a8be8e44,READY
2025-05-15T18:00:00+10:00,0,0,1056,12708.0,1056,1399,0,0,0,2025-05-16,1056,343,1399,6588.75,1056,12708.0,0,b26916b9cef6cc808b8f426a5c1eec6d01bcf0c5aa162106d550a318870473e8,0d203ea5d739fc816dcf4b2325bb9aff61f2dfad602c1f213a0d0ffac346c9ec,83777eb456b65050b00e7f3beeaacd345cab6b3ac2241731e14432c4c932f4f8,5ab758f05d67cfff4e47f4f3ecc779a4eb8dbe8bf7b4995e55f056c0eadfafc1,b00bcae700719243e02d19b066694a1f2f954ba940763f18c0634bf1e71483b7,01f3bdc4668a044e3eeaf016dc39495b4d0f606e06354dceaeecc816f60e14fb,e1363ccf6302b5326762f52aaca53b2bbb1f3834d730ae41fe5ec62cef3e5145,READY
2025-05-16T18:00:00+10:00,0,1644,2023,11228.0,379,2281,0,0,0,2025-05-17,2023,258,2281,8943.5,2023,11228.0,0,00ae0a87ff8582569081b502c1da48a52187cd2f72b4b934cb9e9ceac6ada071,0d203ea5d739fc816dcf4b2325bb9aff61f2dfad602c1f213a0d0ffac346c9ec,eceb96ec5620805b1133933c05a745730d79ddc7eea0e4e9ef9352913c52669e,f1a12c96c529268a9c8ab3c5234aaa3086a06e9fd32f6054fb9edc78afdd631e,3dfe6be3e7e9d32490bfcca3a97e990cf203909390a32657eee347da71d9a67e,495780b08866b5115604b6a34da82e3690aed3a7ca9ede27e835c142561a07a3,a2d25f351965f1fac367548d80f85ea4e7f0e842465559495d1b30e8aba23e55,READY
2025-05-17T18:00:00+10:00,77,72,1061,13008.0,1066,1264,240,0,0,2025-05-18,1138,126,1504,16556.0,1138,37364.0,240,131c5ec07191415f225e9cae978db40658a01dba4ac8452b1b87624b72ca0230,0d203ea5d739fc816dcf4b2325bb9aff61f2dfad602c1f213a0d0ffac346c9ec,f0c65f4bb4118368be0a99b4c359fb8a6c72fe353b6a8c1108d23b12a862aba8,b5f42e369ea83e140dcaa2d5461cebc5f0e97d6370142141128ecf5556d0f297,6484aa6b5f78030bfb99f055e01cdcf89a434fce7b6e08554790e91e371dff47,ff666ac73c0bf56fc0a575d30e9ce6bbbc5dba0bfd2ee96020fe37ae71d90f3b,c6d019cc8549ab98f42aa9e12c22b7139c2c168d50e4b7bf775b3e89a624e69e,READY
2025-05-18T18:00:00+10:00,70,66,921,11297.5,925,1152,240,0,0,2025-05-19,997,155,1392,13402.5,991,32398.166666666664,240,c5c785c3e9fc86985164cc80158b9911a22e5a7f211dd16eb7e0c4cff88e192b,0d203ea5d739fc816dcf4b2325bb9aff61f2dfad602c1f213a0d0ffac346c9ec,b4b8c415131a3af9b8441dd0017e8c082aadf6d21d9dd75ebd2e88e0893df8ca,0eb6876891b076891a48a1de9f16cddb9ae67d476344ff1c86d0809f5ca6d209,d2829f5e401083c16c91c7ca03724ecf95f9112582c97d7eef506e288e1f1153,bd526e19090cb05a0151bda196899cb5cce6cda2d66f67773dd3bd59be25d70f,8c391a1b8ac641b61dfc84f6a6894cfba595ad4445cdde07818e6917e056789f,READY
2025-05-19T18:00:00+10:00,17,9,756,14044.0,764,972,240,0,0,2025-05-20,773,199,1212,8891.75,773,19389.333333333332,240,d5ff452b53cfae7438626eae5d48e068c6f1859033cbd2e29ec6f6a9ab5620d3,0d203ea5d739fc816dcf4b2325bb9aff61f2dfad602c1f213a0d0ffac346c9ec,1643cd5b6f7451e861b6f48527e0ec9f7059b521c165a3c563d01bca8f4344b9,6b42ce29367b66aa876e07ec50ae7ad1548a5c10f5a34b08e41d0f2946ecd1ec,19a440cadfb3a6b9d777db1d559118e6a2cce26ded81e0d4279a264745e54ec9,7c8e17694ead8cbccc879b776cdf9a98251b8d80567f033f8d7b43226febe6f7,102296669d34f6464f2607fc9df8a806e347dafca396f40849cebac747fa36b8,READY
2025-05-20T18:00:00+10:00,314,193,262,8136.0,383,708,16,0,0,2025-05-21,576,132,724,146605.5,576,460340.00000000006,16,5d800d4e2e1c88fd352fb5cb21285358f237826509c5b3e4a15cdea179507835,0d203ea5d739fc816dcf4b2325bb9aff61f2dfad602c1f213a0d0ffac346c9ec,15bfdf054066005381caebe20f1ac017ff6be9a3bb6496484780dd73a261d7fd,b5dfd1912ab5ee371b0c72b93d42a908a2a98c34ccb0f29416c7238cbebedf5e,4054e0d74ec8a9b26d3e4987a6a15fb5b1443c2aab627be797beb8998ee3c206,d41a87a125558b2daea801e1a89231999e94da9ad0b0a7d939f7a06c22d38bf9,b7b1d6521e8cf85ab6a1756acc4d0835870dad0f8516b1f35f946c64c5bc1dcc,READY
2025-05-21T18:00:00+10:00,252,131,266,7880.0,387,640,16,0,0,2025-05-22,518,122,656,129611.75,518,383106.6666666666,16,873cdf358fefa1db31df1c37a5ed060dbba70817c8bb4bcc37c6327d8ea4959d,0d203ea5d739fc816dcf4b2325bb9aff61f2dfad602c1f213a0d0ffac346c9ec,bfca46c219ed053f16ad42468a515adb66a1f5673f66574bdbc12158e8682f6a,0a2a409ed3a7f8a23d46436cead16491a920c2393fdc50ba13faac9676c76aed,bcc6b159e292078f9a3973fb396139396ba0b8f39f47f52daf582719d0e27018,436df516fc91a68d16caece5510be916bfa36df573cefb9bad3be093f1fd58f3,cc1b671bf7a9cb9f9de4a71cc423c7f44e554c6ed29abc6f7c2d90b287821c63,READY
2025-05-22T18:00:00+10:00,244,119,208,7368.0,333,585,16,0,0,2025-05-23,453,132,601,112339.5,452,307133.33333333326,16,feafb5b81666f8ed742ccb955a908ab901e936cfff80d3c3386397e66bd0d3f8,0d203ea5d739fc816dcf4b2325bb9aff61f2dfad602c1f213a0d0ffac346c9ec,74221d7b4ebee34bed0da7161f820fa2e7a41348dbe797ea3719176cd37ff390,7fbd210946407aaa85e5c7113630739efb78ee6aaa9c6df99eaae526fe65bc9d,330c95470b5d01199420a8ef847ae49806648f685f9bd1d8eef6d51bcf7ca3d8,8e145f29b6c044fb580105da7ebd05943dfaf4f716781560dea059f7c57febb6,19baae996f87a4c09035785043b3b935d3499b18f5e11e02135dc87e4a724dfc,READY
2025-05-23T18:00:00+10:00,152,28,128,6144.0,252,342,16,0,0,2025-05-24,280,62,358,96440.0,280,240557.33333333337,16,12a677e2ac5576487c87b16d468ee41864afdabf35d08956de6c74956f2a72ed,0d203ea5d739fc816dcf4b2325bb9aff61f2dfad602c1f213a0d0ffac346c9ec,5ede22c5dbe3a2de8ddb193ca4c27ff4107d28a98eb8e80eaada5a7992530016,513a8ff3e04da43081c37f64429b04b72ce01e36e6cf3376bfa71e5a472b7b9c,14619774eb3beb557901ea773a4b131c53e0787b729e6af85d6c65f9179c33e7,79383bd23154dcb75fb3e5020aeb29643dfff90f3a72e0173f5e5a04198d0f4c,a5a580d4b75219a47d11f2df23757724928313d792ec1c17ba0687ada74f2a94,READY
2025-05-24T18:00:00+10:00,121,1,129,6240.0,249,326,16,0,0,2025-05-25,250,76,342,84153.5,250,191594.6666666667,16,27ae90af52bde7706a7a5e0467359326f3ab0c183e1cb5a86360115f90cdc683,0d203ea5d739fc816dcf4b2325bb9aff61f2dfad602c1f213a0d0ffac346c9ec,03c0305a50f11ae98f062393c2e399fb49ccf3e3130d728e2a5587713a773d1a,14548e0c4610f995b0b817fb68e9d52606f06553437fd34d99064e95c9f50447,d4c2e0fd2aef622610b022775ac8279a9a4b7614ac8c816b35dd80d70c21b38e,4b5da4c1c2cc9526355e9e808f18a28eecc960ae024754eef1fc9c2302de24e5,6e51a918b56033d08f3fbfc61b941a2632429cef0f7e4f939183222d2d1eb46a,READY
2025-05-25T18:00:00+10:00,93,3,47,2400.0,137,249,16,0,0,2025-05-26,140,109,265,64033.25,140,143536.0,16,962e43f5e1b25611c6996a273a8b3c107c92b5e89dbf9a5bc9c84d4b6425754e,0d203ea5d739fc816dcf4b2325bb9aff61f2dfad602c1f213a0d0ffac346c9ec,84d334539635bf9613f6b43098db0475d77801beb70e091bc9cc7d198a917369,bc696e2a9eb9cb7ad0a61c14c9e1fff0604f1294a4bb88c9321c6695b2f535af,abf4453802c8df84b239cc423d55a44e3c1369fc486481ebffc94078d4c07e21,5055254439cc9845365b988837be61c390171ac9b2fa9b0b66a7229a4b5cb95c,d3db61d06cb2ab8c0b63a19d9b99eeb78e617d23ea9f73c376e59b83f1fb582c,READY
2025-05-26T18:00:00+10:00,68,0,0,0.0,68,140,27,0,0,2025-05-27,68,72,167,47960.0,68,105613.33333333331,27,8e92d33d87d00a13d1187db7b5138d124dd86dc6e0f1dae2ad6c9634780fc584,0d203ea5d739fc816dcf4b2325bb9aff61f2dfad602c1f213a0d0ffac346c9ec,e6d83c570b5bcd4fc3f1563526a41e2ad7d01343ffc655d4137144ddeb62797a,e6d83c570b5bcd4fc3f1563526a41e2ad7d01343ffc655d4137144ddeb62797a,3b3d6218b15fe0c9aaef822a8a8150084dcf6a4c0d1268982dfe503711fb485d,5a33a5c3b7fd5aa6da326255af1ae8098a5988a92e6069ad50193424af1fa443,443254d9158304f08a873137fb1ffbda3f74fdd197252770daba86c7dbc9ac6d,READY
2025-05-27T18:00:00+10:00,43,0,0,0.0,43,101,16,0,0,2025-05-28,43,58,117,29240.0,43,65933.33333333333,16,427ef2e0a2f5412e41a08af36b0f252f9d0be2e6d9ea5a4e0e69ddc36d2fcd27,0d203ea5d739fc816dcf4b2325bb9aff61f2dfad602c1f213a0d0ffac346c9ec,f8f8c29c86f52d64d23113a65f0347372282b89c1f1893d254be2d376592d884,f8f8c29c86f52d64d23113a65f0347372282b89c1f1893d254be2d376592d884,7765762ac4bfcdc761e27101abce019861586bc698e2ad8b13d9963104477a88,eaf1525eb52e7f434cafaafe54c84ebad9627e949142292b4490d5e3226eacd7,e75edab0f572533f0bf64f23935ad6d4c5f45d8030f7671712e4144a3f82d594,READY
2025-05-28T18:00:00+10:00,19,0,0,0.0,19,117,18,0,0,2025-05-29,19,98,135,10952.0,19,23768.0,18,23fbacc3dc875b622d17155b77339ac4413873eaa8020422705cfb09765e06c8,0d203ea5d739fc816dcf4b2325bb9aff61f2dfad602c1f213a0d0ffac346c9ec,2e236d3e25bc0c3d165d2f88fef5ff173e715b3c95338b5bd3040a32d94a3495,e7903ae9d6c21419a1fccbb658cdbf5284e7c403e29acde997f2c2054060e487,5e1d0564963a8757fea20abb4e7687c4eb0713b63a11891f225b63b0063260d8,f820b42fa23eaa7cc46e8f87f8398f0a4d85566ed9b221bea492b27ed0969edc,1789ea1be998cf8e2d0173ac2a5c248a28fc6af4221f73f6befeb364f05623a0,READY
2025-05-29T18:00:00+10:00,0,0,0,0.0,0,144,0,0,0,2025-05-30,0,144,144,0.0,0,0.0,0,37ddb004f09e17d3b871972e66a41cf6050563c9a7c4bd3fc004657552cd2a24,0d203ea5d739fc816dcf4b2325bb9aff61f2dfad602c1f213a0d0ffac346c9ec,3cbaa8cca7e7a31060baa7606a171c84d24ebe1c6c6775f5db991f8c437b94b2,3cbaa8cca7e7a31060baa7606a171c84d24ebe1c6c6775f5db991f8c437b94b2,436c9a1d1d71ae9b118de34cfed2ed18b6506eec2492549bec3fb49a5eb0b1ce,49a40cbad7a673f5bfaf57774d1a7db8c6129175045dd2e801956b77f179aada,ba19be5b88f4ddb339f49c2104b9537983e6baded2c74d4d3027474721cf0a24,READY
2025-05-30T18:00:00+10:00,0,0,0,0.0,0,153,0,0,0,2025-05-31,0,153,153,0.0,0,0.0,0,18d5020a82c9ce217e3a68b28656db5229fecc2c505d61d1c5dcce8938c52cb3,0d203ea5d739fc816dcf4b2325bb9aff61f2dfad602c1f213a0d0ffac346c9ec,838e78b8fd78739eb13e0dd9eae2adc20220e014ce51b3216719f88574535aa6,838e78b8fd78739eb13e0dd9eae2adc20220e014ce51b3216719f88574535aa6,26a9c1cfc1e537d7c1f36df2c70dd05cc415a60a9cc0f91c75df4bfdb4364662,000c7ebc53e9d9f20964fe2b94b9d4a21f106892776f0a253ae6415f84ee6539,22fad4a320ee2168acc4b8cd6909b6ff1f963fd3dcdb9c1879ef26b68bd12e75,READY
