bus,nodes,kV_LN,x,y,native_service,AIDC_candidate,MESS_original_interface_candidate,MESS_phase_adapted_candidate,exclusion
l2729406,[3],7.199557856794634,1677474.04027574,12277937.7504425,False,False,False,False,
l2897768,[3],7.199557856794634,1678112.75822834,12277952.0618665,False,False,False,False,
l3649301,[1],7.199557856794634,1668008.60615493,12284893.004209,False,False,False,False,
l3649302,[1],7.199557856794634,1668009.60967493,12285099.8931692,False,False,False,False,
l2970842,[2],7.199557856794634,1676929.30094724,12268558.7337298,False,False,False,False,
m1089113,[2],7.199557856794634,1677067.30337936,12268367.5119696,False,False,False,False,
m1047312,"[1, 2, 3]",7.199557856794634,1670458.30087721,12263309.3083169,False,True,True,True,
p893163,[1],7.199557856794634,1670449.4248452,12263319.6097569,False,False,False,False,
l2822871,"[1, 2, 3]",7.199557856794634,1665333.16039244,12284492.3416806,False,True,True,True,
m1026872,"[1, 2, 3]",7.199557856794634,1665207.33946432,12284644.3483367,False,True,True,True,
m1026312,[2],7.199557856794634,1664935.63949607,12258310.4106482,False,False,False,False,
l2973163,[2],7.199557856794634,1664810.08890395,12258187.8091761,False,False,False,False,
l3728038,[1],7.199557856794634,1669619.09601243,12279615.9922361,False,False,False,False,
l3728039,[1],7.199557856794634,1669413.10407624,12279773.8848442,False,False,False,False,
m1069567,[2],7.199557856794634,1674888.19041734,12286519.2595705,False,False,False,False,
m1069582,[2],7.199557856794634,1675139.09908957,12286953.7919229,False,False,False,False,
n1140830,[1],7.199557856794634,1664731.43341588,12277883.8757544,False,False,False,False,
l3216351,[1],7.199557856794634,1664756.5992399,12277870.1336744,False,False,False,False,
l2952007,[3],7.199557856794634,1687211.45289281,12284312.6051044,False,False,False,False,
l2861158,[3],7.199557856794634,1686796.48303643,12284325.7737444,False,False,False,False,
n1140827,"[1, 2, 3]",7.199557856794634,1665613.6258007,12278455.280043,False,True,True,True,
m1026726,"[1, 2, 3]",7.199557856794634,1665615.0266327,12278511.919531,False,True,True,True,
l2730106,"[1, 2, 3]",7.199557856794634,1681252.82146326,12280907.3791173,False,True,True,True,
n1142099,"[1, 2, 3]",7.199557856794634,1681215.67074323,12280970.6705093,False,True,True,True,
m1026658,"[1, 2, 3]",7.199557856794634,1663229.61043848,12276549.5300252,False,True,True,True,
l3172805,[1],7.199557856794634,1663438.05997467,12276268.3723929,False,False,False,False,
p895112,[1],7.199557856794634,1685510.74453923,12276023.5667607,False,False,False,False,
l3048962,[1],7.199557856794634,1685564.43900328,12276088.1688728,False,False,False,False,
l2991914,"[1, 2, 3]",7.199557856794634,1669053.9790839,12281719.001518,False,True,True,True,
m1047503,"[1, 2, 3]",7.199557856794634,1668955.67098781,12281655.632302,False,True,True,True,
m1047751,[1],7.199557856794634,1670806.28884553,12288000.0004359,False,False,False,False,
l2973154,[1],7.199557856794634,1670826.33057355,12287978.0008198,False,False,False,False,
l3010565,[3],7.199557856794634,1676182.30933054,12269540.1803867,False,False,False,False,
l2897775,[3],7.199557856794634,1676578.54817891,12269464.5805146,False,False,False,False,
m1125955,[3],7.199557856794634,1683291.87170516,12277627.6504742,False,False,False,False,
m1125957,[3],7.199557856794634,1683309.14863318,12277641.9004582,False,False,False,False,
m1069640,[2],7.199557856794634,1674008.16891252,12289009.6111888,False,False,False,False,
l2804269,[2],7.199557856794634,1674078.03028858,12289268.351413,False,False,False,False,
m1026702,"[1, 2, 3]",7.199557856794634,1666852.66989785,12278175.7812907,False,True,True,True,
n1139551,"[1, 2, 3]",7.199557856794634,1666463.86528949,12278010.8066986,False,True,True,True,
n1136355,[2],7.199557856794634,1675345.01729776,12285527.1469296,False,False,False,False,
l2783231,[2],7.199557856794634,1675138.93115357,12285645.6196337,False,False,False,False,
l2748143,[1],7.199557856794634,1675902.33953828,12286396.3713784,False,False,False,False,
l3251854,[1],7.199557856794634,1675902.33953828,12286616.3716346,False,False,False,False,
m1069610,[2],7.199557856794634,1674805.91406526,12287986.7048199,False,False,False,False,
m1069600,[2],7.199557856794634,1674960.5257774,12287859.8394117,False,False,False,False,
m1069424,"[1, 2, 3]",7.199557856794634,1673946.92961646,12276991.3000096,False,True,True,True,
l2935549,"[1, 2, 3]",7.199557856794634,1673877.42868839,12276709.0610333,False,True,True,True,
p895089,[3],7.199557856794634,1676362.37358671,12283389.8172636,False,False,False,False,
l3235242,[3],7.199557856794634,1676340.52961869,12283192.5088474,False,False,False,False,
m1026795,"[1, 2, 3]",7.199557856794634,1668183.45210709,12280738.2839491,False,True,True,True,
n1140522,[3],7.199557856794634,1668142.77063505,12280738.5665731,False,False,False,False,
l3030199,"[1, 2, 3]",7.199557856794634,1683921.11151375,12273546.1707904,False,True,True,True,
m1125934,"[1, 2, 3]",7.199557856794634,1683853.92072969,12273477.4481023,False,True,True,True,
m1069189,"[1, 2, 3]",7.199557856794634,1675446.08200185,12268159.0501454,False,True,True,True,
l2860487,[3],7.199557856794634,1675290.42990571,12268398.2401616,False,False,False,False,
221-312488,"[1, 2, 3]",7.199557856794634,1678663.47771685,12279597.547948,False,True,True,True,
m1089183,"[1, 2, 3]",7.199557856794634,1678662.94933285,12279553.204652,False,True,True,True,
m1108464,[2],7.199557856794634,1680280.35733436,12280152.5477566,False,False,False,False,
l3102286,[2],7.199557856794634,1680128.16635822,12279984.8902844,False,False,False,False,
f739845,"[1, 2, 3]",7.199557856794634,1669719.14900452,12262514.7088921,False,True,True,True,
293471,"[1, 2, 3]",7.199557856794634,1669719.14900452,12262515.7088921,False,True,True,True,
p827499,[1],7.199557856794634,1673775.8274083,12276424.5160091,False,False,False,False,
n1139254,[1],7.199557856794634,1673761.93377629,12276440.1545371,False,False,False,False,
m1026657,[1],7.199557856794634,1666714.59373772,12276478.3005851,False,False,False,False,
m1026656,[1],7.199557856794634,1666725.33754573,12276461.7650331,False,False,False,False,
m1108299,[2],7.199557856794634,1681333.09077534,12270993.318308,False,False,False,False,
m1108300,[2],7.199557856794634,1681355.32386336,12270995.038628,False,False,False,False,
l3198355,[2],7.199557856794634,1681976.74031194,12271041.8886761,False,False,False,False,
l2805037,[2],7.199557856794634,1682339.37148027,12271067.9801961,False,False,False,False,
n1137994,[3],7.199557856794634,1672916.4456475,12279872.8646843,False,False,False,False,
m1069484,[3],7.199557856794634,1673050.76167962,12280000.0004284,False,False,False,False,
l2860504,[1],7.199557856794634,1664980.35143211,12278329.3198509,False,False,False,False,
l2860493,[1],7.199557856794634,1664964.77024809,12279012.3483315,False,False,False,False,
m1026783,"[1, 2, 3]",7.199557856794634,1668025.07617094,12280424.2026688,False,True,True,True,
m1026780,"[1, 2, 3]",7.199557856794634,1667999.91034692,12280371.0816448,False,True,True,True,
p895111,[3],7.199557856794634,1684762.95420253,12276444.5249691,False,False,False,False,
l2895496,[3],7.199557856794634,1684533.77071432,12276445.0943131,False,False,False,False,
n1140819,"[1, 2, 3]",7.199557856794634,1665943.435721,12278103.5442346,False,True,True,True,
m1026700,"[1, 2, 3]",7.199557856794634,1665859.20557693,12278130.2255787,False,True,True,True,
m1089173,[3],7.199557856794634,1677019.24091532,12277474.7304101,False,False,False,False,
l2935551,[3],7.199557856794634,1677018.75349132,12277674.3940262,False,False,False,False,
m1026344,[1],7.199557856794634,1667363.35098633,12260734.9313545,False,False,False,False,
m1026364,[1],7.199557856794634,1666951.89959394,12261536.7602192,False,False,False,False,
l2879070,"[1, 2, 3]",7.199557856794634,1668406.4055793,12283697.1892959,False,True,True,True,
l3216345,"[1, 2, 3]",7.199557856794634,1668136.74132305,12283811.72984,False,True,True,True,
m1069428,"[1, 2, 3]",7.199557856794634,1674009.03316852,12277235.0242978,False,True,True,True,
n1139257,[2],7.199557856794634,1673959.45518447,12277256.5692579,False,False,False,False,
l2991919,[1],7.199557856794634,1667350.28884232,12261158.4700429,False,False,False,False,
m1026361,[1],7.199557856794634,1667347.24141831,12261438.2800911,False,False,False,False,
n1147857,[1],7.199557856794634,1662873.97114215,12281228.5137096,False,False,False,False,
m1009742,[1],7.199557856794634,1662801.22208608,12281064.2682054,False,False,False,False,
q14412,"[1, 2, 3]",7.199557856794634,1671194.02849389,12264023.3119015,False,True,True,True,
m1047325,"[1, 2, 3]",7.199557856794634,1671194.02849389,12264021.3119015,False,True,True,True,
n1139263,[1],7.199557856794634,1673655.35995219,12278801.3797553,False,False,False,False,
l3048227,[1],7.199557856794634,1673739.92187227,12278812.2587313,False,False,False,False,
p827506,[1],7.199557856794634,1673605.50344014,12278794.9654193,False,False,False,False,
m1069469,[1],7.199557856794634,1673628.44513616,12278797.9145393,False,False,False,False,
m1027019,[2],7.199557856794634,1663359.5519426,12292569.7110321,False,False,False,False,
l2785522,[2],7.199557856794634,1663557.67955878,12292571.0299441,False,False,False,False,
l3216338,[2],7.199557856794634,1659686.97184318,12283815.981488,False,False,False,False,
l2973146,[2],7.199557856794634,1659688.01222718,12283623.7889758,False,False,False,False,
m3037452,[1],7.199557856794634,1667364.19885833,12262666.5394203,False,False,False,False,
l2973164,[1],7.199557856794634,1667597.83060255,12262647.3087003,False,False,False,False,
l3120376,[1],7.199557856794634,1667170.01978615,12285936.3004659,False,False,False,False,
m1026925,[1],7.199557856794634,1667245.43124222,12286219.5183862,False,False,False,False,
m1047612,[3],7.199557856794634,1669965.62580475,12283881.77144,False,False,False,False,
p828360,[3],7.199557856794634,1669953.66958074,12283868.823984,False,False,False,False,
m1089195,[3],7.199557856794634,1676298.34081865,12282743.058863,False,False,False,False,
l3141393,[3],7.199557856794634,1675928.5580343,12282735.399343,False,False,False,False,
m1026946,[2],7.199557856794634,1664871.86887201,12287436.3785473,False,False,False,False,
m1026940,[2],7.199557856794634,1664735.88986388,12287037.079987,False,False,False,False,
m1047471,[2],7.199557856794634,1668737.26817161,12277443.289514,False,False,False,False,
l3216349,[2],7.199557856794634,1668791.46644366,12277469.8725541,False,False,False,False,
m1047401,[1],7.199557856794634,1670317.46401308,12272009.429413,False,False,False,False,
l2748132,[1],7.199557856794634,1670146.82874892,12271940.8214129,False,False,False,False,
l3122820,[1],7.199557856794634,1667666.90964261,12274675.6509835,False,False,False,False,
l3141398,[1],7.199557856794634,1667627.36685857,12274484.7937673,False,False,False,False,
m1108360,[3],7.199557856794634,1680168.20066225,12274271.2406151,False,False,False,False,
l3048968,[3],7.199557856794634,1680113.0807902,12274442.9817992,False,False,False,False,
l2801950,[3],7.199557856794634,1674219.15796871,12270999.056804,False,False,False,False,
m1069224,[3],7.199557856794634,1674133.53928063,12271064.7812201,False,False,False,False,
l2766746,[3],7.199557856794634,1666196.35962524,12293191.2094007,False,False,False,False,
m1027073,[3],7.199557856794634,1666181.47885723,12293553.369529,False,False,False,False,
m1142873,[3],7.199557856794634,1684367.89090616,12276444.0006811,False,False,False,False,
m1069181,[1],7.199557856794634,1673972.43950448,12268069.2207693,False,False,False,False,
l2973151,[1],7.199557856794634,1673727.53966425,12268104.8805453,False,False,False,False,
l3179682,[3],7.199557856794634,1681672.94818365,12271868.3385968,False,False,False,False,
l2786274,[3],7.199557856794634,1681741.04827972,12271928.6603889,False,False,False,False,
l3066816,[1],7.199557856794634,1664599.95591175,12277333.7378979,False,False,False,False,
m1026667,[1],7.199557856794634,1664354.33107952,12277019.9392416,False,False,False,False,
m1108529,"[1, 2, 3]",7.199557856794634,1680506.51797457,12283208.2292954,False,True,True,True,
m1108532,"[1, 2, 3]",7.199557856794634,1680446.60168651,12283263.3204955,False,True,True,True,
l2766723,[1],7.199557856794634,1664187.95155937,12278339.5803309,False,False,False,False,
l3122822,[1],7.199557856794634,1664285.66163946,12278499.639723,False,False,False,False,
l2673312,[1],7.199557856794634,1663803.61978301,12289424.9292052,False,False,False,False,
l3235247,[1],7.199557856794634,1663595.39143082,12289860.7190296,False,False,False,False,
m1166391,[3],7.199557856794634,1689062.43939054,12283329.6388315,False,False,False,False,
l3254873,[3],7.199557856794634,1688723.45033422,12283409.8180316,False,False,False,False,
l2861157,[3],7.199557856794634,1691680.49200097,12281568.2318539,False,False,False,False,
p901951,[3],7.199557856794634,1691331.97974465,12281760.6987981,False,False,False,False,
m1047346,"[1, 2, 3]",7.199557856794634,1671966.14907061,12264735.5887662,False,True,True,True,
m1047345,"[1, 2, 3]",7.199557856794634,1671856.24110251,12264646.3819821,False,True,True,True,
l2989596,[2],7.199557856794634,1673763.40014429,12286115.4963701,False,False,False,False,
l2822873,[2],7.199557856794634,1673476.56136002,12286162.9198582,False,False,False,False,
m1108328,[3],7.199557856794634,1680988.14613502,12272155.1732851,False,False,False,False,
l2875754,[3],7.199557856794634,1681057.91739908,12272155.8081651,False,False,False,False,
l2786204,[3],7.199557856794634,1692261.57104152,12277819.4989224,False,False,False,False,
m1209819,[3],7.199557856794634,1692167.75625743,12278034.6536106,False,False,False,False,
p901972,[1],7.199557856794634,1662794.20154207,12281025.6470214,False,False,False,False,
m1009726,[1],7.199557856794634,1662882.04026215,12280743.4531011,False,False,False,False,
m1047702,[1],7.199557856794634,1670249.62196502,12285031.1622891,False,False,False,False,
n1137001,[1],7.199557856794634,1670369.50369313,12285007.2621291,False,False,False,False,
l2767340,"[1, 2, 3]",7.199557856794634,1681592.51093558,12278552.9696431,False,True,True,True,
m3037449,"[1, 2, 3]",7.199557856794634,1681586.42018357,12278554.7882671,False,True,True,True,
m1047457,[2],7.199557856794634,1669348.39137218,12276271.3174169,False,False,False,False,
l2710546,[2],7.199557856794634,1669268.7692281,12276376.129961,False,False,False,False,
l2674027,"[1, 2, 3]",7.199557856794634,1680654.82184671,12282665.0587349,False,True,True,True,
l2692633,"[1, 2, 3]",7.199557856794634,1680603.55221466,12282881.7862871,False,True,True,True,
n1142108,[1],7.199557856794634,1682000.19400796,12272407.7244533,False,False,False,False,
l2674051,[1],7.199557856794634,1681885.21519185,12272620.3560055,False,False,False,False,
m1069135,"[1, 2, 3]",7.199557856794634,1672616.09006322,12265429.3119028,False,True,True,True,
r18242,"[1, 2, 3]",7.199557856794634,1672458.68078307,12265257.6485427,False,True,True,True,
m1047534,"[1, 2, 3]",7.199557856794634,1671310.240206,12282700.4113109,False,True,True,True,
n1136663,"[1, 2, 3]",7.199557856794634,1670978.48468569,12282522.5425108,False,True,True,True,
m1108508,[3],7.199557856794634,1678951.70094912,12282375.0987986,False,False,False,False,
l3097861,[3],7.199557856794634,1678951.57397312,12282075.0995663,False,False,False,False,
m1069560,[2],7.199557856794634,1674751.72808121,12286289.5886583,False,False,False,False,
l2973153,"[1, 2, 3]",7.199557856794634,1670296.77102106,12284293.5013604,False,True,True,True,
n1136998,"[1, 2, 3]",7.199557856794634,1670297.01678106,12284328.0429284,False,True,True,True,
l2898515,[3],7.199557856794634,1688920.1894064,12276646.6707613,False,False,False,False,
m1166387,[3],7.199557856794634,1688911.1986864,12276842.0212895,False,False,False,False,
m1047442,[2],7.199557856794634,1671318.21102201,12275473.1503762,False,False,False,False,
l3235250,[2],7.199557856794634,1671154.10068586,12275606.7496083,False,False,False,False,
m1142871,"[1, 2, 3]",7.199557856794634,1684905.47042666,12276397.9288731,False,True,True,True,
m1142874,"[1, 2, 3]",7.199557856794634,1684789.44713056,12276444.9058971,False,True,True,True,
l2955081,"[1, 2, 3]",7.199557856794634,1681629.19061561,12272081.019301,False,True,True,True,
m1108315,"[1, 2, 3]",7.199557856794634,1681524.37807152,12271788.5894768,False,True,True,True,
l2973162,"[1, 2, 3]",7.199557856794634,1667209.50932218,12260500.2387463,False,True,True,True,
m1026333,"[1, 2, 3]",7.199557856794634,1667082.36129007,12260380.9017861,False,True,True,True,
m1009832,[2],7.199557856794634,1660588.93152402,12283805.79064,False,False,False,False,
l2860479,[2],7.199557856794634,1660685.33907611,12283874.288048,False,False,False,False,
m1026854,"[1, 2, 3]",7.199557856794634,1666749.15168976,12284240.8513764,False,True,True,True,
p901894,[1],7.199557856794634,1666760.53856977,12284256.6045924,False,False,False,False,
m1026485,[2],7.199557856794634,1668094.13063501,12267867.8900811,False,False,False,False,
m1026492,[2],7.199557856794634,1668244.85114715,12268022.9359693,False,False,False,False,
d6413567-3_int,"[1, 2, 3]",7.199557856794634,1675034.79854547,12267900.4579531,False,False,False,False,source/regulator/internal
e182724,"[1, 2, 3]",7.199557856794634,1675034.79854547,12267899.4579531,False,True,True,True,
n1139541,"[1, 2, 3]",7.199557856794634,1675076.80302551,12267924.8900172,False,True,True,True,
m4122658,"[1, 2, 3]",7.199557856794634,1681438.32111144,12280344.7771327,False,True,True,True,
l2933135,"[1, 2, 3]",7.199557856794634,1681436.43285543,12280349.9176127,False,True,True,True,
l2729414,"[1, 2, 3]",7.199557856794634,1666900.0114659,12278019.0683306,False,True,True,True,
l2729430,[2],7.199557856794634,1662906.80877418,12283538.3996637,False,False,False,False,
l2766742,[2],7.199557856794634,1662560.90976585,12283624.4197598,False,False,False,False,
m1026972,[2],7.199557856794634,1668420.29511531,12289417.3557012,False,False,False,False,
l2860483,[2],7.199557856794634,1668221.44250713,12289426.6986772,False,False,False,False,
l2860490,"[1, 2, 3]",7.199557856794634,1672218.17185485,12264992.4202544,False,True,True,True,
l3104134,"[1, 2, 3]",7.199557856794634,1672079.87860672,12264837.2310063,False,True,True,True,
m1089144,[1],7.199557856794634,1678471.26882067,12269888.147875,False,False,False,False,
p827522,[1],7.199557856794634,1678470.43733267,12269896.610211,False,False,False,False,
m1089118,"[1, 2, 3]",7.199557856794634,1676496.02197083,12268725.4818899,False,True,True,True,
l3048208,[1],7.199557856794634,1676550.56840288,12268587.2418898,False,False,False,False,
m1108505,"[1, 2, 3]",7.199557856794634,1680783.09218283,12282090.0663504,False,True,True,True,
l2955047,"[1, 2, 3]",7.199557856794634,1680741.10818279,12282264.0808145,False,True,True,True,
m1089148,[1],7.199557856794634,1677542.32878781,12270485.0088036,False,False,False,False,
l2766721,[1],7.199557856794634,1677417.74075569,12270583.4889316,False,False,False,False,
m1026745,[2],7.199557856794634,1668194.5031151,12278996.0544435,False,False,False,False,
l3029183,[2],7.199557856794634,1668273.70337118,12279283.9704757,False,False,False,False,
l2710512,[2],7.199557856794634,1671150.27092585,12292514.5010481,False,False,False,False,
m1047828,[2],7.199557856794634,1671351.54017404,12292942.2790965,False,False,False,False,
m1047342,[1],7.199557856794634,1672335.22734296,12264504.144286,False,False,False,False,
l3197645,[1],7.199557856794634,1672415.26727903,12264275.9847978,False,False,False,False,
m1069192,[1],7.199557856794634,1674569.48884904,12268205.1096654,False,False,False,False,
l3235253,[1],7.199557856794634,1674836.69140929,12268191.9819854,False,False,False,False,
l3214071,"[1, 2, 3]",7.199557856794634,1683294.64469716,12277397.451178,False,True,True,True,
m1125952,"[1, 2, 3]",7.199557856794634,1683189.43893707,12277539.7011621,False,True,True,True,
m1027101,[2],7.199557856794634,1668381.94836328,12294748.9714502,False,False,False,False,
l2860480,[2],7.199557856794634,1668162.21025107,12295141.7286985,False,False,False,False,
l2710517,[1],7.199557856794634,1667793.57844273,12275161.3587599,False,False,False,False,
m1026646,[1],7.199557856794634,1667921.66036285,12275065.2420238,False,False,False,False,
m1069662,[2],7.199557856794634,1674125.50702463,12289931.1661337,False,False,False,False,
l2935547,[2],7.199557856794634,1673990.2120485,12290079.4208538,False,False,False,False,
m1026931,[1],7.199557856794634,1666365.8111454,12286482.9485305,False,False,False,False,
l3216336,[1],7.199557856794634,1666420.80813745,12286634.6602746,False,False,False,False,
l3142049,"[1, 2, 3]",7.199557856794634,1681066.65826309,12281234.1702856,False,True,True,True,
m1108493,"[1, 2, 3]",7.199557856794634,1680936.25800697,12281479.4510538,False,True,True,True,
m1069169,"[1, 2, 3]",7.199557856794634,1674785.92148924,12267722.969505,False,True,True,True,
l3010556,"[1, 2, 3]",7.199557856794634,1674600.99937707,12267568.9394248,False,True,True,True,
l2991933,[3],7.199557856794634,1662789.47066207,12283162.3213274,False,False,False,False,
l3122837,[3],7.199557856794634,1662524.16045382,12283227.5296474,False,False,False,False,
l2691936,[1],7.199557856794634,1666498.21844152,12286840.2180348,False,False,False,False,
l2897772,[1],7.199557856794634,1669385.57895621,12264828.1993263,False,False,False,False,
l3101814,[1],7.199557856794634,1669331.47079616,12265005.3062705,False,False,False,False,
l2766732,[2],7.199557856794634,1668123.29825103,12267833.5492171,False,False,False,False,
l2989564,[2],7.199557856794634,1673941.77275245,12289419.7027092,False,False,False,False,
m1126016,[1],7.199557856794634,1682714.65109662,12282252.5915345,False,False,False,False,
l3120534,[1],7.199557856794634,1682829.67496873,12282271.6829905,False,False,False,False,
m1026330,"[1, 2, 3]",7.199557856794634,1666837.30989784,12260148.7609859,False,True,True,True,
l2766726,[2],7.199557856794634,1666934.97082593,12260163.1420419,False,False,False,False,
p901912,[2],7.199557856794634,1669871.72910066,12281408.5411017,False,False,False,False,
l3195365,[2],7.199557856794634,1669843.11854064,12281289.1386056,False,False,False,False,
m1108381,"[1, 2, 3]",7.199557856794634,1679631.53454975,12279302.0952758,False,True,True,True,
l3254237,"[1, 2, 3]",7.199557856794634,1679418.22715755,12279173.2596916,False,True,True,True,
l2804262,[1],7.199557856794634,1666833.95936983,12284485.0917606,False,False,False,False,
l2841639,[1],7.199557856794634,1666891.38938589,12284723.2700648,False,False,False,False,
n1230123,[2],7.199557856794634,1680766.00776681,12279313.0193078,False,False,False,False,
l2708744,[2],7.199557856794634,1680782.09275882,12279458.4068279,False,False,False,False,
m1069519,"[1, 2, 3]",7.199557856794634,1675041.54056148,12284646.2980327,False,True,True,True,
p901927,[2],7.199557856794634,1675067.1487535,12284654.9487848,False,False,False,False,
l2897790,[3],7.199557856794634,1675743.33281813,12285735.7398258,False,False,False,False,
l2935566,[3],7.199557856794634,1675895.26984227,12285561.6311536,False,False,False,False,
l3216337,[1],7.199557856794634,1666187.02074523,12286529.7494265,False,False,False,False,
p901931,[3],7.199557856794634,1675620.43233802,12285903.9625459,False,False,False,False,
m1069548,[3],7.199557856794634,1675629.82856203,12285891.1011059,False,False,False,False,
m1010013,[1],7.199557856794634,1662315.22349363,12294474.1749059,False,False,False,False,
l3120503,[1],7.199557856794634,1662404.34016571,12294317.9166017,False,False,False,False,
m1089145,"[1, 2, 3]",7.199557856794634,1678531.48411673,12270114.7959392,False,True,True,True,
l3215385,"[1, 2, 3]",7.199557856794634,1678635.00232482,12270171.4313313,False,True,True,True,
m1026852,"[1, 2, 3]",7.199557856794634,1666319.62055336,12284211.4380003,False,True,True,True,
m1069420,"[1, 2, 3]",7.199557856794634,1673792.57185632,12276405.6703131,False,True,True,True,
l3157708,[3],7.199557856794634,1669663.69735647,12282007.3681103,False,False,False,False,
n1137991,[3],7.199557856794634,1669708.51578851,12281995.4979023,False,False,False,False,
m1108413,[1],7.199557856794634,1680891.59522293,12279696.5933241,False,False,False,False,
m1108460,[1],7.199557856794634,1680807.45519085,12280112.3332285,False,False,False,False,
p827532,[1],7.199557856794634,1671178.88148588,12264049.0418216,False,False,False,False,
m1047326,[1],7.199557856794634,1671167.40858987,12264070.0379176,False,False,False,False,
e182732,"[1, 2, 3]",7.199557856794634,1667533.41281049,12279353.2829878,False,True,True,True,
m1026760,"[1, 2, 3]",7.199557856794634,1667519.71578647,12279326.4582838,False,True,True,True,
l3048205,[3],7.199557856794634,1679132.33045329,12273857.2783747,False,False,False,False,
m1108361,[3],7.199557856794634,1678780.65198896,12274395.2019592,False,False,False,False,
m3036169,[1],7.199557856794634,1667530.81594648,12275370.1441681,False,False,False,False,
l2673317,[1],7.199557856794634,1667537.48833049,12275364.8398481,False,False,False,False,
l3178981,[2],7.199557856794634,1672330.52923095,12265673.7611831,False,False,False,False,
m1047368,[2],7.199557856794634,1671812.33607847,12266158.8832315,False,False,False,False,
n1136354,"[1, 2, 3]",7.199557856794634,1675244.71035367,12285098.3899372,False,True,True,True,
l2879794,[1],7.199557856794634,1684632.14844241,12273382.6379903,False,False,False,False,
m1142811,[1],7.199557856794634,1684559.75164234,12273298.8297342,False,False,False,False,
m1069565,[2],7.199557856794634,1673864.93998438,12286437.7286904,False,False,False,False,
l2785536,[2],7.199557856794634,1674126.15828863,12286985.6219389,False,False,False,False,
l3104114,[2],7.199557856794634,1661735.66816509,12283708.9489119,False,False,False,False,
m1009824,[2],7.199557856794634,1661553.55181292,12283715.5107039,False,False,False,False,
l2745848,"[1, 2, 3]",7.199557856794634,1673008.00353558,12279608.4392121,False,True,True,True,
l2673308,"[1, 2, 3]",7.199557856794634,1673143.28212771,12279476.6995639,False,True,True,True,
l2991939,"[1, 2, 3]",7.199557856794634,1673359.78849591,12279177.3311156,False,True,True,True,
