job_identifier,field,field_value_origin,available_at,used_at,permitted_or_forbidden,reason
7712679,job_id,Kestrel submission record,2025-03-31T06:29:26+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7712679,partition,Kestrel submission record,2025-03-31T06:29:26+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7712679,submit_time,Kestrel submission record,2025-03-31T06:29:26+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7712679,nodes_req,Kestrel submission record,2025-03-31T06:29:26+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7712679,processors_req,Kestrel submission record,2025-03-31T06:29:26+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7712679,memory_req,Kestrel submission record,2025-03-31T06:29:26+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7712679,wallclock_req,Kestrel submission record,2025-03-31T06:29:26+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7712679,qos,Kestrel submission record,2025-03-31T06:29:26+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7712679,gpus_requested,Kestrel submission record,2025-03-31T06:29:26+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7712679,start_time,event comparison,2025-03-31T18:00:00+10:00,2025-03-31T18:00:00+10:00,BOOLEAN_ONLY,Numeric value discarded at state-reconstruction boundary.
7712679,end_time,event comparison,2025-03-31T18:00:00+10:00,2025-03-31T18:00:00+10:00,BOOLEAN_ONLY,Numeric value discarded at state-reconstruction boundary.
7712676,id,Kestrel submission record,2025-03-31T06:29:19+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7712676,job_id,Kestrel submission record,2025-03-31T06:29:19+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7712676,partition,Kestrel submission record,2025-03-31T06:29:19+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7712676,submit_time,Kestrel submission record,2025-03-31T06:29:19+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7712676,nodes_req,Kestrel submission record,2025-03-31T06:29:19+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7712676,processors_req,Kestrel submission record,2025-03-31T06:29:19+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7712676,memory_req,Kestrel submission record,2025-03-31T06:29:19+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7712676,wallclock_req,Kestrel submission record,2025-03-31T06:29:19+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7712676,qos,Kestrel submission record,2025-03-31T06:29:19+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7712676,gpus_requested,Kestrel submission record,2025-03-31T06:29:19+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7712676,start_time,event comparison,2025-03-31T18:00:00+10:00,2025-03-31T18:00:00+10:00,BOOLEAN_ONLY,Numeric value discarded at state-reconstruction boundary.
7712676,end_time,event comparison,2025-03-31T18:00:00+10:00,2025-03-31T18:00:00+10:00,BOOLEAN_ONLY,Numeric value discarded at state-reconstruction boundary.
7709729,id,Kestrel submission record,2025-03-31T03:14:10+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709729,job_id,Kestrel submission record,2025-03-31T03:14:10+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709729,partition,Kestrel submission record,2025-03-31T03:14:10+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709729,submit_time,Kestrel submission record,2025-03-31T03:14:10+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709729,nodes_req,Kestrel submission record,2025-03-31T03:14:10+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709729,processors_req,Kestrel submission record,2025-03-31T03:14:10+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709729,memory_req,Kestrel submission record,2025-03-31T03:14:10+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709729,wallclock_req,Kestrel submission record,2025-03-31T03:14:10+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709729,qos,Kestrel submission record,2025-03-31T03:14:10+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709729,gpus_requested,Kestrel submission record,2025-03-31T03:14:10+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709729,start_time,event comparison,2025-03-31T18:00:00+10:00,2025-03-31T18:00:00+10:00,BOOLEAN_ONLY,Numeric value discarded at state-reconstruction boundary.
7709729,end_time,event comparison,2025-03-31T18:00:00+10:00,2025-03-31T18:00:00+10:00,BOOLEAN_ONLY,Numeric value discarded at state-reconstruction boundary.
7709725,id,Kestrel submission record,2025-03-31T03:12:45+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709725,job_id,Kestrel submission record,2025-03-31T03:12:45+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709725,partition,Kestrel submission record,2025-03-31T03:12:45+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709725,submit_time,Kestrel submission record,2025-03-31T03:12:45+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709725,nodes_req,Kestrel submission record,2025-03-31T03:12:45+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709725,processors_req,Kestrel submission record,2025-03-31T03:12:45+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709725,memory_req,Kestrel submission record,2025-03-31T03:12:45+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709725,wallclock_req,Kestrel submission record,2025-03-31T03:12:45+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709725,qos,Kestrel submission record,2025-03-31T03:12:45+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709725,gpus_requested,Kestrel submission record,2025-03-31T03:12:45+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709725,start_time,event comparison,2025-03-31T18:00:00+10:00,2025-03-31T18:00:00+10:00,BOOLEAN_ONLY,Numeric value discarded at state-reconstruction boundary.
7709725,end_time,event comparison,2025-03-31T18:00:00+10:00,2025-03-31T18:00:00+10:00,BOOLEAN_ONLY,Numeric value discarded at state-reconstruction boundary.
7709724,id,Kestrel submission record,2025-03-31T03:12:40+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709724,job_id,Kestrel submission record,2025-03-31T03:12:40+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709724,partition,Kestrel submission record,2025-03-31T03:12:40+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709724,submit_time,Kestrel submission record,2025-03-31T03:12:40+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709724,nodes_req,Kestrel submission record,2025-03-31T03:12:40+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709724,processors_req,Kestrel submission record,2025-03-31T03:12:40+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709724,memory_req,Kestrel submission record,2025-03-31T03:12:40+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709724,wallclock_req,Kestrel submission record,2025-03-31T03:12:40+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709724,qos,Kestrel submission record,2025-03-31T03:12:40+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709724,gpus_requested,Kestrel submission record,2025-03-31T03:12:40+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709724,start_time,event comparison,2025-03-31T18:00:00+10:00,2025-03-31T18:00:00+10:00,BOOLEAN_ONLY,Numeric value discarded at state-reconstruction boundary.
7709724,end_time,event comparison,2025-03-31T18:00:00+10:00,2025-03-31T18:00:00+10:00,BOOLEAN_ONLY,Numeric value discarded at state-reconstruction boundary.
7709723,id,Kestrel submission record,2025-03-31T03:12:35+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709723,job_id,Kestrel submission record,2025-03-31T03:12:35+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709723,partition,Kestrel submission record,2025-03-31T03:12:35+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709723,submit_time,Kestrel submission record,2025-03-31T03:12:35+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709723,nodes_req,Kestrel submission record,2025-03-31T03:12:35+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709723,processors_req,Kestrel submission record,2025-03-31T03:12:35+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709723,memory_req,Kestrel submission record,2025-03-31T03:12:35+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709723,wallclock_req,Kestrel submission record,2025-03-31T03:12:35+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709723,qos,Kestrel submission record,2025-03-31T03:12:35+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709723,gpus_requested,Kestrel submission record,2025-03-31T03:12:35+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709723,start_time,event comparison,2025-03-31T18:00:00+10:00,2025-03-31T18:00:00+10:00,BOOLEAN_ONLY,Numeric value discarded at state-reconstruction boundary.
7709723,end_time,event comparison,2025-03-31T18:00:00+10:00,2025-03-31T18:00:00+10:00,BOOLEAN_ONLY,Numeric value discarded at state-reconstruction boundary.
7709712,id,Kestrel submission record,2025-03-31T03:02:25+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709712,job_id,Kestrel submission record,2025-03-31T03:02:25+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709712,partition,Kestrel submission record,2025-03-31T03:02:25+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709712,submit_time,Kestrel submission record,2025-03-31T03:02:25+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709712,nodes_req,Kestrel submission record,2025-03-31T03:02:25+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709712,processors_req,Kestrel submission record,2025-03-31T03:02:25+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709712,memory_req,Kestrel submission record,2025-03-31T03:02:25+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709712,wallclock_req,Kestrel submission record,2025-03-31T03:02:25+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709712,qos,Kestrel submission record,2025-03-31T03:02:25+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709712,gpus_requested,Kestrel submission record,2025-03-31T03:02:25+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709712,start_time,event comparison,2025-03-31T18:00:00+10:00,2025-03-31T18:00:00+10:00,BOOLEAN_ONLY,Numeric value discarded at state-reconstruction boundary.
7709712,end_time,event comparison,2025-03-31T18:00:00+10:00,2025-03-31T18:00:00+10:00,BOOLEAN_ONLY,Numeric value discarded at state-reconstruction boundary.
7709711,id,Kestrel submission record,2025-03-31T03:02:25+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709711,job_id,Kestrel submission record,2025-03-31T03:02:25+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709711,partition,Kestrel submission record,2025-03-31T03:02:25+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709711,submit_time,Kestrel submission record,2025-03-31T03:02:25+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709711,nodes_req,Kestrel submission record,2025-03-31T03:02:25+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709711,processors_req,Kestrel submission record,2025-03-31T03:02:25+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709711,memory_req,Kestrel submission record,2025-03-31T03:02:25+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709711,wallclock_req,Kestrel submission record,2025-03-31T03:02:25+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709711,qos,Kestrel submission record,2025-03-31T03:02:25+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709711,gpus_requested,Kestrel submission record,2025-03-31T03:02:25+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709711,start_time,event comparison,2025-03-31T18:00:00+10:00,2025-03-31T18:00:00+10:00,BOOLEAN_ONLY,Numeric value discarded at state-reconstruction boundary.
7709711,end_time,event comparison,2025-03-31T18:00:00+10:00,2025-03-31T18:00:00+10:00,BOOLEAN_ONLY,Numeric value discarded at state-reconstruction boundary.
7709709,id,Kestrel submission record,2025-03-31T03:02:25+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709709,job_id,Kestrel submission record,2025-03-31T03:02:25+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709709,partition,Kestrel submission record,2025-03-31T03:02:25+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709709,submit_time,Kestrel submission record,2025-03-31T03:02:25+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709709,nodes_req,Kestrel submission record,2025-03-31T03:02:25+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709709,processors_req,Kestrel submission record,2025-03-31T03:02:25+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709709,memory_req,Kestrel submission record,2025-03-31T03:02:25+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709709,wallclock_req,Kestrel submission record,2025-03-31T03:02:25+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709709,qos,Kestrel submission record,2025-03-31T03:02:25+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709709,gpus_requested,Kestrel submission record,2025-03-31T03:02:25+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709709,start_time,event comparison,2025-03-31T18:00:00+10:00,2025-03-31T18:00:00+10:00,BOOLEAN_ONLY,Numeric value discarded at state-reconstruction boundary.
7709709,end_time,event comparison,2025-03-31T18:00:00+10:00,2025-03-31T18:00:00+10:00,BOOLEAN_ONLY,Numeric value discarded at state-reconstruction boundary.
7709708,id,Kestrel submission record,2025-03-31T03:02:25+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709708,job_id,Kestrel submission record,2025-03-31T03:02:25+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709708,partition,Kestrel submission record,2025-03-31T03:02:25+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709708,submit_time,Kestrel submission record,2025-03-31T03:02:25+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709708,nodes_req,Kestrel submission record,2025-03-31T03:02:25+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709708,processors_req,Kestrel submission record,2025-03-31T03:02:25+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709708,memory_req,Kestrel submission record,2025-03-31T03:02:25+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709708,wallclock_req,Kestrel submission record,2025-03-31T03:02:25+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709708,qos,Kestrel submission record,2025-03-31T03:02:25+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709708,gpus_requested,Kestrel submission record,2025-03-31T03:02:25+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709708,start_time,event comparison,2025-03-31T18:00:00+10:00,2025-03-31T18:00:00+10:00,BOOLEAN_ONLY,Numeric value discarded at state-reconstruction boundary.
7709708,end_time,event comparison,2025-03-31T18:00:00+10:00,2025-03-31T18:00:00+10:00,BOOLEAN_ONLY,Numeric value discarded at state-reconstruction boundary.
7709707,id,Kestrel submission record,2025-03-31T03:02:25+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709707,job_id,Kestrel submission record,2025-03-31T03:02:25+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709707,partition,Kestrel submission record,2025-03-31T03:02:25+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709707,submit_time,Kestrel submission record,2025-03-31T03:02:25+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709707,nodes_req,Kestrel submission record,2025-03-31T03:02:25+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709707,processors_req,Kestrel submission record,2025-03-31T03:02:25+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709707,memory_req,Kestrel submission record,2025-03-31T03:02:25+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709707,wallclock_req,Kestrel submission record,2025-03-31T03:02:25+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709707,qos,Kestrel submission record,2025-03-31T03:02:25+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709707,gpus_requested,Kestrel submission record,2025-03-31T03:02:25+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709707,start_time,event comparison,2025-03-31T18:00:00+10:00,2025-03-31T18:00:00+10:00,BOOLEAN_ONLY,Numeric value discarded at state-reconstruction boundary.
7709707,end_time,event comparison,2025-03-31T18:00:00+10:00,2025-03-31T18:00:00+10:00,BOOLEAN_ONLY,Numeric value discarded at state-reconstruction boundary.
7709719,id,Kestrel submission record,2025-03-31T03:02:25+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709719,job_id,Kestrel submission record,2025-03-31T03:02:25+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709719,partition,Kestrel submission record,2025-03-31T03:02:25+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709719,submit_time,Kestrel submission record,2025-03-31T03:02:25+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709719,nodes_req,Kestrel submission record,2025-03-31T03:02:25+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709719,processors_req,Kestrel submission record,2025-03-31T03:02:25+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709719,memory_req,Kestrel submission record,2025-03-31T03:02:25+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709719,wallclock_req,Kestrel submission record,2025-03-31T03:02:25+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709719,qos,Kestrel submission record,2025-03-31T03:02:25+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709719,gpus_requested,Kestrel submission record,2025-03-31T03:02:25+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709719,start_time,event comparison,2025-03-31T18:00:00+10:00,2025-03-31T18:00:00+10:00,BOOLEAN_ONLY,Numeric value discarded at state-reconstruction boundary.
7709719,end_time,event comparison,2025-03-31T18:00:00+10:00,2025-03-31T18:00:00+10:00,BOOLEAN_ONLY,Numeric value discarded at state-reconstruction boundary.
7709718,id,Kestrel submission record,2025-03-31T03:02:25+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709718,job_id,Kestrel submission record,2025-03-31T03:02:25+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709718,partition,Kestrel submission record,2025-03-31T03:02:25+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709718,submit_time,Kestrel submission record,2025-03-31T03:02:25+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709718,nodes_req,Kestrel submission record,2025-03-31T03:02:25+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709718,processors_req,Kestrel submission record,2025-03-31T03:02:25+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709718,memory_req,Kestrel submission record,2025-03-31T03:02:25+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709718,wallclock_req,Kestrel submission record,2025-03-31T03:02:25+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709718,qos,Kestrel submission record,2025-03-31T03:02:25+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709718,gpus_requested,Kestrel submission record,2025-03-31T03:02:25+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709718,start_time,event comparison,2025-03-31T18:00:00+10:00,2025-03-31T18:00:00+10:00,BOOLEAN_ONLY,Numeric value discarded at state-reconstruction boundary.
7709718,end_time,event comparison,2025-03-31T18:00:00+10:00,2025-03-31T18:00:00+10:00,BOOLEAN_ONLY,Numeric value discarded at state-reconstruction boundary.
7709716,id,Kestrel submission record,2025-03-31T03:02:25+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7709716,job_id,Kestrel submission record,2025-03-31T03:02:25+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
