node_id,first_seen_timestamp_UTC,last_seen_timestamp_UTC,first_seen_month,last_seen_month,job_count,GPU_hour_contribution_exact_uniform,ambiguous_job_count,ambiguous_GPU_hour_contribution,first_seen_semantics
x3103c0s29b0n0,2024-08-18T14:00:00+00:00,2025-03-31T14:00:00+00:00,2024-08,2025-04,2008,13413.109444444444,9,,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3103c0s33b0n0,2024-08-18T14:00:00+00:00,2025-03-31T14:00:00+00:00,2024-08,2025-04,1294,12477.890555555548,0,0.0,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3103c0s37b0n0,2024-08-18T14:00:00+00:00,2025-03-31T14:00:00+00:00,2024-08,2025-04,2822,12139.476666666626,0,0.0,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3103c0s41b0n0,2024-08-18T14:00:00+00:00,2025-03-31T14:00:00+00:00,2024-08,2025-04,2300,12819.786388888895,0,0.0,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3103c0s5b0n0,2024-08-18T14:00:00+00:00,2025-03-14T00:06:22+00:00,2024-08,2025-03,921,4213.5186111111125,0,0.0,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3103c0s9b0n0,2024-08-18T14:00:00+00:00,2025-03-31T14:00:00+00:00,2024-08,2025-04,2735,13386.161666666852,0,0.0,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3104c0s13b0n0,2024-08-18T14:00:00+00:00,2025-03-31T14:00:00+00:00,2024-08,2025-04,2612,12816.641666666806,1,,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3104c0s17b0n0,2024-08-18T14:00:00+00:00,2025-03-29T22:57:49+00:00,2024-08,2025-03,2574,12737.317222222237,2,,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3104c0s21b0n0,2024-08-18T14:00:00+00:00,2025-03-31T14:00:00+00:00,2024-08,2025-04,2601,12964.263055555522,2,,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3104c0s25b0n0,2024-08-18T14:00:00+00:00,2025-03-31T14:00:00+00:00,2024-08,2025-04,2592,13065.351944444496,1,,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3104c0s29b0n0,2024-08-18T14:00:00+00:00,2025-03-31T14:00:00+00:00,2024-08,2025-04,2162,12771.888888888967,7,,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3104c0s33b0n0,2024-08-18T14:00:00+00:00,2025-03-31T14:00:00+00:00,2024-08,2025-04,2802,12303.028611111076,2,,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3104c0s37b0n0,2024-08-18T14:00:00+00:00,2025-03-31T13:04:25+00:00,2024-08,2025-03,2243,13645.51500000012,1,,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3104c0s41b0n0,2024-08-18T14:00:00+00:00,2025-03-25T20:44:53+00:00,2024-08,2025-03,1571,10820.507777777751,0,0.0,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3104c0s5b0n0,2024-08-18T14:00:00+00:00,2025-03-31T02:09:13+00:00,2024-08,2025-03,2874,12996.416666666768,0,0.0,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3104c0s9b0n0,2024-08-18T14:00:00+00:00,2025-03-31T14:00:00+00:00,2024-08,2025-04,3141,12238.176666666808,1,,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3105c0s13b0n0,2024-08-18T14:00:00+00:00,2025-03-31T14:00:00+00:00,2024-08,2025-04,2436,12652.740000000103,1,,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3105c0s17b0n0,2024-08-18T14:00:00+00:00,2025-03-31T14:00:00+00:00,2024-08,2025-04,2698,13491.01666666682,7,,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3105c0s21b0n0,2024-08-18T14:00:00+00:00,2025-03-30T22:57:33+00:00,2024-08,2025-03,2330,12791.91083333344,0,0.0,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3105c0s25b0n0,2024-08-18T14:00:00+00:00,2025-03-30T22:57:33+00:00,2024-08,2025-03,2569,11730.869999999988,0,0.0,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3105c0s29b0n0,2024-08-18T14:02:35+00:00,2025-02-27T22:16:16+00:00,2024-08,2025-02,1981,4608.8502777777785,0,0.0,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3105c0s33b0n0,2024-08-18T14:02:35+00:00,2025-03-31T14:00:00+00:00,2024-08,2025-04,2340,11232.280555555513,0,0.0,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3105c0s37b0n0,2024-08-18T14:02:35+00:00,2025-03-30T22:57:33+00:00,2024-08,2025-03,2564,12677.31750000001,2,,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3105c0s41b0n0,2024-08-18T14:02:35+00:00,2025-03-31T14:00:00+00:00,2024-08,2025-04,2334,11657.137499999993,2,,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3105c0s5b0n0,2024-08-18T14:00:00+00:00,2025-03-27T01:43:57+00:00,2024-08,2025-03,2306,11954.600833333394,2,,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3105c0s9b0n0,2024-08-18T14:00:00+00:00,2025-03-30T22:57:33+00:00,2024-08,2025-03,2132,11968.136111111113,3,,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3106c0s13b0n0,2024-08-18T14:02:35+00:00,2025-03-31T14:00:00+00:00,2024-08,2025-04,3067,11919.456111111303,0,0.0,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3106c0s17b0n0,2024-08-18T14:02:35+00:00,2025-03-31T14:00:00+00:00,2024-08,2025-04,2371,12029.656944444456,0,0.0,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3106c0s21b0n0,2024-08-19T10:06:29+00:00,2025-03-31T14:00:00+00:00,2024-08,2025-04,2012,12252.699444444423,1,,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3106c0s25b0n0,2024-08-19T10:06:29+00:00,2025-03-31T14:00:00+00:00,2024-08,2025-04,2541,12555.185555555568,0,0.0,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3106c0s29b0n0,2024-08-19T10:06:29+00:00,2025-03-31T14:00:00+00:00,2024-08,2025-04,5130,12341.276944444475,1,,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3106c0s33b0n0,2024-08-19T10:06:24+00:00,2025-03-31T14:00:00+00:00,2024-08,2025-04,2117,11825.242499999997,0,0.0,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3106c0s37b0n0,2024-08-19T10:06:19+00:00,2025-03-31T14:00:00+00:00,2024-08,2025-04,2535,11224.77444444441,0,0.0,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3106c0s5b0n0,2024-08-18T14:02:35+00:00,2025-03-31T14:00:00+00:00,2024-08,2025-04,2349,12185.227222222184,6,,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3106c0s9b0n0,2024-08-18T14:02:35+00:00,2025-03-31T14:00:00+00:00,2024-08,2025-04,2690,12067.147777777804,5,,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3107c0s13b0n0,2024-08-19T10:06:12+00:00,2025-03-31T14:00:00+00:00,2024-08,2025-04,1993,12566.4494444445,2,,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3107c0s17b0n0,2024-08-19T10:06:12+00:00,2025-03-31T14:00:00+00:00,2024-08,2025-04,2664,11512.968055555653,2,,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3107c0s21b0n0,2024-08-19T10:06:09+00:00,2025-03-31T14:00:00+00:00,2024-08,2025-04,1798,12468.712777777826,2,,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3107c0s25b0n0,2024-08-19T10:06:04+00:00,2025-03-31T14:00:00+00:00,2024-08,2025-04,2270,9638.146388888852,0,0.0,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3107c0s29b0n0,2024-08-19T10:06:04+00:00,2025-03-31T14:00:00+00:00,2024-08,2025-04,1663,12174.525000000005,1,,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3107c0s33b0n0,2024-08-19T21:06:47+00:00,2025-03-31T14:00:00+00:00,2024-08,2025-04,1962,10897.146111111073,1,,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3107c0s37b0n0,2024-08-19T10:06:04+00:00,2025-03-31T14:00:00+00:00,2024-08,2025-04,2441,11955.087777777708,1,,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3107c0s5b0n0,2024-08-19T10:05:57+00:00,2025-03-29T20:32:46+00:00,2024-08,2025-03,2505,11671.33138888886,1,,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3107c0s9b0n0,2024-08-19T10:05:57+00:00,2025-03-31T14:00:00+00:00,2024-08,2025-04,4588,10901.314722223153,0,0.0,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3108c0s13b0n0,2024-08-19T10:05:57+00:00,2025-03-31T14:00:00+00:00,2024-08,2025-04,3133,11849.833055555553,0,0.0,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3108c0s17b0n0,2024-08-19T10:05:57+00:00,2025-03-31T14:00:00+00:00,2024-08,2025-04,1400,12741.199444444434,0,0.0,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3108c0s21b0n0,2024-08-19T21:06:44+00:00,2025-03-30T02:34:23+00:00,2024-08,2025-03,2411,10953.317777777753,0,0.0,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3108c0s25b0n0,2024-08-30T20:05:24+00:00,2025-03-30T21:49:28+00:00,2024-08,2025-03,2371,8951.410277777772,0,0.0,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3108c0s29b0n0,2024-08-19T10:05:57+00:00,2025-03-31T14:00:00+00:00,2024-08,2025-04,2305,9544.070277777746,0,0.0,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3108c0s33b0n0,2024-08-19T10:05:57+00:00,2025-03-31T14:00:00+00:00,2024-08,2025-04,2416,11589.91222222221,1,,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3108c0s37b0n0,2024-08-19T10:05:57+00:00,2025-03-31T14:00:00+00:00,2024-08,2025-04,1958,10634.425833333331,0,0.0,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3108c0s5b0n0,2024-08-19T10:05:57+00:00,2025-03-31T14:00:00+00:00,2024-08,2025-04,2429,13103.77583333355,2,,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3108c0s9b0n0,2024-08-19T10:05:57+00:00,2025-03-31T14:00:00+00:00,2024-08,2025-04,3133,12594.30361111125,0,0.0,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3109c0s13b0n0,2024-08-19T10:05:57+00:00,2025-03-31T14:00:00+00:00,2024-08,2025-04,2647,11744.31027777778,0,0.0,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3109c0s17b0n0,2024-08-19T10:05:57+00:00,2025-03-31T14:00:00+00:00,2024-08,2025-04,2225,10913.459999999957,0,0.0,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3109c0s21b0n0,2024-08-19T10:05:57+00:00,2025-03-31T14:00:00+00:00,2024-08,2025-04,2233,11292.568611111092,1,,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3109c0s25b0n0,2024-08-19T10:05:57+00:00,2025-03-31T14:00:00+00:00,2024-08,2025-04,2343,11893.322777777768,0,0.0,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3109c0s29b0n0,2024-08-19T10:05:57+00:00,2025-03-31T14:00:00+00:00,2024-08,2025-04,2159,11712.11416666664,0,0.0,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3109c0s33b0n0,2024-08-19T10:05:57+00:00,2025-03-31T14:00:00+00:00,2024-08,2025-04,2028,10526.398611111077,0,0.0,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3109c0s37b0n0,2024-08-19T10:05:57+00:00,2025-03-31T14:00:00+00:00,2024-08,2025-04,1914,10557.227499999979,0,0.0,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3109c0s5b0n0,2024-08-19T10:05:57+00:00,2025-03-31T14:00:00+00:00,2024-08,2025-04,2044,11137.569722222193,0,0.0,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3109c0s9b0n0,2024-08-19T10:05:57+00:00,2025-03-31T14:00:00+00:00,2024-08,2025-04,1554,10420.100277777756,3,,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3110c0s13b0n0,2024-08-19T10:05:57+00:00,2025-03-31T14:00:00+00:00,2024-08,2025-04,3707,10882.181111111775,0,0.0,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3110c0s17b0n0,2024-08-20T10:06:31+00:00,2025-03-31T14:00:00+00:00,2024-08,2025-04,1872,10602.8105555555,0,0.0,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3110c0s21b0n0,2024-08-19T10:05:43+00:00,2025-03-31T14:00:00+00:00,2024-08,2025-04,1374,8322.066666666655,0,0.0,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3110c0s25b0n0,2024-08-19T10:05:43+00:00,2025-03-31T14:00:00+00:00,2024-08,2025-04,1579,8346.045555555547,0,0.0,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3110c0s29b0n0,2024-08-19T10:05:43+00:00,2025-03-31T14:00:00+00:00,2024-08,2025-04,1792,11651.289722222202,6,,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3110c0s33b0n0,2024-08-19T10:05:41+00:00,2025-03-31T14:00:00+00:00,2024-08,2025-04,1873,10993.43194444449,0,0.0,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3110c0s37b0n0,2024-08-19T10:05:41+00:00,2025-03-31T14:00:00+00:00,2024-08,2025-04,1716,11116.131388888894,0,0.0,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3110c0s41b0n0,2024-08-19T10:05:41+00:00,2025-03-31T14:00:00+00:00,2024-08,2025-04,2247,10716.074166666673,0,0.0,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3110c0s5b0n0,2024-08-19T10:05:41+00:00,2025-03-31T14:00:00+00:00,2024-08,2025-04,2435,10152.303055555489,0,0.0,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3110c0s9b0n0,2024-08-19T10:05:41+00:00,2025-03-31T14:00:00+00:00,2024-08,2025-04,2185,10468.17666666676,7,,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3111c0s13b0n0,2024-08-19T10:05:41+00:00,2025-03-31T14:00:00+00:00,2024-08,2025-04,1473,11581.308888888918,0,0.0,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3111c0s17b0n0,2024-08-19T10:05:41+00:00,2025-03-31T14:00:00+00:00,2024-08,2025-04,1725,10652.554444444437,0,0.0,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3111c0s21b0n0,2024-08-19T10:05:41+00:00,2025-03-31T14:00:00+00:00,2024-08,2025-04,2119,11969.291666666653,0,0.0,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3111c0s25b0n0,2024-08-19T10:05:41+00:00,2025-03-31T14:00:00+00:00,2024-08,2025-04,2399,10727.090277777832,0,0.0,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3111c0s29b0n0,2024-08-19T10:05:41+00:00,2025-03-31T14:00:00+00:00,2024-08,2025-04,1193,7538.188055555557,0,0.0,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3111c0s33b0n0,2024-08-19T10:05:41+00:00,2025-03-31T14:00:00+00:00,2024-08,2025-04,1812,10024.591944444446,0,0.0,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3111c0s37b0n0,2024-08-19T10:05:41+00:00,2025-03-31T14:00:00+00:00,2024-08,2025-04,2586,10568.460833333407,0,0.0,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3111c0s41b0n0,2024-08-19T10:05:41+00:00,2025-03-31T14:00:00+00:00,2024-08,2025-04,1679,10771.643888888904,0,0.0,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3111c0s5b0n0,2024-08-19T10:05:41+00:00,2025-03-31T14:00:00+00:00,2024-08,2025-04,1861,11783.950555555595,0,0.0,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3111c0s9b0n0,2024-08-19T10:05:41+00:00,2025-03-31T14:00:00+00:00,2024-08,2025-04,1826,11659.871388888885,2,,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3112c0s13b0n0,2024-08-19T10:05:41+00:00,2025-03-31T03:11:55+00:00,2024-08,2025-03,1875,10885.161666666616,0,0.0,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3112c0s17b0n0,2024-08-19T10:05:41+00:00,2025-03-31T14:00:00+00:00,2024-08,2025-04,1973,10689.847222222264,0,0.0,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3112c0s21b0n0,2024-08-19T10:05:30+00:00,2025-03-31T14:00:00+00:00,2024-08,2025-04,1579,9430.756111111094,3,,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3112c0s25b0n0,2024-08-19T10:05:30+00:00,2025-03-31T14:00:00+00:00,2024-08,2025-04,1689,8482.738333333335,0,0.0,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3112c0s29b0n0,2024-12-13T04:16:45+00:00,2025-03-31T14:00:00+00:00,2024-12,2025-04,1243,6298.1266666666625,0,0.0,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3112c0s33b0n0,2024-12-13T04:16:45+00:00,2025-03-31T14:00:00+00:00,2024-12,2025-04,3371,5970.602777777788,0,0.0,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3112c0s37b0n0,2024-12-13T04:16:45+00:00,2025-03-31T14:00:00+00:00,2024-12,2025-04,1849,6323.915277777781,0,0.0,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3112c0s41b0n0,2024-12-13T04:16:45+00:00,2025-03-31T14:00:00+00:00,2024-12,2025-04,1121,7181.733055555553,6,,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3112c0s5b0n0,2024-10-09T22:15:36+00:00,2025-03-31T05:14:15+00:00,2024-10,2025-03,1976,4440.005833333324,0,0.0,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3112c0s9b0n0,2024-10-09T22:15:36+00:00,2025-03-31T14:00:00+00:00,2024-10,2025-04,555,2641.32888888889,0,0.0,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
x3113c0s13b0n0,2024-08-19T10:05:30+00:00,2025-03-31T14:00:00+00:00,2024-08,2025-04,2375,9466.706111111156,0,0.0,OBSERVED_USE_LOWER_BOUND_NOT_INSTALLATION_DATE
