day,policy,Actual_disposition,resolved_namespace,authoritative_replay,final_DA_trajectory_SHA,moves,eta_late_safe,eta_late_q50,eta_late_q90,ready_slot_late,collisions,binding_status
2025-05-04,B0,REUSED,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1\replays\2025-05-04\B0,919ef1319c0868b07b0fbd5dfce7617121b9346a41935b2fb70cb10c20714fbd,0,0,0,0,0,0,PASS
2025-05-04,B1,REUSED,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1\replays\2025-05-04\B1,919ef1319c0868b07b0fbd5dfce7617121b9346a41935b2fb70cb10c20714fbd,0,0,0,0,0,0,PASS
2025-05-04,B2,REUSED,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1\replays\2025-05-04\B2,5fe30ed92ba71f4f56472618f5d835b4dd25df94486c403479df59b3497d11cc,2,1,1,1,0,0,PASS
2025-05-04,B3,REUSED,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1\replays\2025-05-04\B3,74933783f6818161fcaa26c3ab3e48505aa5e0c5f9ca2d7432c1ae62e4690d4b,1,0,1,0,0,0,PASS
2025-05-05,B0,REUSED,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1\replays\2025-05-05\B0,919ef1319c0868b07b0fbd5dfce7617121b9346a41935b2fb70cb10c20714fbd,0,0,0,0,0,0,PASS
2025-05-05,B1,REUSED,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1\replays\2025-05-05\B1,919ef1319c0868b07b0fbd5dfce7617121b9346a41935b2fb70cb10c20714fbd,0,0,0,0,0,0,PASS
2025-05-05,B2,REUSED,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1\replays\2025-05-05\B2,f956ea7337266ca0534bc8e03caf8302d0cf4b2bd0553bbdba254fe4f18f8205,1,0,0,0,0,0,PASS
2025-05-05,B3,REUSED,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1\replays\2025-05-05\B3,798cdeb8de1399e8a64bf4866cb387f043d00a7203893fe860442792dd88f967,1,0,0,0,0,0,PASS
2025-05-06,B0,REUSED,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1\replays\2025-05-06\B0,919ef1319c0868b07b0fbd5dfce7617121b9346a41935b2fb70cb10c20714fbd,0,0,0,0,0,0,PASS
2025-05-06,B1,REUSED,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1\replays\2025-05-06\B1,919ef1319c0868b07b0fbd5dfce7617121b9346a41935b2fb70cb10c20714fbd,0,0,0,0,0,0,PASS
2025-05-06,B2,REUSED,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1\replays\2025-05-06\B2,099dd820e4b763353688e798afe1e4199cab63e9fbebb181d9d6ed61878465a0,2,0,0,0,0,0,PASS
2025-05-06,B3,REUSED,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1\replays\2025-05-06\B3,9f1ecb64c5e9bdca2a006c7e148e8040a736fb2032f539627447098697c8f378,1,0,0,0,0,0,PASS
2025-05-07,B0,REUSED,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1\replays\2025-05-07\B0,919ef1319c0868b07b0fbd5dfce7617121b9346a41935b2fb70cb10c20714fbd,0,0,0,0,0,0,PASS
2025-05-07,B1,REUSED,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1\replays\2025-05-07\B1,919ef1319c0868b07b0fbd5dfce7617121b9346a41935b2fb70cb10c20714fbd,0,0,0,0,0,0,PASS
2025-05-07,B2,REUSED,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1\replays\2025-05-07\B2,2b511ff34296aa0e7582a742d1b274ad00821e11865072512bd6405b734e696a,2,0,0,0,0,0,PASS
2025-05-07,B3,REUSED,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1\replays\2025-05-07\B3,8ae68ac57092f1f963c3bd4695b356908a4657315bf1a561c42b0a8cf6fd27e2,1,0,0,0,0,0,PASS
2025-05-08,B0,REUSED,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1\replays\2025-05-08\B0,919ef1319c0868b07b0fbd5dfce7617121b9346a41935b2fb70cb10c20714fbd,0,0,0,0,0,0,PASS
2025-05-08,B1,REUSED,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1\replays\2025-05-08\B1,919ef1319c0868b07b0fbd5dfce7617121b9346a41935b2fb70cb10c20714fbd,0,0,0,0,0,0,PASS
2025-05-08,B2,REUSED,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1\replays\2025-05-08\B2,da65fc1c170c44b98653e7da2b3b80667f3003f2976c55f8b40a563994e9277b,2,0,2,0,0,0,PASS
2025-05-08,B3,REUSED,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1\replays\2025-05-08\B3,e72ad1f60ec8617981d71e51b18e61e3bf5ed2c0bbb2645c9494393aa009b779,1,0,1,0,0,0,PASS
2025-05-09,B0,REUSED,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1\replays\2025-05-09\B0,919ef1319c0868b07b0fbd5dfce7617121b9346a41935b2fb70cb10c20714fbd,0,0,0,0,0,0,PASS
2025-05-09,B1,REUSED,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1\replays\2025-05-09\B1,919ef1319c0868b07b0fbd5dfce7617121b9346a41935b2fb70cb10c20714fbd,0,0,0,0,0,0,PASS
2025-05-09,B2,REUSED,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1\replays\2025-05-09\B2,c5366d7016314dedb778296bc37732d9b4b39627f3eebce94533fe5d399ace11,2,0,0,0,0,0,PASS
2025-05-09,B3,REUSED,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1\replays\2025-05-09\B3,5ce9664e0192664811f141db2a84d9f87a1bb1305fa44edcf8e39bd526070ad7,1,0,1,0,0,0,PASS
2025-05-10,B0,REUSED,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1\replays\2025-05-10\B0,919ef1319c0868b07b0fbd5dfce7617121b9346a41935b2fb70cb10c20714fbd,0,0,0,0,0,0,PASS
2025-05-10,B1,REUSED,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1\replays\2025-05-10\B1,919ef1319c0868b07b0fbd5dfce7617121b9346a41935b2fb70cb10c20714fbd,0,0,0,0,0,0,PASS
2025-05-10,B2,REUSED,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1\replays\2025-05-10\B2,6351fc262767b206ef61c24f9292f3f58b097326ae757551f996318aecfec515,2,0,1,0,0,0,PASS
2025-05-10,B3,REUSED,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1\replays\2025-05-10\B3,05c475aa1a4e3b06400253dcf50b5fce446927a0c6e8aedc374620add55d34f1,1,0,0,0,0,0,PASS
2025-05-11,B0,REUSED,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1\replays\2025-05-11\B0,919ef1319c0868b07b0fbd5dfce7617121b9346a41935b2fb70cb10c20714fbd,0,0,0,0,0,0,PASS
2025-05-11,B1,REUSED,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1\replays\2025-05-11\B1,919ef1319c0868b07b0fbd5dfce7617121b9346a41935b2fb70cb10c20714fbd,0,0,0,0,0,0,PASS
2025-05-11,B2,REUSED,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1\replays\2025-05-11\B2,e84d5adb8a792d7a9ef26447a6fec03950ae2d728bde9c77b1e58c821171074d,2,0,1,0,0,0,PASS
2025-05-11,B3,REUSED,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1\replays\2025-05-11\B3,82ac4467b3999fb7052db08f59eb13dccc8db62ae22d28c8caf0a0d010c69b6f,1,0,0,0,0,0,PASS
2025-05-12,B0,REUSED,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1\replays\2025-05-12\B0,919ef1319c0868b07b0fbd5dfce7617121b9346a41935b2fb70cb10c20714fbd,0,0,0,0,0,0,PASS
2025-05-12,B1,REUSED,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1\replays\2025-05-12\B1,919ef1319c0868b07b0fbd5dfce7617121b9346a41935b2fb70cb10c20714fbd,0,0,0,0,0,0,PASS
2025-05-12,B2,REUSED,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1\replays\2025-05-12\B2,80f15f9ebefa946fe559f512a29f70dc76e67c71460494e45982914ed1e0a77a,2,0,1,1,0,0,PASS
2025-05-12,B3,REUSED,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1\replays\2025-05-12\B3,699509de13122ee8e2b425a799f7fd9a7abb7cad8e0288fda31320bde4a8f0a9,1,0,1,1,0,0,PASS
2025-05-13,B0,REUSED,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1\replays\2025-05-13\B0,919ef1319c0868b07b0fbd5dfce7617121b9346a41935b2fb70cb10c20714fbd,0,0,0,0,0,0,PASS
2025-05-13,B1,REUSED,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1\replays\2025-05-13\B1,919ef1319c0868b07b0fbd5dfce7617121b9346a41935b2fb70cb10c20714fbd,0,0,0,0,0,0,PASS
2025-05-13,B2,REUSED,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1\replays\2025-05-13\B2,c767868bce80053fa2df22adc29ed7883bdbcc3742f21a4717e6f312168fdab5,1,0,0,0,0,0,PASS
2025-05-13,B3,REUSED,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1\replays\2025-05-13\B3,8dfed5fb0adf8085bc1a83c563c42ba740891659ab60c786d07a463b78967341,1,0,0,0,0,0,PASS
2025-05-14,B0,REUSED,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1\replays\2025-05-14\B0,919ef1319c0868b07b0fbd5dfce7617121b9346a41935b2fb70cb10c20714fbd,0,0,0,0,0,0,PASS
2025-05-14,B1,REUSED,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1\replays\2025-05-14\B1,919ef1319c0868b07b0fbd5dfce7617121b9346a41935b2fb70cb10c20714fbd,0,0,0,0,0,0,PASS
2025-05-14,B2,REUSED,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1\replays\2025-05-14\B2,0bcbaad13a3d74df32761e7ccca25cea2919d70d5fce31814d05937677e1a47a,2,0,2,0,0,0,PASS
2025-05-14,B3,REUSED,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1\replays\2025-05-14\B3,fec20e2d1e3f0519fbc32a90bb0b18b84118fb7603d2bf89c4d8b4b377e0443f,1,0,1,0,0,0,PASS
2025-05-15,B0,REUSED,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1\replays\2025-05-15\B0,919ef1319c0868b07b0fbd5dfce7617121b9346a41935b2fb70cb10c20714fbd,0,0,0,0,0,0,PASS
2025-05-15,B1,REUSED,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1\replays\2025-05-15\B1,919ef1319c0868b07b0fbd5dfce7617121b9346a41935b2fb70cb10c20714fbd,0,0,0,0,0,0,PASS
2025-05-15,B2,REUSED,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1\replays\2025-05-15\B2,64da8e7cd610dec857d932c9a7c03b00c88a90fe19a9ec2942932ee5c6e048d9,1,0,0,0,0,0,PASS
2025-05-15,B3,REUSED,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1\replays\2025-05-15\B3,f0023e9fdff559c93617938369d1e840223cacfde003f1aa71a273fabfbea712,1,0,0,0,0,0,PASS
2025-05-16,B0,REUSED,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1\replays\2025-05-16\B0,919ef1319c0868b07b0fbd5dfce7617121b9346a41935b2fb70cb10c20714fbd,0,0,0,0,0,0,PASS
