slot,timestamp,B0_system_rho_max,B0_critical_line,B0_critical_phase,B0_critical_terminal,B3_system_rho_max,B3_critical_line,B3_critical_phase,B3_critical_terminal,B0_minus_B3
26,2025-05-01T06:30,0.7447903563819903,Line.tpx21459660c0,1,t2,0.748237213179049,Line.tpx21459660c0,1,t2,-0.003446856797058695
27,2025-05-01T06:45,0.7666253055678005,Line.tpx21459660c0,1,t2,0.7704087751410204,Line.tpx21459660c0,1,t2,-0.0037834695732198442
28,2025-05-01T07:00,0.7944945785046899,Line.tpx21459660c0,1,t2,0.7987958355245086,Line.tpx21459660c0,1,t2,-0.0043012570198187605
29,2025-05-01T07:15,0.8086020167501489,Line.tpx21459660c0,1,t2,0.8129126495031785,Line.tpx21459660c0,1,t2,-0.004310632753029675
30,2025-05-01T07:30,0.8051168872463722,Line.tpx21459660c0,1,t2,0.8096996734441361,Line.tpx21459660c0,1,t2,-0.004582786197763866
31,2025-05-01T07:45,0.7867777819731102,Line.tpx21459660c0,1,t2,0.7905364865898548,Line.tpx21459660c0,1,t2,-0.003758704616744546
32,2025-05-01T08:00,0.7510240078690886,Line.tpx21459660c0,1,t2,0.7541772551158603,Line.tpx21459660c0,1,t2,-0.0031532472467716843
33,2025-05-01T08:15,0.7176596968853822,Line.tpx21459660c0,1,t2,0.7190777944622707,Line.tpx21459660c0,1,t2,-0.0014180975768884885
34,2025-05-01T08:30,0.6612688463088234,Line.tpx21459660c0,1,t2,0.6701159894896253,Line.tpx21459660c0,1,t2,-0.00884714318080182
35,2025-05-01T08:45,0.6308661710631,Line.tpx21459660c0,1,t2,0.6318686598008355,Line.tpx21459660c0,1,t2,-0.001002488737735563
36,2025-05-01T09:00,0.5943373475781499,Line.tpx21459660c0,1,t2,0.593205916489413,Line.tpx21459660c0,1,t2,0.0011314310887369228
37,2025-05-01T09:15,0.5676044732279132,Line.tpx21459660c0,1,t2,0.5702250097559407,Line.tpx21459660c0,1,t2,-0.0026205365280275172
38,2025-05-01T09:30,0.518945215060319,Line.tpx21459660c0,1,t2,0.5264577597308512,Line.tpx21459660c0,1,t2,-0.007512544670532195
39,2025-05-01T09:45,0.48170402972864446,Line.tpx21459660c0,1,t2,0.48823947154379943,Line.tpx21459660c0,1,t2,-0.006535441815154974
40,2025-05-01T10:00,0.44733079333331754,Line.tpx21459660c0,1,t2,0.4653584229595314,Line.ln5775442-1,1,t2,-0.018027629626213848
41,2025-05-01T10:15,0.42136999173891426,Line.tpx21459660c0,1,t2,0.4444074724936261,Line.ln5710794-3,1,t1,-0.023037480754711848
42,2025-05-01T10:30,0.39898016926209867,Line.tpx21459660c0,1,t2,0.4036497822642923,Line.tpx21459660c0,1,t2,-0.004669613002193651
43,2025-05-01T10:45,0.38688374198582515,Line.tpx21459660c0,1,t2,0.4169280840209093,Line.hvmv_sub_connector,1,t1,-0.03004434203508416
44,2025-05-01T11:00,0.36560974392549356,Line.tpx21459660c0,1,t2,0.3959558247142024,Line.hvmv_sub_connector,1,t1,-0.030346080788708818
45,2025-05-01T11:15,0.36188233735353703,Line.ln5775442-1,1,t2,0.3588021687864817,Line.tpx21459660c0,1,t2,0.0030801685670553414
46,2025-05-01T11:30,0.3503243518843787,Line.ln5775442-1,1,t2,0.3814984472281758,Line.ln5710794-3,1,t1,-0.03117409534379706
47,2025-05-01T11:45,0.3473571233405682,Line.ln5775442-1,1,t2,0.34165239059485825,Line.tpx21459660c0,1,t2,0.005704732745709928
48,2025-05-01T12:00,0.3494010655779849,Line.ln5775442-1,1,t2,0.37943041466051713,Line.ln5775442-1,1,t2,-0.030029349082532242
49,2025-05-01T12:15,0.3447721709048161,Line.ln6261021-1,2,t1,0.3385002760261849,Line.ln5775442-1,1,t2,0.006271894878631223
50,2025-05-01T12:30,0.3492669317883772,Line.ln6504019-5,2,t2,0.3815456417266779,Line.ln5775442-1,1,t2,-0.032278709938300676
51,2025-05-01T12:45,0.350349911274748,Line.ln6504019-5,2,t2,0.3501751209206124,Line.tpx21459660c0,1,t2,0.00017479035413558996
52,2025-05-01T13:00,0.3596618251133404,Line.tpx21459660c0,1,t2,0.38969201944608606,Line.ln5775442-1,1,t2,-0.030030194332745674
53,2025-05-01T13:15,0.37043980362608825,Line.tpx21459660c0,1,t2,0.3763795767805182,Line.hvmv_sub_connector,1,t1,-0.00593977315442995
54,2025-05-01T13:30,0.3867698199152807,Line.tpx21459660c0,1,t2,0.3860863362853945,Line.tpx21459660c0,1,t2,0.0006834836298861835
55,2025-05-01T13:45,0.39061093770470917,Line.tpx21459660c0,1,t2,0.3899784932654512,Line.tpx21459660c0,1,t2,0.0006324444392579731
56,2025-05-01T14:00,0.4115411997042032,Line.tpx21459660c0,1,t2,0.4325625182115133,Line.ln5775442-1,1,t2,-0.021021318507310094
57,2025-05-01T14:15,0.425339784351871,Line.tpx21459660c0,1,t2,0.43989366363923293,Line.ln5710794-3,1,t1,-0.01455387928736196
58,2025-05-01T14:30,0.4390684083548133,Line.tpx21459660c0,1,t2,0.4415518786011846,Line.tpx21459660c0,1,t2,-0.0024834702463713
59,2025-05-01T14:45,0.45575386280792196,Line.tpx21459660c0,1,t2,0.4648632857203371,Line.ln5775442-1,1,t2,-0.009109422912415122
60,2025-05-01T15:00,0.48504031603850284,Line.tpx21459660c0,1,t2,0.48766475517598407,Line.tpx21459660c0,1,t2,-0.002624439137481227
61,2025-05-01T15:15,0.5178704479456729,Line.ln5775442-1,1,t2,0.518165460021965,Line.ln5775442-1,1,t2,-0.00029501207629201165
62,2025-05-01T15:30,0.5454375599490656,Line.tpx21459660c0,1,t2,0.5507186926000153,Line.tpx21459660c0,1,t2,-0.005281132650949649
63,2025-05-01T15:45,0.5803822687463067,Line.tpx21459660c0,1,t2,0.5860065315294233,Line.tpx21459660c0,1,t2,-0.005624262783116563
64,2025-05-01T16:00,0.6234802744875202,Line.tpx21459660c0,1,t2,0.6352841879948287,Line.ln5775442-1,1,t2,-0.011803913507308472
65,2025-05-01T16:15,0.6595608923277618,Line.tpx21459660c0,1,t2,0.6639871961887026,Line.tpx21459660c0,1,t2,-0.004426303860940783
66,2025-05-01T16:30,0.7136168147118225,Line.tpx21459660c0,1,t2,0.7147232879009499,Line.tpx21459660c0,1,t2,-0.0011064731891273771
67,2025-05-01T16:45,0.7431725304319216,Line.tpx21459660c0,1,t2,0.7381754867177671,Line.tpx21459660c0,1,t2,0.004997043714154437
68,2025-05-01T17:00,0.7768958688007996,Line.tpx21459660c0,1,t2,0.7801773726903067,Line.tpx21459660c0,1,t2,-0.003281503889507098
69,2025-05-01T17:15,0.8021930458176576,Line.tpx21459660c0,1,t2,0.8057364785467869,Line.tpx21459660c0,1,t2,-0.00354343272912927
70,2025-05-01T17:30,0.8249542854795485,Line.tpx21459660c0,1,t2,0.8303056550236999,Line.tpx21459660c0,1,t2,-0.005351369544151385
71,2025-05-01T17:45,0.8402044004411539,Line.tpx21459660c0,1,t2,0.8358612190120142,Line.tpx21459660c0,1,t2,0.0043431814291396975
72,2025-05-01T18:00,0.8490698587036601,Line.tpx21459660c0,1,t2,0.833925645530799,Line.tpx21459660c0,1,t2,0.015144213172861187
73,2025-05-01T18:15,0.8537462147791017,Line.tpx21459660c0,1,t2,0.838356609744188,Line.tpx21459660c0,1,t2,0.015389605034913711
74,2025-05-01T18:30,0.8520744436154328,Line.tpx21459660c0,1,t2,0.8420708410184574,Line.tpx21459660c0,1,t2,0.010003602596975414
75,2025-05-01T18:45,0.848630164744177,Line.tpx21459660c0,1,t2,0.8387699787434959,Line.tpx21459660c0,1,t2,0.00986018600068106
76,2025-05-01T19:00,0.8381702119162453,Line.tpx21459660c0,1,t2,0.8360223349030088,Line.tpx21459660c0,1,t2,0.0021478770132364877
77,2025-05-01T19:15,0.8346261590592068,Line.tpx21459660c0,1,t2,0.8325427332580801,Line.tpx21459660c0,1,t2,0.002083425801126637
78,2025-05-01T19:30,0.836368688180039,Line.tpx21459660c0,1,t2,0.8359059844946336,Line.tpx21459660c0,1,t2,0.00046270368540535234
79,2025-05-01T19:45,0.8293740916728146,Line.tpx21459660c0,1,t2,0.8289598596834001,Line.tpx21459660c0,1,t2,0.0004142319894144819
80,2025-05-01T20:00,0.8166291725862468,Line.tpx21459660c0,1,t2,0.8259226514489824,Line.tpx21459660c0,1,t2,-0.009293478862735571
81,2025-05-01T20:15,0.7968097346767299,Line.tpx21459660c0,1,t2,0.8068218503247525,Line.tpx21459660c0,1,t2,-0.010012115648022624
82,2025-05-01T20:30,0.7927344861445293,Line.tpx21459660c0,1,t2,0.802829809805777,Line.tpx21459660c0,1,t2,-0.010095323661247657
83,2025-05-01T20:45,0.7814101136452126,Line.tpx21459660c0,1,t2,0.7915038089914245,Line.tpx21459660c0,1,t2,-0.01009369534621185
84,2025-05-01T21:00,0.7552054364741781,Line.tpx21459660c0,1,t2,0.767322172115966,Line.tpx21459660c0,1,t2,-0.012116735641787835
85,2025-05-01T21:15,0.7446455627726037,Line.tpx21459660c0,1,t2,0.754917343730754,Line.tpx21459660c0,1,t2,-0.01027178095815029
86,2025-05-01T21:30,0.7403886306605384,Line.tpx21459660c0,1,t2,0.7503200767203891,Line.tpx21459660c0,1,t2,-0.009931446059850746
87,2025-05-01T21:45,0.7192987930324306,Line.tpx21459660c0,1,t2,0.7309704374453115,Line.tpx21459660c0,1,t2,-0.011671644412880933
88,2025-05-01T22:00,0.7131096938469287,Line.tpx21459660c0,1,t2,0.7185361803700266,Line.tpx21459660c0,1,t2,-0.005426486523097962
89,2025-05-01T22:15,0.697322157657428,Line.tpx21459660c0,1,t2,0.7010641999718858,Line.tpx21459660c0,1,t2,-0.0037420423144578496
90,2025-05-01T22:30,0.6913869795606198,Line.tpx21459660c0,1,t2,0.7237824867076607,Line.ln5775442-1,1,t2,-0.03239550714704087
91,2025-05-01T22:45,0.6781498028830802,Line.tpx21459660c0,1,t2,0.6840974269622567,Line.tpx21459660c0,1,t2,-0.005947624079176483
92,2025-05-01T23:00,0.6842757165067707,Line.tpx21459660c0,1,t2,0.6906121207376917,Line.tpx21459660c0,1,t2,-0.006336404230921078
93,2025-05-01T23:15,0.6875280831858434,Line.tpx21459660c0,1,t2,0.6938970274104161,Line.tpx21459660c0,1,t2,-0.006368944224572792
94,2025-05-01T23:30,0.6709916481743936,Line.tpx21459660c0,1,t2,0.6780720938465442,Line.tpx21459660c0,1,t2,-0.007080445672150604
95,2025-05-01T23:45,0.6504046622568951,Line.tpx21459660c0,1,t2,0.6587206366439251,Line.ln5775442-1,1,t2,-0.008315974387030023
