element_id,element_type,element_status,from_bus,to_bus,phases_available,rating_A,x_from,y_from,x_to,y_to,num_phases,is_switch,is_disabled
Line.ln6169248-1,LINE,ACTIVE,l2879070,l3216345,1.2.3,400.0,,,,,3,,False
Line.ln5532786-2,LINE,ACTIVE,m1069428,n1139257,2,400.0,,,,,1,,False
Line.ln5744339-1,LINE,ACTIVE,l2991919,m1026361,1,400.0,,,,,1,,False
Line.ln5531255-3,LINE,ACTIVE,n1147857,m1009742,1,400.0,,,,,1,,False
Line.ln5926308-2,LINE,ACTIVE,q14412,m1047325,1.2.3,400.0,,,,,3,,False
Line.ln5683856-3,LINE,ACTIVE,n1139263,l3048227,1,400.0,,,,,1,,False
Line.ln6171502-1,LINE,ACTIVE,p827506,m1069469,1,400.0,,,,,1,,False
Line.ln5593228-1,LINE,ACTIVE,m1027019,l2785522,2,400.0,,,,,1,,False
Line.ln6380800-1,LINE,ACTIVE,l3216338,l2973146,2,400.0,,,,,1,,False
Line.ln6199525-2,LINE,ACTIVE,m3037452,l2973164,1,400.0,,,,,1,,False
Line.ln5772710-2,LINE,ACTIVE,l3120376,m1026925,1,400.0,,,,,1,,False
Line.ln8961760-1,LINE,ACTIVE,m1047612,p828360,3,220.0,,,,,1,,False
Line.ln6047556-1,LINE,ACTIVE,m1089195,l3141393,3,400.0,,,,,1,,False
Line.ln6138603-1,LINE,ACTIVE,m1026946,m1026940,2,400.0,,,,,1,,False
Line.ln6108139-1,LINE,ACTIVE,m1047471,l3216349,2,400.0,,,,,1,,False
Line.ln6388581-2,LINE,ACTIVE,m1047401,l2748132,1,400.0,,,,,1,,False
Line.ln5774460-1,LINE,ACTIVE,l3122820,l3141398,1,400.0,,,,,1,,False
Line.ln5624387-1,LINE,ACTIVE,m1108360,l3048968,3,400.0,,,,,1,,False
Line.ln6137087-1,LINE,ACTIVE,l2801950,m1069224,3,400.0,,,,,1,,False
Line.ln6077809-1,LINE,ACTIVE,l2766746,m1027073,3,400.0,,,,,1,,False
Line.ln6440079-1,LINE,ACTIVE,l2895496,m1142873,3,400.0,,,,,1,,False
Line.ln5804794-1,LINE,ACTIVE,m1069181,l2973151,1,400.0,,,,,1,,False
Line.ln5654484-1,LINE,ACTIVE,l3179682,l2786274,3,400.0,,,,,1,,False
Line.ln5774465-1,LINE,ACTIVE,l3066816,m1026667,1,400.0,,,,,1,,False
Line.ln5473349-1,LINE,ACTIVE,m1108529,m1108532,1.2.3,400.0,,,,,3,,False
Line.ln6169253-1,LINE,ACTIVE,l2766723,l3122822,1,400.0,,,,,1,,False
Line.ln6350536-1,LINE,ACTIVE,l2673312,l3235247,1,400.0,,,,,1,,False
Line.ln6048523-1,LINE,ACTIVE,m1166391,l3254873,3,400.0,,,,,1,,False
Line.ln5594152-1,LINE,ACTIVE,l2861157,p901951,3,400.0,,,,,1,,False
Line.ln5865248-1,LINE,ACTIVE,m1047346,m1047345,1.2.3,400.0,,,,,3,,False
Line.ln6046143-1,LINE,ACTIVE,l2989596,l2822873,2,400.0,,,,,1,,False
Line.ln5803287-1,LINE,ACTIVE,m1108328,l2875754,3,400.0,,,,,1,,False
Line.ln5589094-1,LINE,ACTIVE,l2786204,m1209819,3,400.0,,,,,1,,False
Line.ln5954983-1,LINE,ACTIVE,p901972,m1009726,1,400.0,,,,,1,,False
Line.ln5924696-2,LINE,ACTIVE,m1047702,n1137001,1,400.0,,,,,1,,False
Line.ln6506311-4,LINE,ACTIVE,l2767340,m3037449,1.2.3,400.0,,,,,3,,False
Line.ln5653493-1,LINE,ACTIVE,m1047457,l2710546,2,400.0,,,,,1,,False
Line.ln5684836-1,LINE,ACTIVE,l2674027,l2692633,1.2.3,400.0,,,,,3,,False
Line.ln5715016-3,LINE,ACTIVE,n1142108,l2674051,1,400.0,,,,,1,,False
Line.ln6138614-1,LINE,ACTIVE,m1069135,r18242,1.2.3,400.0,,,,,3,,False
Line.ln6077781-2,LINE,ACTIVE,m1047534,n1136663,1.2.3,400.0,,,,,3,,False
Line.ln5675121-1,LINE,ACTIVE,m1108508,l3097861,3,400.0,,,,,1,,False
Line.ln5773046-1,LINE,ACTIVE,m1069560,m1069567,2,400.0,,,,,1,,False
Line.ln6380809-2,LINE,ACTIVE,l2973153,n1136998,1.2.3,400.0,,,,,3,,False
Line.ln6018326-1,LINE,ACTIVE,l2898515,m1166387,3,400.0,,,,,1,,False
Line.ln5472356-1,LINE,ACTIVE,m1047442,l3235250,2,400.0,,,,,1,,False
Line.ln6139641-1,LINE,ACTIVE,m1142871,m1142874,1.2.3,400.0,,,,,3,,False
Line.ln6018341-1,LINE,ACTIVE,l2955081,m1108315,1.2.3,400.0,,,,,3,,False
Line.ln6017302-1,LINE,ACTIVE,l2973162,m1026333,1.2.3,400.0,,,,,3,,False
Line.ln6199505-1,LINE,ACTIVE,m1009832,l2860479,2,400.0,,,,,1,,False
Line.ln5682327-1,LINE,ACTIVE,m1026854,p901894,1,400.0,,,,,1,,False
Line.ln6290243-1,LINE,ACTIVE,m1026485,m1026492,2,400.0,,,,,1,,False
Line.x8223_48332_sw,LINE,ACTIVE,d6413567-3_int,e182724,1.2.3,400.0,,,,,3,,False
Line.ln6413567-3,LINE,ACTIVE,n1139541,d6413567-3_int,1.2.3,400.0,,,,,3,,False
Line.ln5591731-3,LINE,ACTIVE,m4122658,l2933135,1.2.3,400.0,,,,,3,,False
Line.ln5653470-1,LINE,ACTIVE,m1026702,l2729414,1.2.3,400.0,,,,,3,,False
Line.ln6017316-1,LINE,ACTIVE,l2729430,l2766742,2,400.0,,,,,1,,False
Line.ln5926299-1,LINE,ACTIVE,m1026972,l2860483,2,400.0,,,,,1,,False
Line.ln5683831-1,LINE,ACTIVE,l2860490,l3104134,1.2.3,400.0,,,,,3,,False
Line.ln6352700-1,LINE,ACTIVE,m1089144,p827522,1,400.0,,,,,1,,False
Line.ln6047570-1,LINE,ACTIVE,m1089118,l3048208,1,400.0,,,,,1,,False
Line.ln5624342-1,LINE,ACTIVE,m1108505,l2955047,1.2.3,400.0,,,,,3,,False
Line.ln6259992-1,LINE,ACTIVE,m1089148,l2766721,1,400.0,,,,,1,,False
Line.ln5841919-1,LINE,ACTIVE,m1026745,l3029183,2,400.0,,,,,1,,False
Line.ln6380811-1,LINE,ACTIVE,l2710512,m1047828,2,400.0,,,,,1,,False
Line.ln5683832-1,LINE,ACTIVE,m1047342,l3197645,1,400.0,,,,,1,,False
Line.ln6077778-1,LINE,ACTIVE,m1069192,l3235253,1,400.0,,,,,1,,False
Line.ln5561442-2,LINE,ACTIVE,l3214071,m1125952,1.2.3,400.0,,,,,3,,False
Line.ln6259983-1,LINE,ACTIVE,m1027101,l2860480,2,400.0,,,,,1,,False
Line.ln5865244-1,LINE,ACTIVE,l2710517,m1026646,1,400.0,,,,,1,,False
Line.ln6350555-1,LINE,ACTIVE,m1069662,l2935547,2,400.0,,,,,1,,False
Line.ln5714039-1,LINE,ACTIVE,m1026931,l3216336,1,400.0,,,,,1,,False
Line.ln5889821-1,LINE,ACTIVE,l3142049,m1108493,1.2.3,400.0,,,,,3,,False
Line.ln5804791-1,LINE,ACTIVE,m1069169,l3010556,1.2.3,400.0,,,,,3,,False
Line.ln5653486-1,LINE,ACTIVE,l2991933,l3122837,3,400.0,,,,,1,,False
Line.ln5926286-1,LINE,ACTIVE,l3216336,l2691936,1,400.0,,,,,1,,False
Line.ln6318859-1,LINE,ACTIVE,l2897772,l3101814,1,400.0,,,,,1,,False
Line.ln5926316-1,LINE,ACTIVE,l2766732,m1026485,2,400.0,,,,,1,,False
Line.ln5591703-1,LINE,ACTIVE,l2804269,l2989564,2,400.0,,,,,1,,False
Line.ln5531333-1,LINE,ACTIVE,m1126016,l3120534,1,400.0,,,,,1,,False
Line.ln6047581-1,LINE,ACTIVE,m1026330,l2766726,2,400.0,,,,,1,,False
Line.ln6349077-1,LINE,ACTIVE,p901912,l3195365,2,400.0,,,,,1,,False
Line.ln6350574-1,LINE,ACTIVE,m1108381,l3254237,1.2.3,400.0,,,,,3,,False
Line.ln6320343-1,LINE,ACTIVE,l2804262,l2841639,1,400.0,,,,,1,,False
Line.ln81048100-5,LINE,ACTIVE,n1230123,l2708744,2,220.0,,,,,1,,False
Line.ln6348946-1,LINE,ACTIVE,m1069519,p901927,2,400.0,,,,,1,,False
Line.ln5744351-1,LINE,ACTIVE,l2897790,l2935566,3,400.0,,,,,1,,False
Line.ln5472342-1,LINE,ACTIVE,m1026931,l3216337,1,400.0,,,,,1,,False
Line.ln5621849-1,LINE,ACTIVE,p901931,m1069548,3,400.0,,,,,1,,False
Line.ln6379375-1,LINE,ACTIVE,m1010013,l3120503,1,400.0,,,,,1,,False
Line.ln6028890-1,LINE,ACTIVE,m1089145,l3215385,1.2.3,400.0,,,,,3,,False
Line.ln6380822-1,LINE,ACTIVE,m1026854,m1026852,1.2.3,400.0,,,,,3,,False
Line.ln5835131-1,LINE,ACTIVE,l2935549,m1069420,1.2.3,400.0,,,,,3,,False
Line.ln5803262-7,LINE,ACTIVE,l3157708,n1137991,3,400.0,,,,,1,,False
Line.ln81048089-1,LINE,ACTIVE,m1108413,m1108460,1,220.0,,,,,1,,False
Line.ln6201699-1,LINE,ACTIVE,p827532,m1047326,1,400.0,,,,,1,,False
Line.ln5746548-1,LINE,ACTIVE,e182732,m1026760,1.2.3,400.0,,,,,3,,False
Line.ln5835174-1,LINE,ACTIVE,l3048205,m1108361,3,400.0,,,,,1,,False
Line.ln6505947-4,LINE,ACTIVE,m3036169,l2673317,1,400.0,,,,,1,,False
Line.ln5683833-1,LINE,ACTIVE,l3178981,m1047368,2,400.0,,,,,1,,False
Line.ln5561439-3,LINE,ACTIVE,m1069519,n1136354,1.2.3,400.0,,,,,3,,False
Line.ln6109190-1,LINE,ACTIVE,l2879794,m1142811,1,400.0,,,,,1,,False
Line.ln6258435-2,LINE,ACTIVE,m1047702,n1137002,1,400.0,,,,,1,,False
Line.ln5804819-1,LINE,ACTIVE,m1069565,l2785536,2,400.0,,,,,1,,False
Line.ln5593215-1,LINE,ACTIVE,l3104114,m1009824,2,400.0,,,,,1,,False
Line.ln5833717-1,LINE,ACTIVE,l2745848,l2673308,1.2.3,400.0,,,,,3,,False
Line.ln6199557-1,LINE,ACTIVE,l2673308,l2991939,1.2.3,400.0,,,,,3,,False
Line.ln5744332-1,LINE,ACTIVE,l2916606,l2822864,3,400.0,,,,,1,,False
Line.ln5558790-1,LINE,ACTIVE,m1142851,196-31070,1.2.3,400.0,,,,,3,,False
Line.ln6078692-1,LINE,ACTIVE,m1209822,m1209823,3,400.0,,,,,1,,False
Line.ln5956482-1,LINE,ACTIVE,m1069550,m1069551,2,400.0,,,,,1,,False
Line.ln5593225-1,LINE,ACTIVE,l2860483,l3141397,2,400.0,,,,,1,,False
Line.ln6900591-26,LINE,ACTIVE,l3649299,m3772794,1,400.0,,,,,1,,False
Line.ln5952393-1,LINE,ACTIVE,p895106,l3048887,2,400.0,,,,,1,,False
Line.ln6350531-1,LINE,ACTIVE,m1047824,m1047834,2,400.0,,,,,1,,False
Line.ln5965099-10,LINE,ACTIVE,m1069350,n1144668,1.2.3,400.0,,,,,3,,False
Line.ln6047568-1,LINE,ACTIVE,l2879072,m1047441,2,400.0,,,,,1,,False
Line.ln5926292-1,LINE,ACTIVE,m1108274,m1108269,2,400.0,,,,,1,,False
Line.ln6380806-1,LINE,ACTIVE,l3235244,m1069398,1,400.0,,,,,1,,False
Line.ln6341781-3,LINE,ACTIVE,n1147862,l2685805,1,400.0,,,,,1,,False
Line.ln8979367-1,LINE,ACTIVE,m1069247,m1069248,1,220.0,,,,,1,,False
Line.ln6018340-1,LINE,ACTIVE,l2786273,m1108278,2,400.0,,,,,1,,False
Line.ln6380847-1,LINE,ACTIVE,l3254238,m1047303,1.2.3,400.0,,,,,3,,False
Line.ln8961797-1,LINE,ACTIVE,m1047633,l2897554,3,220.0,,,,,1,,False
Line.ln6077797-1,LINE,ACTIVE,m1069627,l2897791,2,400.0,,,,,1,,False
Line.ln6077773-1,LINE,ACTIVE,m1089097,m1108270,2,400.0,,,,,1,,False
Line.ln5837496-4,LINE,ACTIVE,n1142101,l2936214,1,400.0,,,,,1,,False
Line.ln5623392-1,LINE,ACTIVE,l3066810,l2897769,3,400.0,,,,,1,,False
Line.ln5624380-1,LINE,ACTIVE,m1209758,m1209753,2,400.0,,,,,1,,False
Line.ln6422809-2,LINE,ACTIVE,m1047528,l2858166,1.2.3,400.0,,,,,3,,False
Line.ln5799561-1,LINE,ACTIVE,m1142843,l3081380,1.2.3,400.0,,,,,3,,False
Line.ln6229818-1,LINE,ACTIVE,l2804272,l2841641,2,400.0,,,,,1,,False
Line.ln5593230-1,LINE,ACTIVE,m1069393,m1069408,2,400.0,,,,,1,,False
Line.ln5563901-3,LINE,ACTIVE,n1142104,m1108500,1.2.3,400.0,,,,,3,,False
Line.ln6320339-1,LINE,ACTIVE,l3216348,l2841627,1,400.0,,,,,1,,False
Line.ln5986927-1,LINE,ACTIVE,m1026925,l2916599,1,400.0,,,,,1,,False
Line.ln6047567-1,LINE,ACTIVE,m1047447,l2954349,2,400.0,,,,,1,,False
Line.ln5714047-1,LINE,ACTIVE,l3235246,l2710512,2,400.0,,,,,1,,False
Line.ln5563934-1,LINE,ACTIVE,m1125911,l2711224,2,400.0,,,,,1,,False
Line.ln6169249-3,LINE,ACTIVE,n1147863,l3122817,3,400.0,,,,,1,,False
Line.ln6230800-1,LINE,ACTIVE,m1186061,l2861223,2,400.0,,,,,1,,False
Line.ln5985339-2,LINE,ACTIVE,m1069130,l3085396,1,400.0,,,,,1,,False
Line.ln5898059-3,LINE,ACTIVE,e182730,n1142109,1,400.0,,,,,1,,False
Line.ln5956457-2,LINE,ACTIVE,m1069417,n1138597,1.2.3,400.0,,,,,3,,False
Line.ln5865229-1,LINE,ACTIVE,m1026987,m1026990,2,400.0,,,,,1,,False
Line.ln6018331-1,LINE,ACTIVE,m1142832,l3160865,1.2.3,400.0,,,,,3,,False
Line.ln6199535-1,LINE,ACTIVE,l2673323,m1009809,3,400.0,,,,,1,,False
Line.ln5502538-1,LINE,ACTIVE,l2822869,m1026808,1.2.3,400.0,,,,,3,,False
Line.ln5742816-2,LINE,ACTIVE,m1047825,m1069731,2,400.0,,,,,1,,False
Line.ln6229803-3,LINE,ACTIVE,n1140520,l2729410,3,400.0,,,,,1,,False
Line.ln5986930-1,LINE,ACTIVE,m1026646,l3178978,1,400.0,,,,,1,,False
Line.ln6350532-1,LINE,ACTIVE,m1069384,l3066805,1,400.0,,,,,1,,False
Line.ln5588016-3,LINE,ACTIVE,l2710546,m4362181,2,400.0,,,,,1,,False
Line.ln5623409-1,LINE,ACTIVE,m1047319,m1047318,3,400.0,,,,,1,,False
Line.ln6350560-1,LINE,ACTIVE,l3216358,m1026826,1,400.0,,,,,1,,False
Line.ln5472347-1,LINE,ACTIVE,m1108274,m1108276,2,400.0,,,,,1,,False
Line.ln6290199-1,LINE,ACTIVE,m1089198,m1089201,1.2.3,400.0,,,,,3,,False
Line.ln6409775-3,LINE,ACTIVE,m1047763,n1136027,1,400.0,,,,,1,,False
Line.ln5591811-1,LINE,ACTIVE,l3101827,m1108540,3,400.0,,,,,1,,False
Line.ln6229808-1,LINE,ACTIVE,m1026335,l2804259,1,400.0,,,,,1,,False
Line.ln5651985-3,LINE,ACTIVE,n1136357,l2897790,3,400.0,,,,,1,,False
Line.ln6047577-1,LINE,ACTIVE,m1047513,m1047507,1.2.3,400.0,,,,,3,,False
Line.ln5528574-2,LINE,ACTIVE,m1142863,n1141480,3,400.0,,,,,1,,False
Line.ln5896827-1,LINE,ACTIVE,m1125916,l2879767,2,400.0,,,,,1,,False
Line.ln5774451-1,LINE,ACTIVE,l3066809,m1069487,3,400.0,,,,,1,,False
Line.ln5504876-1,LINE,ACTIVE,m1142818,p829965,1.2.3,400.0,,,,,3,,False
Line.ln5860423-4,LINE,ACTIVE,q14733,m1047568,1.2.3,400.0,,,,,3,,False
Line.ln6138613-1,LINE,ACTIVE,m1047326,m1047322,1,400.0,,,,,1,,False
Line.ln6077771-1,LINE,ACTIVE,m1009824,l2954338,2,400.0,,,,,1,,False
Line.ln6138636-1,LINE,ACTIVE,m1047409,l2841648,1,400.0,,,,,1,,False
Line.ln6199512-1,LINE,ACTIVE,m1089177,l2729406,3,400.0,,,,,1,,False
Line.ln6047564-1,LINE,ACTIVE,m1026951,l2954347,2,400.0,,,,,1,,False
Line.ln6258460-3,LINE,ACTIVE,m4122657,l3027124,3,400.0,,,,,1,,False
Line.ln5683810-1,LINE,ACTIVE,m1069419,m1069418,1.2.3,400.0,,,,,3,,False
Line.ln5852082-1,LINE,ACTIVE,m1026824,p859694,3,400.0,,,,,1,,False
Line.ln6380816-1,LINE,ACTIVE,m1047453,l2691948,2,400.0,,,,,1,,False
Line.ln6108138-2,LINE,ACTIVE,p860892,n1139543,3,400.0,,,,,1,,False
Line.ln6167732-2,LINE,ACTIVE,m1089205,n1134472,1,400.0,,,,,1,,False
Line.ln6229831-1,LINE,ACTIVE,l2710542,l2729430,2,400.0,,,,,1,,False
Line.ln6504020-2,LINE,ACTIVE,m3032980,m3032977,1.2.3,400.0,,,,,3,,False
Line.ln81354561-2,LINE,ACTIVE,m3763618,p1121282,3,220.0,,,,,1,,False
Line.ln5654476-1,LINE,ACTIVE,l2917330,l2861222,1,400.0,,,,,1,,False
Line.ln6987572-4,LINE,ACTIVE,m1047490,p1164481,1,400.0,,,,,1,,False
Line.ln6260025-1,LINE,ACTIVE,m1069356,m1069363,3,400.0,,,,,1,,False
Line.ln5926291-1,LINE,ACTIVE,m1069418,m1069417,1.2.3,400.0,,,,,3,,False
Line.ln8961800-1,LINE,ACTIVE,p828359,l2878848,3,220.0,,,,,1,,False
Line.ln6437757-1,LINE,ACTIVE,m1047486,l3177665,1,400.0,,,,,1,,False
Line.ln5594245-1,LINE,ACTIVE,m1108278,l2805036,2,400.0,,,,,1,,False
Line.ln5957492-1,LINE,ACTIVE,l2692654,m1125929,1,400.0,,,,,1,,False
Line.ln5956464-1,LINE,ACTIVE,m1047669,m1047672,1.2.3,400.0,,,,,3,,False
Line.ln6171683-1,LINE,ACTIVE,m1125919,p829961,1,400.0,,,,,1,,False
Line.ln5625715-1,LINE,ACTIVE,m1142819,p829960,2,400.0,,,,,1,,False
Line.ln5746706-2,LINE,ACTIVE,p829979,m3036172,2,400.0,,,,,1,,False
Line.ln5653491-1,LINE,ACTIVE,m1026883,m1026898,3,400.0,,,,,1,,False
Line.ln5472361-1,LINE,ACTIVE,m1089143,l3141400,1,400.0,,,,,1,,False
Line.ln5683856-2,LINE,ACTIVE,m1069469,n1139263,1,400.0,,,,,1,,False
Line.ln5565091-1,LINE,ACTIVE,m1069481,p827507,3,400.0,,,,,1,,False
Line.ln5653466-1,LINE,ACTIVE,m1026377,l3048210,1,400.0,,,,,1,,False
Line.ln5534966-2,LINE,ACTIVE,e182722,n1138596,1,400.0,,,,,1,,False
Line.ln6409762-1,LINE,ACTIVE,m1026331,l3214055,3,400.0,,,,,1,,False
Line.ln6109158-1,LINE,ACTIVE,m1108295,l2936279,1.2.3,400.0,,,,,3,,False
Line.ln5835145-1,LINE,ACTIVE,m1026704,l2841634,2,400.0,,,,,1,,False
Line.ln5774493-1,LINE,ACTIVE,m1047386,m1047379,2,400.0,,,,,1,,False
Line.ln5835143-1,LINE,ACTIVE,m1089118,m1089115,1.2.3,400.0,,,,,3,,False
Line.ln5926315-1,LINE,ACTIVE,m1026486,m1026488,2,400.0,,,,,1,,False
Line.ln5895786-1,LINE,ACTIVE,m1026364,l3010570,1,400.0,,,,,1,,False
Line.ln81048102-5,LINE,ACTIVE,p904451,221-282819,1,220.0,,,,,1,,False
Line.ln5861084-1,LINE,ACTIVE,m1125968,p895107,3,400.0,,,,,1,,False
Line.ln5774455-2,LINE,ACTIVE,m1047672,n1136999,1,400.0,,,,,1,,False
Line.ln6108132-1,LINE,ACTIVE,m1069412,l2879061,2,400.0,,,,,1,,False
Line.ln6077775-1,LINE,ACTIVE,m1026947,m1026946,2,400.0,,,,,1,,False
Line.ln5591718-1,LINE,ACTIVE,m1142880,l2891575,3,400.0,,,,,1,,False
Line.ln5653461-1,LINE,ACTIVE,m1026848,m1026847,1,400.0,,,,,1,,False
Line.ln6290229-1,LINE,ACTIVE,l2897793,m1069521,1,400.0,,,,,1,,False
Line.ln5774463-1,LINE,ACTIVE,m1069175,l3197637,3,400.0,,,,,1,,False
Line.ln6380814-1,LINE,ACTIVE,m1047441,l3197635,2,400.0,,,,,1,,False
Line.ln5895776-1,LINE,ACTIVE,l2804257,l2860485,2,400.0,,,,,1,,False
Line.ln6200439-1,LINE,ACTIVE,l3235945,l2842330,3,400.0,,,,,1,,False
Line.ln6138601-1,LINE,ACTIVE,l2804254,m1047752,1,400.0,,,,,1,,False
Line.ln5927421-1,LINE,ACTIVE,m1166370,m1166364,3,400.0,,,,,1,,False
Line.ln5532748-5,LINE,ACTIVE,m1047592,m3763619,1.2.3,400.0,,,,,3,,False
Line.ln6506318-4,LINE,ACTIVE,m3037540,l2710509,3,400.0,,,,,1,,False
Line.ln6288856-3,LINE,ACTIVE,l2763072,m4118754,2,400.0,,,,,1,,False
Line.ln5653452-1,LINE,ACTIVE,m1089196,m1089198,1.2.3,400.0,,,,,3,,False
Line.ln6290205-1,LINE,ACTIVE,m1047484,l3010560,1.2.3,400.0,,,,,3,,False
Line.ln6350547-1,LINE,ACTIVE,l3254219,l3254220,3,400.0,,,,,1,,False
Line.ln6229800-1,LINE,ACTIVE,m1026648,m1026647,1,400.0,,,,,1,,False
Line.ln6138609-1,LINE,ACTIVE,m1089112,l2691951,3,400.0,,,,,1,,False
Line.ln81048090-1,LINE,ACTIVE,m1108433,228-1048090-1_int,2,220.0,,,,,1,,False
Line.ln5683828-1,LINE,ACTIVE,m1026327,l2841636,2,400.0,,,,,1,,False
