day,classification,DA_workload_authority,Actual_workload_authority,demand_forecast,realized_demand,PV_forecast,realized_PV,forecast_weather_C1,realized_weather_C1,traffic_mobility,feeder_source,rack_capacity,workload_compatibility,hash_identity,semantic_shape_validation,future_actual_reads,April_rows_used,reason
2025-01-14,COMPLETE,FROZEN_MODEL_AND_RAW_QUEUE_AUTHORITY_AVAILABLE,FROZEN_STRICT_FULL_KESTREL_ARCHIVE_AVAILABLE,COMPLETE,COMPLETE_RAW_ARCHIVE,COMPLETE,COMPLETE_RAW_ARCHIVE,COMPLETE,COMPLETE_RAW_AUTHORITY,COMPLETE_RAW_ARCHIVE_AND_FROZEN_ENGINEERING_ROUTE,COMPLETE_FROZEN_IEEE123_AND_90_ANCHOR_BACKGROUNDS,COMPLETE_FROZEN_V16_MAPPING,COMPLETE_STRICT_FULL_FROZEN_DOMAIN,True,True,0,0,
2025-01-15,COMPLETE,FROZEN_MODEL_AND_RAW_QUEUE_AUTHORITY_AVAILABLE,FROZEN_STRICT_FULL_KESTREL_ARCHIVE_AVAILABLE,COMPLETE,COMPLETE_RAW_ARCHIVE,COMPLETE,COMPLETE_RAW_ARCHIVE,COMPLETE,COMPLETE_RAW_AUTHORITY,COMPLETE_RAW_ARCHIVE_AND_FROZEN_ENGINEERING_ROUTE,COMPLETE_FROZEN_IEEE123_AND_90_ANCHOR_BACKGROUNDS,COMPLETE_FROZEN_V16_MAPPING,COMPLETE_STRICT_FULL_FROZEN_DOMAIN,True,True,0,0,
2025-01-16,COMPLETE,FROZEN_MODEL_AND_RAW_QUEUE_AUTHORITY_AVAILABLE,FROZEN_STRICT_FULL_KESTREL_ARCHIVE_AVAILABLE,COMPLETE,COMPLETE_RAW_ARCHIVE,COMPLETE,COMPLETE_RAW_ARCHIVE,COMPLETE,COMPLETE_RAW_AUTHORITY,COMPLETE_RAW_ARCHIVE_AND_FROZEN_ENGINEERING_ROUTE,COMPLETE_FROZEN_IEEE123_AND_90_ANCHOR_BACKGROUNDS,COMPLETE_FROZEN_V16_MAPPING,COMPLETE_STRICT_FULL_FROZEN_DOMAIN,True,True,0,0,
2025-01-17,COMPLETE,FROZEN_MODEL_AND_RAW_QUEUE_AUTHORITY_AVAILABLE,FROZEN_STRICT_FULL_KESTREL_ARCHIVE_AVAILABLE,COMPLETE,COMPLETE_RAW_ARCHIVE,COMPLETE,COMPLETE_RAW_ARCHIVE,COMPLETE,COMPLETE_RAW_AUTHORITY,COMPLETE_RAW_ARCHIVE_AND_FROZEN_ENGINEERING_ROUTE,COMPLETE_FROZEN_IEEE123_AND_90_ANCHOR_BACKGROUNDS,COMPLETE_FROZEN_V16_MAPPING,COMPLETE_STRICT_FULL_FROZEN_DOMAIN,True,True,0,0,
2025-01-18,COMPLETE,FROZEN_MODEL_AND_RAW_QUEUE_AUTHORITY_AVAILABLE,FROZEN_STRICT_FULL_KESTREL_ARCHIVE_AVAILABLE,COMPLETE,COMPLETE_RAW_ARCHIVE,COMPLETE,COMPLETE_RAW_ARCHIVE,COMPLETE,COMPLETE_RAW_AUTHORITY,COMPLETE_RAW_ARCHIVE_AND_FROZEN_ENGINEERING_ROUTE,COMPLETE_FROZEN_IEEE123_AND_90_ANCHOR_BACKGROUNDS,COMPLETE_FROZEN_V16_MAPPING,COMPLETE_STRICT_FULL_FROZEN_DOMAIN,True,True,0,0,
2025-01-19,COMPLETE,FROZEN_MODEL_AND_RAW_QUEUE_AUTHORITY_AVAILABLE,FROZEN_STRICT_FULL_KESTREL_ARCHIVE_AVAILABLE,COMPLETE,COMPLETE_RAW_ARCHIVE,COMPLETE,COMPLETE_RAW_ARCHIVE,COMPLETE,COMPLETE_RAW_AUTHORITY,COMPLETE_RAW_ARCHIVE_AND_FROZEN_ENGINEERING_ROUTE,COMPLETE_FROZEN_IEEE123_AND_90_ANCHOR_BACKGROUNDS,COMPLETE_FROZEN_V16_MAPPING,COMPLETE_STRICT_FULL_FROZEN_DOMAIN,True,True,0,0,
2025-01-20,COMPLETE,FROZEN_MODEL_AND_RAW_QUEUE_AUTHORITY_AVAILABLE,FROZEN_STRICT_FULL_KESTREL_ARCHIVE_AVAILABLE,COMPLETE,COMPLETE_RAW_ARCHIVE,COMPLETE,COMPLETE_RAW_ARCHIVE,COMPLETE,COMPLETE_RAW_AUTHORITY,COMPLETE_RAW_ARCHIVE_AND_FROZEN_ENGINEERING_ROUTE,COMPLETE_FROZEN_IEEE123_AND_90_ANCHOR_BACKGROUNDS,COMPLETE_FROZEN_V16_MAPPING,COMPLETE_STRICT_FULL_FROZEN_DOMAIN,True,True,0,0,
2025-01-21,COMPLETE,FROZEN_MODEL_AND_RAW_QUEUE_AUTHORITY_AVAILABLE,FROZEN_STRICT_FULL_KESTREL_ARCHIVE_AVAILABLE,COMPLETE,COMPLETE_RAW_ARCHIVE,COMPLETE,COMPLETE_RAW_ARCHIVE,COMPLETE,COMPLETE_RAW_AUTHORITY,COMPLETE_RAW_ARCHIVE_AND_FROZEN_ENGINEERING_ROUTE,COMPLETE_FROZEN_IEEE123_AND_90_ANCHOR_BACKGROUNDS,COMPLETE_FROZEN_V16_MAPPING,COMPLETE_STRICT_FULL_FROZEN_DOMAIN,True,True,0,0,
2025-01-22,COMPLETE,FROZEN_MODEL_AND_RAW_QUEUE_AUTHORITY_AVAILABLE,FROZEN_STRICT_FULL_KESTREL_ARCHIVE_AVAILABLE,COMPLETE,COMPLETE_RAW_ARCHIVE,COMPLETE,COMPLETE_RAW_ARCHIVE,COMPLETE,COMPLETE_RAW_AUTHORITY,COMPLETE_RAW_ARCHIVE_AND_FROZEN_ENGINEERING_ROUTE,COMPLETE_FROZEN_IEEE123_AND_90_ANCHOR_BACKGROUNDS,COMPLETE_FROZEN_V16_MAPPING,COMPLETE_STRICT_FULL_FROZEN_DOMAIN,True,True,0,0,
2025-01-23,COMPLETE,FROZEN_MODEL_AND_RAW_QUEUE_AUTHORITY_AVAILABLE,FROZEN_STRICT_FULL_KESTREL_ARCHIVE_AVAILABLE,COMPLETE,COMPLETE_RAW_ARCHIVE,COMPLETE,COMPLETE_RAW_ARCHIVE,COMPLETE,COMPLETE_RAW_AUTHORITY,COMPLETE_RAW_ARCHIVE_AND_FROZEN_ENGINEERING_ROUTE,COMPLETE_FROZEN_IEEE123_AND_90_ANCHOR_BACKGROUNDS,COMPLETE_FROZEN_V16_MAPPING,COMPLETE_STRICT_FULL_FROZEN_DOMAIN,True,True,0,0,
2025-01-24,COMPLETE,FROZEN_MODEL_AND_RAW_QUEUE_AUTHORITY_AVAILABLE,FROZEN_STRICT_FULL_KESTREL_ARCHIVE_AVAILABLE,COMPLETE,COMPLETE_RAW_ARCHIVE,COMPLETE,COMPLETE_RAW_ARCHIVE,COMPLETE,COMPLETE_RAW_AUTHORITY,COMPLETE_RAW_ARCHIVE_AND_FROZEN_ENGINEERING_ROUTE,COMPLETE_FROZEN_IEEE123_AND_90_ANCHOR_BACKGROUNDS,COMPLETE_FROZEN_V16_MAPPING,COMPLETE_STRICT_FULL_FROZEN_DOMAIN,True,True,0,0,
2025-01-25,COMPLETE,FROZEN_MODEL_AND_RAW_QUEUE_AUTHORITY_AVAILABLE,FROZEN_STRICT_FULL_KESTREL_ARCHIVE_AVAILABLE,COMPLETE,COMPLETE_RAW_ARCHIVE,COMPLETE,COMPLETE_RAW_ARCHIVE,COMPLETE,COMPLETE_RAW_AUTHORITY,COMPLETE_RAW_ARCHIVE_AND_FROZEN_ENGINEERING_ROUTE,COMPLETE_FROZEN_IEEE123_AND_90_ANCHOR_BACKGROUNDS,COMPLETE_FROZEN_V16_MAPPING,COMPLETE_STRICT_FULL_FROZEN_DOMAIN,True,True,0,0,
2025-01-26,COMPLETE,FROZEN_MODEL_AND_RAW_QUEUE_AUTHORITY_AVAILABLE,FROZEN_STRICT_FULL_KESTREL_ARCHIVE_AVAILABLE,COMPLETE,COMPLETE_RAW_ARCHIVE,COMPLETE,COMPLETE_RAW_ARCHIVE,COMPLETE,COMPLETE_RAW_AUTHORITY,COMPLETE_RAW_ARCHIVE_AND_FROZEN_ENGINEERING_ROUTE,COMPLETE_FROZEN_IEEE123_AND_90_ANCHOR_BACKGROUNDS,COMPLETE_FROZEN_V16_MAPPING,COMPLETE_STRICT_FULL_FROZEN_DOMAIN,True,True,0,0,
2025-01-27,COMPLETE,FROZEN_MODEL_AND_RAW_QUEUE_AUTHORITY_AVAILABLE,FROZEN_STRICT_FULL_KESTREL_ARCHIVE_AVAILABLE,COMPLETE,COMPLETE_RAW_ARCHIVE,COMPLETE,COMPLETE_RAW_ARCHIVE,COMPLETE,COMPLETE_RAW_AUTHORITY,COMPLETE_RAW_ARCHIVE_AND_FROZEN_ENGINEERING_ROUTE,COMPLETE_FROZEN_IEEE123_AND_90_ANCHOR_BACKGROUNDS,COMPLETE_FROZEN_V16_MAPPING,COMPLETE_STRICT_FULL_FROZEN_DOMAIN,True,True,0,0,
2025-01-28,COMPLETE,FROZEN_MODEL_AND_RAW_QUEUE_AUTHORITY_AVAILABLE,FROZEN_STRICT_FULL_KESTREL_ARCHIVE_AVAILABLE,COMPLETE,COMPLETE_RAW_ARCHIVE,COMPLETE,COMPLETE_RAW_ARCHIVE,COMPLETE,COMPLETE_RAW_AUTHORITY,COMPLETE_RAW_ARCHIVE_AND_FROZEN_ENGINEERING_ROUTE,COMPLETE_FROZEN_IEEE123_AND_90_ANCHOR_BACKGROUNDS,COMPLETE_FROZEN_V16_MAPPING,COMPLETE_STRICT_FULL_FROZEN_DOMAIN,True,True,0,0,
2025-01-29,COMPLETE,FROZEN_MODEL_AND_RAW_QUEUE_AUTHORITY_AVAILABLE,FROZEN_STRICT_FULL_KESTREL_ARCHIVE_AVAILABLE,COMPLETE,COMPLETE_RAW_ARCHIVE,COMPLETE,COMPLETE_RAW_ARCHIVE,COMPLETE,COMPLETE_RAW_AUTHORITY,COMPLETE_RAW_ARCHIVE_AND_FROZEN_ENGINEERING_ROUTE,COMPLETE_FROZEN_IEEE123_AND_90_ANCHOR_BACKGROUNDS,COMPLETE_FROZEN_V16_MAPPING,COMPLETE_STRICT_FULL_FROZEN_DOMAIN,True,True,0,0,
2025-01-30,COMPLETE,FROZEN_MODEL_AND_RAW_QUEUE_AUTHORITY_AVAILABLE,FROZEN_STRICT_FULL_KESTREL_ARCHIVE_AVAILABLE,COMPLETE,COMPLETE_RAW_ARCHIVE,COMPLETE,COMPLETE_RAW_ARCHIVE,COMPLETE,COMPLETE_RAW_AUTHORITY,COMPLETE_RAW_ARCHIVE_AND_FROZEN_ENGINEERING_ROUTE,COMPLETE_FROZEN_IEEE123_AND_90_ANCHOR_BACKGROUNDS,COMPLETE_FROZEN_V16_MAPPING,COMPLETE_STRICT_FULL_FROZEN_DOMAIN,True,True,0,0,
2025-01-31,COMPLETE,FROZEN_MODEL_AND_RAW_QUEUE_AUTHORITY_AVAILABLE,FROZEN_STRICT_FULL_KESTREL_ARCHIVE_AVAILABLE,COMPLETE,COMPLETE_RAW_ARCHIVE,COMPLETE,COMPLETE_RAW_ARCHIVE,COMPLETE,COMPLETE_RAW_AUTHORITY,COMPLETE_RAW_ARCHIVE_AND_FROZEN_ENGINEERING_ROUTE,COMPLETE_FROZEN_IEEE123_AND_90_ANCHOR_BACKGROUNDS,COMPLETE_FROZEN_V16_MAPPING,COMPLETE_STRICT_FULL_FROZEN_DOMAIN,True,True,0,0,
2025-02-01,COMPLETE,FROZEN_MODEL_AND_RAW_QUEUE_AUTHORITY_AVAILABLE,FROZEN_STRICT_FULL_KESTREL_ARCHIVE_AVAILABLE,COMPLETE,COMPLETE_RAW_ARCHIVE,COMPLETE,COMPLETE_RAW_ARCHIVE,COMPLETE,COMPLETE_RAW_AUTHORITY,COMPLETE_RAW_ARCHIVE_AND_FROZEN_ENGINEERING_ROUTE,COMPLETE_FROZEN_IEEE123_AND_90_ANCHOR_BACKGROUNDS,COMPLETE_FROZEN_V16_MAPPING,COMPLETE_STRICT_FULL_FROZEN_DOMAIN,True,True,0,0,
2025-02-02,COMPLETE,FROZEN_MODEL_AND_RAW_QUEUE_AUTHORITY_AVAILABLE,FROZEN_STRICT_FULL_KESTREL_ARCHIVE_AVAILABLE,COMPLETE,COMPLETE_RAW_ARCHIVE,COMPLETE,COMPLETE_RAW_ARCHIVE,COMPLETE,COMPLETE_RAW_AUTHORITY,COMPLETE_RAW_ARCHIVE_AND_FROZEN_ENGINEERING_ROUTE,COMPLETE_FROZEN_IEEE123_AND_90_ANCHOR_BACKGROUNDS,COMPLETE_FROZEN_V16_MAPPING,COMPLETE_STRICT_FULL_FROZEN_DOMAIN,True,True,0,0,
2025-02-03,COMPLETE,FROZEN_MODEL_AND_RAW_QUEUE_AUTHORITY_AVAILABLE,FROZEN_STRICT_FULL_KESTREL_ARCHIVE_AVAILABLE,COMPLETE,COMPLETE_RAW_ARCHIVE,COMPLETE,COMPLETE_RAW_ARCHIVE,COMPLETE,COMPLETE_RAW_AUTHORITY,COMPLETE_RAW_ARCHIVE_AND_FROZEN_ENGINEERING_ROUTE,COMPLETE_FROZEN_IEEE123_AND_90_ANCHOR_BACKGROUNDS,COMPLETE_FROZEN_V16_MAPPING,COMPLETE_STRICT_FULL_FROZEN_DOMAIN,True,True,0,0,
2025-02-04,COMPLETE,FROZEN_MODEL_AND_RAW_QUEUE_AUTHORITY_AVAILABLE,FROZEN_STRICT_FULL_KESTREL_ARCHIVE_AVAILABLE,COMPLETE,COMPLETE_RAW_ARCHIVE,COMPLETE,COMPLETE_RAW_ARCHIVE,COMPLETE,COMPLETE_RAW_AUTHORITY,COMPLETE_RAW_ARCHIVE_AND_FROZEN_ENGINEERING_ROUTE,COMPLETE_FROZEN_IEEE123_AND_90_ANCHOR_BACKGROUNDS,COMPLETE_FROZEN_V16_MAPPING,COMPLETE_STRICT_FULL_FROZEN_DOMAIN,True,True,0,0,
2025-02-05,COMPLETE,FROZEN_MODEL_AND_RAW_QUEUE_AUTHORITY_AVAILABLE,FROZEN_STRICT_FULL_KESTREL_ARCHIVE_AVAILABLE,COMPLETE,COMPLETE_RAW_ARCHIVE,COMPLETE,COMPLETE_RAW_ARCHIVE,COMPLETE,COMPLETE_RAW_AUTHORITY,COMPLETE_RAW_ARCHIVE_AND_FROZEN_ENGINEERING_ROUTE,COMPLETE_FROZEN_IEEE123_AND_90_ANCHOR_BACKGROUNDS,COMPLETE_FROZEN_V16_MAPPING,COMPLETE_STRICT_FULL_FROZEN_DOMAIN,True,True,0,0,
2025-02-06,COMPLETE,FROZEN_MODEL_AND_RAW_QUEUE_AUTHORITY_AVAILABLE,FROZEN_STRICT_FULL_KESTREL_ARCHIVE_AVAILABLE,COMPLETE,COMPLETE_RAW_ARCHIVE,COMPLETE,COMPLETE_RAW_ARCHIVE,COMPLETE,COMPLETE_RAW_AUTHORITY,COMPLETE_RAW_ARCHIVE_AND_FROZEN_ENGINEERING_ROUTE,COMPLETE_FROZEN_IEEE123_AND_90_ANCHOR_BACKGROUNDS,COMPLETE_FROZEN_V16_MAPPING,COMPLETE_STRICT_FULL_FROZEN_DOMAIN,True,True,0,0,
2025-02-07,COMPLETE,FROZEN_MODEL_AND_RAW_QUEUE_AUTHORITY_AVAILABLE,FROZEN_STRICT_FULL_KESTREL_ARCHIVE_AVAILABLE,COMPLETE,COMPLETE_RAW_ARCHIVE,COMPLETE,COMPLETE_RAW_ARCHIVE,COMPLETE,COMPLETE_RAW_AUTHORITY,COMPLETE_RAW_ARCHIVE_AND_FROZEN_ENGINEERING_ROUTE,COMPLETE_FROZEN_IEEE123_AND_90_ANCHOR_BACKGROUNDS,COMPLETE_FROZEN_V16_MAPPING,COMPLETE_STRICT_FULL_FROZEN_DOMAIN,True,True,0,0,
2025-02-08,COMPLETE,FROZEN_MODEL_AND_RAW_QUEUE_AUTHORITY_AVAILABLE,FROZEN_STRICT_FULL_KESTREL_ARCHIVE_AVAILABLE,COMPLETE,COMPLETE_RAW_ARCHIVE,COMPLETE,COMPLETE_RAW_ARCHIVE,COMPLETE,COMPLETE_RAW_AUTHORITY,COMPLETE_RAW_ARCHIVE_AND_FROZEN_ENGINEERING_ROUTE,COMPLETE_FROZEN_IEEE123_AND_90_ANCHOR_BACKGROUNDS,COMPLETE_FROZEN_V16_MAPPING,COMPLETE_STRICT_FULL_FROZEN_DOMAIN,True,True,0,0,
2025-02-09,COMPLETE,FROZEN_MODEL_AND_RAW_QUEUE_AUTHORITY_AVAILABLE,FROZEN_STRICT_FULL_KESTREL_ARCHIVE_AVAILABLE,COMPLETE,COMPLETE_RAW_ARCHIVE,COMPLETE,COMPLETE_RAW_ARCHIVE,COMPLETE,COMPLETE_RAW_AUTHORITY,COMPLETE_RAW_ARCHIVE_AND_FROZEN_ENGINEERING_ROUTE,COMPLETE_FROZEN_IEEE123_AND_90_ANCHOR_BACKGROUNDS,COMPLETE_FROZEN_V16_MAPPING,COMPLETE_STRICT_FULL_FROZEN_DOMAIN,True,True,0,0,
2025-02-10,COMPLETE,FROZEN_MODEL_AND_RAW_QUEUE_AUTHORITY_AVAILABLE,FROZEN_STRICT_FULL_KESTREL_ARCHIVE_AVAILABLE,COMPLETE,COMPLETE_RAW_ARCHIVE,COMPLETE,COMPLETE_RAW_ARCHIVE,COMPLETE,COMPLETE_RAW_AUTHORITY,COMPLETE_RAW_ARCHIVE_AND_FROZEN_ENGINEERING_ROUTE,COMPLETE_FROZEN_IEEE123_AND_90_ANCHOR_BACKGROUNDS,COMPLETE_FROZEN_V16_MAPPING,COMPLETE_STRICT_FULL_FROZEN_DOMAIN,True,True,0,0,
2025-02-11,COMPLETE,FROZEN_MODEL_AND_RAW_QUEUE_AUTHORITY_AVAILABLE,FROZEN_STRICT_FULL_KESTREL_ARCHIVE_AVAILABLE,COMPLETE,COMPLETE_RAW_ARCHIVE,COMPLETE,COMPLETE_RAW_ARCHIVE,COMPLETE,COMPLETE_RAW_AUTHORITY,COMPLETE_RAW_ARCHIVE_AND_FROZEN_ENGINEERING_ROUTE,COMPLETE_FROZEN_IEEE123_AND_90_ANCHOR_BACKGROUNDS,COMPLETE_FROZEN_V16_MAPPING,COMPLETE_STRICT_FULL_FROZEN_DOMAIN,True,True,0,0,
2025-02-12,COMPLETE,FROZEN_MODEL_AND_RAW_QUEUE_AUTHORITY_AVAILABLE,FROZEN_STRICT_FULL_KESTREL_ARCHIVE_AVAILABLE,COMPLETE,COMPLETE_RAW_ARCHIVE,COMPLETE,COMPLETE_RAW_ARCHIVE,COMPLETE,COMPLETE_RAW_AUTHORITY,COMPLETE_RAW_ARCHIVE_AND_FROZEN_ENGINEERING_ROUTE,COMPLETE_FROZEN_IEEE123_AND_90_ANCHOR_BACKGROUNDS,COMPLETE_FROZEN_V16_MAPPING,COMPLETE_STRICT_FULL_FROZEN_DOMAIN,True,True,0,0,
2025-02-13,COMPLETE,FROZEN_MODEL_AND_RAW_QUEUE_AUTHORITY_AVAILABLE,FROZEN_STRICT_FULL_KESTREL_ARCHIVE_AVAILABLE,COMPLETE,COMPLETE_RAW_ARCHIVE,COMPLETE,COMPLETE_RAW_ARCHIVE,COMPLETE,COMPLETE_RAW_AUTHORITY,COMPLETE_RAW_ARCHIVE_AND_FROZEN_ENGINEERING_ROUTE,COMPLETE_FROZEN_IEEE123_AND_90_ANCHOR_BACKGROUNDS,COMPLETE_FROZEN_V16_MAPPING,COMPLETE_STRICT_FULL_FROZEN_DOMAIN,True,True,0,0,
