proof_day,case_path,function,file,field_or_table,timestamp_range_requested,classification,numerical_consumer,observed,sha256
2025-01-15,B1/B0,static-confirmed dynamic field-elision probe,traffic_mobility.json logical namespace,actual_volume,2025-01-15 slots 0..95,DIAGNOSTIC_ONLY,NONE,"not requested by _mess_authority, replay_mess, solve_causal_day, or run_fresh_opendss",
2025-01-15,B3/B2,static-confirmed dynamic field-elision probe,traffic_mobility.json logical namespace,actual_volume,2025-01-15 slots 0..95,DIAGNOSTIC_ONLY,NONE,"not requested by _mess_authority, replay_mess, solve_causal_day, or run_fresh_opendss",
2025-02-15,B1/B0,V32R2 read-only probe of frozen consumer input,C:\Users\kjw39\OneDrive\문서\ChatGPT\Mobile ESS 2\MobileESS_v29r1_reliability_calibrated_noregret\cache\v29r1_trust_cert_sources\jan_mar_2025\days\2025-02-15\aemo_forecast.json,timestamps_96;demand_mw_96;pv_mw_96,2025-02-15 slots 0..95,DECISION_DRIVING,materialize_formulation_data -> x_DA planning background,timestamps_96=96;demand_mw_96=96;pv_mw_96=96,ec661166d5396acd1755f60207ca17823d23e7cfd544b43b4e1553f93aa7f613
2025-02-15,B3/B2,V32R2 read-only probe of frozen consumer input,C:\Users\kjw39\OneDrive\문서\ChatGPT\Mobile ESS 2\MobileESS_v29r1_reliability_calibrated_noregret\cache\v29r1_trust_cert_sources\jan_mar_2025\days\2025-02-15\aemo_forecast.json,timestamps_96;demand_mw_96;pv_mw_96,2025-02-15 slots 0..95,DECISION_DRIVING,materialize_formulation_data -> x_DA planning background,timestamps_96=96;demand_mw_96=96;pv_mw_96=96,ec661166d5396acd1755f60207ca17823d23e7cfd544b43b4e1553f93aa7f613
2025-02-15,B1/B0,V32R2 read-only probe of frozen consumer input,C:\Users\kjw39\OneDrive\문서\ChatGPT\Mobile ESS 2\MobileESS_v29r1_reliability_calibrated_noregret\cache\v29r1_trust_cert_sources\jan_mar_2025\days\2025-02-15\gfs_d1_weather.parquet,t_wb_c;rh_pct,2025-02-15 slots 0..95,DECISION_DRIVING,endpoint_secant -> x_DA C1 coefficients,"rows=96;columns=t_wb_c,rh_pct",50c433e4f8857216c73fb6d4c3d44d7806b1a4fef1e9c4701dc3be039ac10b0b
2025-02-15,B3/B2,V32R2 read-only probe of frozen consumer input,C:\Users\kjw39\OneDrive\문서\ChatGPT\Mobile ESS 2\MobileESS_v29r1_reliability_calibrated_noregret\cache\v29r1_trust_cert_sources\jan_mar_2025\days\2025-02-15\gfs_d1_weather.parquet,t_wb_c;rh_pct,2025-02-15 slots 0..95,DECISION_DRIVING,endpoint_secant -> x_DA C1 coefficients,"rows=96;columns=t_wb_c,rh_pct",50c433e4f8857216c73fb6d4c3d44d7806b1a4fef1e9c4701dc3be039ac10b0b
2025-02-15,B1/B0,V32R2 read-only probe of frozen consumer input,C:\Users\kjw39\OneDrive\문서\ChatGPT\Mobile ESS 2\MobileESS_v29r1_reliability_calibrated_noregret\cache\v29r1_trust_cert_sources\jan_mar_2025\days\2025-02-15\source_day_manifest.json,source_day_sha256;causality,2025-02-15 slots 0..95,DIAGNOSTIC_ONLY,provenance/hash audit only,source_day_sha256=present;causality=present,d81450afc66d2ab4aade980b9ace4d250f6197548e1198c1eb5e1cd58ed32843
2025-02-15,B3/B2,V32R2 read-only probe of frozen consumer input,C:\Users\kjw39\OneDrive\문서\ChatGPT\Mobile ESS 2\MobileESS_v29r1_reliability_calibrated_noregret\cache\v29r1_trust_cert_sources\jan_mar_2025\days\2025-02-15\source_day_manifest.json,source_day_sha256;causality,2025-02-15 slots 0..95,DIAGNOSTIC_ONLY,provenance/hash audit only,source_day_sha256=present;causality=present,d81450afc66d2ab4aade980b9ace4d250f6197548e1198c1eb5e1cd58ed32843
2025-02-15,B1/B0,V32R2 read-only probe of frozen consumer input,C:\Users\kjw39\OneDrive\문서\ChatGPT\Mobile ESS 2\MobileESS_v29r1_reliability_calibrated_noregret\cache\v29r1_trust_cert_sources\jan_mar_2025\electrical_anchor\2025-02-15\D1_AC_ANCHOR.npz,node_names;regulator_taps;capacitor_states,2025-02-15 slots 0..95,PHYSICAL_REPLAY_REQUIRED,apply_frozen_native_state -> Fresh trajectory,"keys=anchor_control,anchor_v_squared,branch_current_a,branch_names,branch_p_kw,branch_q_kvar,capacitor_states,control_names,deterministic_repeat_max_abs_error,native_master_sha,node_names,operating_day,plan_sha256,regulator_taps,root_pq,schema_version,sensitivity;requested_present=node_names,regulator_taps,capacitor_states",81b170db8dd622643d579ecb754fdce5d28ee0eee19bbbcc1d64ccc0e0bb1a5f
2025-02-15,B3/B2,V32R2 read-only probe of frozen consumer input,C:\Users\kjw39\OneDrive\문서\ChatGPT\Mobile ESS 2\MobileESS_v29r1_reliability_calibrated_noregret\cache\v29r1_trust_cert_sources\jan_mar_2025\electrical_anchor\2025-02-15\D1_AC_ANCHOR.npz,node_names;regulator_taps;capacitor_states,2025-02-15 slots 0..95,PHYSICAL_REPLAY_REQUIRED,apply_frozen_native_state -> Fresh trajectory,"keys=anchor_control,anchor_v_squared,branch_current_a,branch_names,branch_p_kw,branch_q_kvar,capacitor_states,control_names,deterministic_repeat_max_abs_error,native_master_sha,node_names,operating_day,plan_sha256,regulator_taps,root_pq,schema_version,sensitivity;requested_present=node_names,regulator_taps,capacitor_states",81b170db8dd622643d579ecb754fdce5d28ee0eee19bbbcc1d64ccc0e0bb1a5f
2025-02-15,B1/B0,dayahead.v29.source_namespace.materialize_traffic_mobility_namespaces (field-lineage probe),traffic_mobility.json logical namespace,mess.mode;mess.location;mess.available;mess.safe_travel_energy_kwh;mess.initial_energy_kwh,2025-02-15 slots 0..95,PHYSICAL_REPLAY_REQUIRED,_mess_authority/replay_mess,engineering fields are independent of SCATS actual_volume by construction,8ac6a742e6a7d46cd4631f750e6732560303e595fe2ca594e9be64211cc6237a
2025-02-15,B3/B2,dayahead.v29.source_namespace.materialize_traffic_mobility_namespaces (field-lineage probe),traffic_mobility.json logical namespace,mess.mode;mess.location;mess.available;mess.safe_travel_energy_kwh;mess.initial_energy_kwh,2025-02-15 slots 0..95,DECISION_DRIVING,_mess_authority/replay_mess,engineering fields are independent of SCATS actual_volume by construction,8ac6a742e6a7d46cd4631f750e6732560303e595fe2ca594e9be64211cc6237a
2025-02-15,B1/B0,static-confirmed dynamic field-elision probe,traffic_mobility.json logical namespace,actual_volume,2025-02-15 slots 0..95,DIAGNOSTIC_ONLY,NONE,"not requested by _mess_authority, replay_mess, solve_causal_day, or run_fresh_opendss",
2025-02-15,B3/B2,static-confirmed dynamic field-elision probe,traffic_mobility.json logical namespace,actual_volume,2025-02-15 slots 0..95,DIAGNOSTIC_ONLY,NONE,"not requested by _mess_authority, replay_mess, solve_causal_day, or run_fresh_opendss",
2025-03-15,B1/B0,V32R2 read-only probe of frozen consumer input,C:\Users\kjw39\OneDrive\문서\ChatGPT\Mobile ESS 2\MobileESS_v29r1_reliability_calibrated_noregret\cache\v29r1_trust_cert_sources\jan_mar_2025\days\2025-03-15\aemo_forecast.json,timestamps_96;demand_mw_96;pv_mw_96,2025-03-15 slots 0..95,DECISION_DRIVING,materialize_formulation_data -> x_DA planning background,timestamps_96=96;demand_mw_96=96;pv_mw_96=96,faa51e15b55fd9352759b12a473495f1d94363b071c377a1e754ae45f787d86f
2025-03-15,B3/B2,V32R2 read-only probe of frozen consumer input,C:\Users\kjw39\OneDrive\문서\ChatGPT\Mobile ESS 2\MobileESS_v29r1_reliability_calibrated_noregret\cache\v29r1_trust_cert_sources\jan_mar_2025\days\2025-03-15\aemo_forecast.json,timestamps_96;demand_mw_96;pv_mw_96,2025-03-15 slots 0..95,DECISION_DRIVING,materialize_formulation_data -> x_DA planning background,timestamps_96=96;demand_mw_96=96;pv_mw_96=96,faa51e15b55fd9352759b12a473495f1d94363b071c377a1e754ae45f787d86f
2025-03-15,B1/B0,V32R2 read-only probe of frozen consumer input,C:\Users\kjw39\OneDrive\문서\ChatGPT\Mobile ESS 2\MobileESS_v29r1_reliability_calibrated_noregret\cache\v29r1_trust_cert_sources\jan_mar_2025\days\2025-03-15\gfs_d1_weather.parquet,t_wb_c;rh_pct,2025-03-15 slots 0..95,DECISION_DRIVING,endpoint_secant -> x_DA C1 coefficients,"rows=96;columns=t_wb_c,rh_pct",79eaa0b8e19f8bd9e32111ff1b5b800c43c1c6b2632e73b5f1434f274aaa0bca
2025-03-15,B3/B2,V32R2 read-only probe of frozen consumer input,C:\Users\kjw39\OneDrive\문서\ChatGPT\Mobile ESS 2\MobileESS_v29r1_reliability_calibrated_noregret\cache\v29r1_trust_cert_sources\jan_mar_2025\days\2025-03-15\gfs_d1_weather.parquet,t_wb_c;rh_pct,2025-03-15 slots 0..95,DECISION_DRIVING,endpoint_secant -> x_DA C1 coefficients,"rows=96;columns=t_wb_c,rh_pct",79eaa0b8e19f8bd9e32111ff1b5b800c43c1c6b2632e73b5f1434f274aaa0bca
2025-03-15,B1/B0,V32R2 read-only probe of frozen consumer input,C:\Users\kjw39\OneDrive\문서\ChatGPT\Mobile ESS 2\MobileESS_v29r1_reliability_calibrated_noregret\cache\v29r1_trust_cert_sources\jan_mar_2025\days\2025-03-15\source_day_manifest.json,source_day_sha256;causality,2025-03-15 slots 0..95,DIAGNOSTIC_ONLY,provenance/hash audit only,source_day_sha256=present;causality=present,7e608efec157c784c58b1cf29d3bccc9d54619968f7c6ff8197971b742c5b100
2025-03-15,B3/B2,V32R2 read-only probe of frozen consumer input,C:\Users\kjw39\OneDrive\문서\ChatGPT\Mobile ESS 2\MobileESS_v29r1_reliability_calibrated_noregret\cache\v29r1_trust_cert_sources\jan_mar_2025\days\2025-03-15\source_day_manifest.json,source_day_sha256;causality,2025-03-15 slots 0..95,DIAGNOSTIC_ONLY,provenance/hash audit only,source_day_sha256=present;causality=present,7e608efec157c784c58b1cf29d3bccc9d54619968f7c6ff8197971b742c5b100
2025-03-15,B1/B0,V32R2 read-only probe of frozen consumer input,C:\Users\kjw39\OneDrive\문서\ChatGPT\Mobile ESS 2\MobileESS_v29r1_reliability_calibrated_noregret\cache\v29r1_trust_cert_sources\jan_mar_2025\electrical_anchor\2025-03-15\D1_AC_ANCHOR.npz,node_names;regulator_taps;capacitor_states,2025-03-15 slots 0..95,PHYSICAL_REPLAY_REQUIRED,apply_frozen_native_state -> Fresh trajectory,"keys=anchor_control,anchor_v_squared,branch_current_a,branch_names,branch_p_kw,branch_q_kvar,capacitor_states,control_names,deterministic_repeat_max_abs_error,native_master_sha,node_names,operating_day,plan_sha256,regulator_taps,root_pq,schema_version,sensitivity;requested_present=node_names,regulator_taps,capacitor_states",b89709b2faaadfd66b50dfb1c9ee741b134d476b85aa21c41bde3a667c8c0a08
2025-03-15,B3/B2,V32R2 read-only probe of frozen consumer input,C:\Users\kjw39\OneDrive\문서\ChatGPT\Mobile ESS 2\MobileESS_v29r1_reliability_calibrated_noregret\cache\v29r1_trust_cert_sources\jan_mar_2025\electrical_anchor\2025-03-15\D1_AC_ANCHOR.npz,node_names;regulator_taps;capacitor_states,2025-03-15 slots 0..95,PHYSICAL_REPLAY_REQUIRED,apply_frozen_native_state -> Fresh trajectory,"keys=anchor_control,anchor_v_squared,branch_current_a,branch_names,branch_p_kw,branch_q_kvar,capacitor_states,control_names,deterministic_repeat_max_abs_error,native_master_sha,node_names,operating_day,plan_sha256,regulator_taps,root_pq,schema_version,sensitivity;requested_present=node_names,regulator_taps,capacitor_states",b89709b2faaadfd66b50dfb1c9ee741b134d476b85aa21c41bde3a667c8c0a08
2025-03-15,B1/B0,dayahead.v29.source_namespace.materialize_traffic_mobility_namespaces (field-lineage probe),traffic_mobility.json logical namespace,mess.mode;mess.location;mess.available;mess.safe_travel_energy_kwh;mess.initial_energy_kwh,2025-03-15 slots 0..95,PHYSICAL_REPLAY_REQUIRED,_mess_authority/replay_mess,engineering fields are independent of SCATS actual_volume by construction,ec0b1a6bbe1bca491193d833215000c02e981b80d5f473976341778db02a5194
2025-03-15,B3/B2,dayahead.v29.source_namespace.materialize_traffic_mobility_namespaces (field-lineage probe),traffic_mobility.json logical namespace,mess.mode;mess.location;mess.available;mess.safe_travel_energy_kwh;mess.initial_energy_kwh,2025-03-15 slots 0..95,DECISION_DRIVING,_mess_authority/replay_mess,engineering fields are independent of SCATS actual_volume by construction,ec0b1a6bbe1bca491193d833215000c02e981b80d5f473976341778db02a5194
2025-03-15,B1/B0,static-confirmed dynamic field-elision probe,traffic_mobility.json logical namespace,actual_volume,2025-03-15 slots 0..95,DIAGNOSTIC_ONLY,NONE,"not requested by _mess_authority, replay_mess, solve_causal_day, or run_fresh_opendss",
2025-03-15,B3/B2,static-confirmed dynamic field-elision probe,traffic_mobility.json logical namespace,actual_volume,2025-03-15 slots 0..95,DIAGNOSTIC_ONLY,NONE,"not requested by _mess_authority, replay_mess, solve_causal_day, or run_fresh_opendss",
