object_name,local_path,relative_path,sha256,source_repository,repository_HEAD,classification,schema,row_count,key_columns,unit,features,availability_time,target_label,training_cutoff,model_or_checkpoint,uncertainty_quantiles,running_remaining_suitable,pending_scheduling_suitable,reason
RADDiT encrypted semantic runtime embedding chunk_011.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\data\encrypted_embeddings\chunk_011.parquet,data/encrypted_embeddings/chunk_011.parquet,,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,G_GIT_LFS_POINTER_OR_MISSING_PAYLOAD,expected enc_embedding_int8 plus wallclock_used_sec and timestamps,,row_id generated on load,seconds realized label,4096-d int8 embedding,historical completed record,wallclock_used_sec,end_time filtered before query,semantic vector data,neighbor min/max in raw result only,False,False,Uncached LFS pointer and no current job-script-to-embedding adapter.
RADDiT encrypted semantic runtime embedding chunk_012.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\data\encrypted_embeddings\chunk_012.parquet,data/encrypted_embeddings/chunk_012.parquet,,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,G_GIT_LFS_POINTER_OR_MISSING_PAYLOAD,expected enc_embedding_int8 plus wallclock_used_sec and timestamps,,row_id generated on load,seconds realized label,4096-d int8 embedding,historical completed record,wallclock_used_sec,end_time filtered before query,semantic vector data,neighbor min/max in raw result only,False,False,Uncached LFS pointer and no current job-script-to-embedding adapter.
RADDiT encrypted semantic runtime embedding chunk_013.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\data\encrypted_embeddings\chunk_013.parquet,data/encrypted_embeddings/chunk_013.parquet,,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,G_GIT_LFS_POINTER_OR_MISSING_PAYLOAD,expected enc_embedding_int8 plus wallclock_used_sec and timestamps,,row_id generated on load,seconds realized label,4096-d int8 embedding,historical completed record,wallclock_used_sec,end_time filtered before query,semantic vector data,neighbor min/max in raw result only,False,False,Uncached LFS pointer and no current job-script-to-embedding adapter.
RADDiT encrypted semantic runtime embedding chunk_014.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\data\encrypted_embeddings\chunk_014.parquet,data/encrypted_embeddings/chunk_014.parquet,,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,G_GIT_LFS_POINTER_OR_MISSING_PAYLOAD,expected enc_embedding_int8 plus wallclock_used_sec and timestamps,,row_id generated on load,seconds realized label,4096-d int8 embedding,historical completed record,wallclock_used_sec,end_time filtered before query,semantic vector data,neighbor min/max in raw result only,False,False,Uncached LFS pointer and no current job-script-to-embedding adapter.
RADDiT encrypted semantic runtime embedding chunk_015.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\data\encrypted_embeddings\chunk_015.parquet,data/encrypted_embeddings/chunk_015.parquet,,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,G_GIT_LFS_POINTER_OR_MISSING_PAYLOAD,expected enc_embedding_int8 plus wallclock_used_sec and timestamps,,row_id generated on load,seconds realized label,4096-d int8 embedding,historical completed record,wallclock_used_sec,end_time filtered before query,semantic vector data,neighbor min/max in raw result only,False,False,Uncached LFS pointer and no current job-script-to-embedding adapter.
RADDiT encrypted semantic runtime embedding chunk_016.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\data\encrypted_embeddings\chunk_016.parquet,data/encrypted_embeddings/chunk_016.parquet,,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,G_GIT_LFS_POINTER_OR_MISSING_PAYLOAD,expected enc_embedding_int8 plus wallclock_used_sec and timestamps,,row_id generated on load,seconds realized label,4096-d int8 embedding,historical completed record,wallclock_used_sec,end_time filtered before query,semantic vector data,neighbor min/max in raw result only,False,False,Uncached LFS pointer and no current job-script-to-embedding adapter.
RADDiT encrypted semantic runtime embedding chunk_017.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\data\encrypted_embeddings\chunk_017.parquet,data/encrypted_embeddings/chunk_017.parquet,,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,G_GIT_LFS_POINTER_OR_MISSING_PAYLOAD,expected enc_embedding_int8 plus wallclock_used_sec and timestamps,,row_id generated on load,seconds realized label,4096-d int8 embedding,historical completed record,wallclock_used_sec,end_time filtered before query,semantic vector data,neighbor min/max in raw result only,False,False,Uncached LFS pointer and no current job-script-to-embedding adapter.
RADDiT encrypted semantic runtime embedding chunk_018.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\data\encrypted_embeddings\chunk_018.parquet,data/encrypted_embeddings/chunk_018.parquet,,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,G_GIT_LFS_POINTER_OR_MISSING_PAYLOAD,expected enc_embedding_int8 plus wallclock_used_sec and timestamps,,row_id generated on load,seconds realized label,4096-d int8 embedding,historical completed record,wallclock_used_sec,end_time filtered before query,semantic vector data,neighbor min/max in raw result only,False,False,Uncached LFS pointer and no current job-script-to-embedding adapter.
RADDiT encrypted semantic runtime embedding chunk_019.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\data\encrypted_embeddings\chunk_019.parquet,data/encrypted_embeddings/chunk_019.parquet,,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,G_GIT_LFS_POINTER_OR_MISSING_PAYLOAD,expected enc_embedding_int8 plus wallclock_used_sec and timestamps,,row_id generated on load,seconds realized label,4096-d int8 embedding,historical completed record,wallclock_used_sec,end_time filtered before query,semantic vector data,neighbor min/max in raw result only,False,False,Uncached LFS pointer and no current job-script-to-embedding adapter.
RADDiT encrypted semantic runtime embedding chunk_020.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\data\encrypted_embeddings\chunk_020.parquet,data/encrypted_embeddings/chunk_020.parquet,,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,G_GIT_LFS_POINTER_OR_MISSING_PAYLOAD,expected enc_embedding_int8 plus wallclock_used_sec and timestamps,,row_id generated on load,seconds realized label,4096-d int8 embedding,historical completed record,wallclock_used_sec,end_time filtered before query,semantic vector data,neighbor min/max in raw result only,False,False,Uncached LFS pointer and no current job-script-to-embedding adapter.
RADDiT encrypted semantic runtime embedding chunk_021.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\data\encrypted_embeddings\chunk_021.parquet,data/encrypted_embeddings/chunk_021.parquet,,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,G_GIT_LFS_POINTER_OR_MISSING_PAYLOAD,expected enc_embedding_int8 plus wallclock_used_sec and timestamps,,row_id generated on load,seconds realized label,4096-d int8 embedding,historical completed record,wallclock_used_sec,end_time filtered before query,semantic vector data,neighbor min/max in raw result only,False,False,Uncached LFS pointer and no current job-script-to-embedding adapter.
RADDiT encrypted semantic runtime embedding chunk_022.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\data\encrypted_embeddings\chunk_022.parquet,data/encrypted_embeddings/chunk_022.parquet,,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,G_GIT_LFS_POINTER_OR_MISSING_PAYLOAD,expected enc_embedding_int8 plus wallclock_used_sec and timestamps,,row_id generated on load,seconds realized label,4096-d int8 embedding,historical completed record,wallclock_used_sec,end_time filtered before query,semantic vector data,neighbor min/max in raw result only,False,False,Uncached LFS pointer and no current job-script-to-embedding adapter.
RADDiT encrypted semantic runtime embedding chunk_023.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\data\encrypted_embeddings\chunk_023.parquet,data/encrypted_embeddings/chunk_023.parquet,,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,G_GIT_LFS_POINTER_OR_MISSING_PAYLOAD,expected enc_embedding_int8 plus wallclock_used_sec and timestamps,,row_id generated on load,seconds realized label,4096-d int8 embedding,historical completed record,wallclock_used_sec,end_time filtered before query,semantic vector data,neighbor min/max in raw result only,False,False,Uncached LFS pointer and no current job-script-to-embedding adapter.
RADDiT encrypted semantic runtime embedding chunk_024.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\data\encrypted_embeddings\chunk_024.parquet,data/encrypted_embeddings/chunk_024.parquet,,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,G_GIT_LFS_POINTER_OR_MISSING_PAYLOAD,expected enc_embedding_int8 plus wallclock_used_sec and timestamps,,row_id generated on load,seconds realized label,4096-d int8 embedding,historical completed record,wallclock_used_sec,end_time filtered before query,semantic vector data,neighbor min/max in raw result only,False,False,Uncached LFS pointer and no current job-script-to-embedding adapter.
RADDiT encrypted semantic runtime embedding chunk_025.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\data\encrypted_embeddings\chunk_025.parquet,data/encrypted_embeddings/chunk_025.parquet,,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,G_GIT_LFS_POINTER_OR_MISSING_PAYLOAD,expected enc_embedding_int8 plus wallclock_used_sec and timestamps,,row_id generated on load,seconds realized label,4096-d int8 embedding,historical completed record,wallclock_used_sec,end_time filtered before query,semantic vector data,neighbor min/max in raw result only,False,False,Uncached LFS pointer and no current job-script-to-embedding adapter.
RADDiT encrypted semantic runtime embedding chunk_026.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\data\encrypted_embeddings\chunk_026.parquet,data/encrypted_embeddings/chunk_026.parquet,,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,G_GIT_LFS_POINTER_OR_MISSING_PAYLOAD,expected enc_embedding_int8 plus wallclock_used_sec and timestamps,,row_id generated on load,seconds realized label,4096-d int8 embedding,historical completed record,wallclock_used_sec,end_time filtered before query,semantic vector data,neighbor min/max in raw result only,False,False,Uncached LFS pointer and no current job-script-to-embedding adapter.
RADDiT encrypted semantic runtime embedding chunk_027.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\data\encrypted_embeddings\chunk_027.parquet,data/encrypted_embeddings/chunk_027.parquet,,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,G_GIT_LFS_POINTER_OR_MISSING_PAYLOAD,expected enc_embedding_int8 plus wallclock_used_sec and timestamps,,row_id generated on load,seconds realized label,4096-d int8 embedding,historical completed record,wallclock_used_sec,end_time filtered before query,semantic vector data,neighbor min/max in raw result only,False,False,Uncached LFS pointer and no current job-script-to-embedding adapter.
