object_name,local_path,relative_path,sha256,source_repository,repository_HEAD,classification,schema,row_count,key_columns,unit,total_per_node_per_gpu,predicted_or_realized,time_of_availability,Kestrel_specific,joinable_to_current_trace,suitable_for_day_ahead,reason
RADDiT encrypted semantic embedding chunk_000.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\data\encrypted_embeddings\chunk_000.parquet,data/encrypted_embeddings/chunk_000.parquet,,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,G_GIT_LFS_POINTER_OR_MISSING_PAYLOAD,"expected enc_embedding_int8 plus avg_power_per_node,wallclock_used_sec,submit_time,end_time",,row_id generated on load; no documented current job_id key,W per node label,PER_NODE label,historical label plus embedding,historical record,True,False,False,Uncached LFS pointer; no local vector payload and no Apr-01 submission embedding binding.
RADDiT encrypted semantic embedding chunk_001.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\data\encrypted_embeddings\chunk_001.parquet,data/encrypted_embeddings/chunk_001.parquet,,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,G_GIT_LFS_POINTER_OR_MISSING_PAYLOAD,"expected enc_embedding_int8 plus avg_power_per_node,wallclock_used_sec,submit_time,end_time",,row_id generated on load; no documented current job_id key,W per node label,PER_NODE label,historical label plus embedding,historical record,True,False,False,Uncached LFS pointer; no local vector payload and no Apr-01 submission embedding binding.
RADDiT encrypted semantic embedding chunk_002.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\data\encrypted_embeddings\chunk_002.parquet,data/encrypted_embeddings/chunk_002.parquet,,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,G_GIT_LFS_POINTER_OR_MISSING_PAYLOAD,"expected enc_embedding_int8 plus avg_power_per_node,wallclock_used_sec,submit_time,end_time",,row_id generated on load; no documented current job_id key,W per node label,PER_NODE label,historical label plus embedding,historical record,True,False,False,Uncached LFS pointer; no local vector payload and no Apr-01 submission embedding binding.
RADDiT encrypted semantic embedding chunk_003.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\data\encrypted_embeddings\chunk_003.parquet,data/encrypted_embeddings/chunk_003.parquet,,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,G_GIT_LFS_POINTER_OR_MISSING_PAYLOAD,"expected enc_embedding_int8 plus avg_power_per_node,wallclock_used_sec,submit_time,end_time",,row_id generated on load; no documented current job_id key,W per node label,PER_NODE label,historical label plus embedding,historical record,True,False,False,Uncached LFS pointer; no local vector payload and no Apr-01 submission embedding binding.
RADDiT encrypted semantic embedding chunk_004.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\data\encrypted_embeddings\chunk_004.parquet,data/encrypted_embeddings/chunk_004.parquet,,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,G_GIT_LFS_POINTER_OR_MISSING_PAYLOAD,"expected enc_embedding_int8 plus avg_power_per_node,wallclock_used_sec,submit_time,end_time",,row_id generated on load; no documented current job_id key,W per node label,PER_NODE label,historical label plus embedding,historical record,True,False,False,Uncached LFS pointer; no local vector payload and no Apr-01 submission embedding binding.
RADDiT encrypted semantic embedding chunk_005.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\data\encrypted_embeddings\chunk_005.parquet,data/encrypted_embeddings/chunk_005.parquet,,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,G_GIT_LFS_POINTER_OR_MISSING_PAYLOAD,"expected enc_embedding_int8 plus avg_power_per_node,wallclock_used_sec,submit_time,end_time",,row_id generated on load; no documented current job_id key,W per node label,PER_NODE label,historical label plus embedding,historical record,True,False,False,Uncached LFS pointer; no local vector payload and no Apr-01 submission embedding binding.
RADDiT encrypted semantic embedding chunk_006.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\data\encrypted_embeddings\chunk_006.parquet,data/encrypted_embeddings/chunk_006.parquet,,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,G_GIT_LFS_POINTER_OR_MISSING_PAYLOAD,"expected enc_embedding_int8 plus avg_power_per_node,wallclock_used_sec,submit_time,end_time",,row_id generated on load; no documented current job_id key,W per node label,PER_NODE label,historical label plus embedding,historical record,True,False,False,Uncached LFS pointer; no local vector payload and no Apr-01 submission embedding binding.
RADDiT encrypted semantic embedding chunk_007.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\data\encrypted_embeddings\chunk_007.parquet,data/encrypted_embeddings/chunk_007.parquet,,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,G_GIT_LFS_POINTER_OR_MISSING_PAYLOAD,"expected enc_embedding_int8 plus avg_power_per_node,wallclock_used_sec,submit_time,end_time",,row_id generated on load; no documented current job_id key,W per node label,PER_NODE label,historical label plus embedding,historical record,True,False,False,Uncached LFS pointer; no local vector payload and no Apr-01 submission embedding binding.
RADDiT encrypted semantic embedding chunk_008.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\data\encrypted_embeddings\chunk_008.parquet,data/encrypted_embeddings/chunk_008.parquet,,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,G_GIT_LFS_POINTER_OR_MISSING_PAYLOAD,"expected enc_embedding_int8 plus avg_power_per_node,wallclock_used_sec,submit_time,end_time",,row_id generated on load; no documented current job_id key,W per node label,PER_NODE label,historical label plus embedding,historical record,True,False,False,Uncached LFS pointer; no local vector payload and no Apr-01 submission embedding binding.
RADDiT encrypted semantic embedding chunk_009.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\data\encrypted_embeddings\chunk_009.parquet,data/encrypted_embeddings/chunk_009.parquet,,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,G_GIT_LFS_POINTER_OR_MISSING_PAYLOAD,"expected enc_embedding_int8 plus avg_power_per_node,wallclock_used_sec,submit_time,end_time",,row_id generated on load; no documented current job_id key,W per node label,PER_NODE label,historical label plus embedding,historical record,True,False,False,Uncached LFS pointer; no local vector payload and no Apr-01 submission embedding binding.
RADDiT encrypted semantic embedding chunk_010.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\data\encrypted_embeddings\chunk_010.parquet,data/encrypted_embeddings/chunk_010.parquet,,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,G_GIT_LFS_POINTER_OR_MISSING_PAYLOAD,"expected enc_embedding_int8 plus avg_power_per_node,wallclock_used_sec,submit_time,end_time",,row_id generated on load; no documented current job_id key,W per node label,PER_NODE label,historical label plus embedding,historical record,True,False,False,Uncached LFS pointer; no local vector payload and no Apr-01 submission embedding binding.
RADDiT encrypted semantic embedding chunk_011.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\data\encrypted_embeddings\chunk_011.parquet,data/encrypted_embeddings/chunk_011.parquet,,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,G_GIT_LFS_POINTER_OR_MISSING_PAYLOAD,"expected enc_embedding_int8 plus avg_power_per_node,wallclock_used_sec,submit_time,end_time",,row_id generated on load; no documented current job_id key,W per node label,PER_NODE label,historical label plus embedding,historical record,True,False,False,Uncached LFS pointer; no local vector payload and no Apr-01 submission embedding binding.
RADDiT encrypted semantic embedding chunk_012.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\data\encrypted_embeddings\chunk_012.parquet,data/encrypted_embeddings/chunk_012.parquet,,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,G_GIT_LFS_POINTER_OR_MISSING_PAYLOAD,"expected enc_embedding_int8 plus avg_power_per_node,wallclock_used_sec,submit_time,end_time",,row_id generated on load; no documented current job_id key,W per node label,PER_NODE label,historical label plus embedding,historical record,True,False,False,Uncached LFS pointer; no local vector payload and no Apr-01 submission embedding binding.
RADDiT encrypted semantic embedding chunk_013.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\data\encrypted_embeddings\chunk_013.parquet,data/encrypted_embeddings/chunk_013.parquet,,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,G_GIT_LFS_POINTER_OR_MISSING_PAYLOAD,"expected enc_embedding_int8 plus avg_power_per_node,wallclock_used_sec,submit_time,end_time",,row_id generated on load; no documented current job_id key,W per node label,PER_NODE label,historical label plus embedding,historical record,True,False,False,Uncached LFS pointer; no local vector payload and no Apr-01 submission embedding binding.
RADDiT encrypted semantic embedding chunk_014.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\data\encrypted_embeddings\chunk_014.parquet,data/encrypted_embeddings/chunk_014.parquet,,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,G_GIT_LFS_POINTER_OR_MISSING_PAYLOAD,"expected enc_embedding_int8 plus avg_power_per_node,wallclock_used_sec,submit_time,end_time",,row_id generated on load; no documented current job_id key,W per node label,PER_NODE label,historical label plus embedding,historical record,True,False,False,Uncached LFS pointer; no local vector payload and no Apr-01 submission embedding binding.
RADDiT encrypted semantic embedding chunk_015.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\data\encrypted_embeddings\chunk_015.parquet,data/encrypted_embeddings/chunk_015.parquet,,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,G_GIT_LFS_POINTER_OR_MISSING_PAYLOAD,"expected enc_embedding_int8 plus avg_power_per_node,wallclock_used_sec,submit_time,end_time",,row_id generated on load; no documented current job_id key,W per node label,PER_NODE label,historical label plus embedding,historical record,True,False,False,Uncached LFS pointer; no local vector payload and no Apr-01 submission embedding binding.
RADDiT encrypted semantic embedding chunk_016.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\data\encrypted_embeddings\chunk_016.parquet,data/encrypted_embeddings/chunk_016.parquet,,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,G_GIT_LFS_POINTER_OR_MISSING_PAYLOAD,"expected enc_embedding_int8 plus avg_power_per_node,wallclock_used_sec,submit_time,end_time",,row_id generated on load; no documented current job_id key,W per node label,PER_NODE label,historical label plus embedding,historical record,True,False,False,Uncached LFS pointer; no local vector payload and no Apr-01 submission embedding binding.
RADDiT encrypted semantic embedding chunk_017.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\data\encrypted_embeddings\chunk_017.parquet,data/encrypted_embeddings/chunk_017.parquet,,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,G_GIT_LFS_POINTER_OR_MISSING_PAYLOAD,"expected enc_embedding_int8 plus avg_power_per_node,wallclock_used_sec,submit_time,end_time",,row_id generated on load; no documented current job_id key,W per node label,PER_NODE label,historical label plus embedding,historical record,True,False,False,Uncached LFS pointer; no local vector payload and no Apr-01 submission embedding binding.
RADDiT encrypted semantic embedding chunk_018.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\data\encrypted_embeddings\chunk_018.parquet,data/encrypted_embeddings/chunk_018.parquet,,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,G_GIT_LFS_POINTER_OR_MISSING_PAYLOAD,"expected enc_embedding_int8 plus avg_power_per_node,wallclock_used_sec,submit_time,end_time",,row_id generated on load; no documented current job_id key,W per node label,PER_NODE label,historical label plus embedding,historical record,True,False,False,Uncached LFS pointer; no local vector payload and no Apr-01 submission embedding binding.
RADDiT encrypted semantic embedding chunk_019.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\data\encrypted_embeddings\chunk_019.parquet,data/encrypted_embeddings/chunk_019.parquet,,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,G_GIT_LFS_POINTER_OR_MISSING_PAYLOAD,"expected enc_embedding_int8 plus avg_power_per_node,wallclock_used_sec,submit_time,end_time",,row_id generated on load; no documented current job_id key,W per node label,PER_NODE label,historical label plus embedding,historical record,True,False,False,Uncached LFS pointer; no local vector payload and no Apr-01 submission embedding binding.
RADDiT encrypted semantic embedding chunk_020.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\data\encrypted_embeddings\chunk_020.parquet,data/encrypted_embeddings/chunk_020.parquet,,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,G_GIT_LFS_POINTER_OR_MISSING_PAYLOAD,"expected enc_embedding_int8 plus avg_power_per_node,wallclock_used_sec,submit_time,end_time",,row_id generated on load; no documented current job_id key,W per node label,PER_NODE label,historical label plus embedding,historical record,True,False,False,Uncached LFS pointer; no local vector payload and no Apr-01 submission embedding binding.
RADDiT encrypted semantic embedding chunk_021.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\data\encrypted_embeddings\chunk_021.parquet,data/encrypted_embeddings/chunk_021.parquet,,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,G_GIT_LFS_POINTER_OR_MISSING_PAYLOAD,"expected enc_embedding_int8 plus avg_power_per_node,wallclock_used_sec,submit_time,end_time",,row_id generated on load; no documented current job_id key,W per node label,PER_NODE label,historical label plus embedding,historical record,True,False,False,Uncached LFS pointer; no local vector payload and no Apr-01 submission embedding binding.
RADDiT encrypted semantic embedding chunk_022.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\data\encrypted_embeddings\chunk_022.parquet,data/encrypted_embeddings/chunk_022.parquet,,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,G_GIT_LFS_POINTER_OR_MISSING_PAYLOAD,"expected enc_embedding_int8 plus avg_power_per_node,wallclock_used_sec,submit_time,end_time",,row_id generated on load; no documented current job_id key,W per node label,PER_NODE label,historical label plus embedding,historical record,True,False,False,Uncached LFS pointer; no local vector payload and no Apr-01 submission embedding binding.
RADDiT encrypted semantic embedding chunk_023.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\data\encrypted_embeddings\chunk_023.parquet,data/encrypted_embeddings/chunk_023.parquet,,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,G_GIT_LFS_POINTER_OR_MISSING_PAYLOAD,"expected enc_embedding_int8 plus avg_power_per_node,wallclock_used_sec,submit_time,end_time",,row_id generated on load; no documented current job_id key,W per node label,PER_NODE label,historical label plus embedding,historical record,True,False,False,Uncached LFS pointer; no local vector payload and no Apr-01 submission embedding binding.
RADDiT encrypted semantic embedding chunk_024.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\data\encrypted_embeddings\chunk_024.parquet,data/encrypted_embeddings/chunk_024.parquet,,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,G_GIT_LFS_POINTER_OR_MISSING_PAYLOAD,"expected enc_embedding_int8 plus avg_power_per_node,wallclock_used_sec,submit_time,end_time",,row_id generated on load; no documented current job_id key,W per node label,PER_NODE label,historical label plus embedding,historical record,True,False,False,Uncached LFS pointer; no local vector payload and no Apr-01 submission embedding binding.
RADDiT encrypted semantic embedding chunk_025.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\data\encrypted_embeddings\chunk_025.parquet,data/encrypted_embeddings/chunk_025.parquet,,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,G_GIT_LFS_POINTER_OR_MISSING_PAYLOAD,"expected enc_embedding_int8 plus avg_power_per_node,wallclock_used_sec,submit_time,end_time",,row_id generated on load; no documented current job_id key,W per node label,PER_NODE label,historical label plus embedding,historical record,True,False,False,Uncached LFS pointer; no local vector payload and no Apr-01 submission embedding binding.
RADDiT encrypted semantic embedding chunk_026.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\data\encrypted_embeddings\chunk_026.parquet,data/encrypted_embeddings/chunk_026.parquet,,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,G_GIT_LFS_POINTER_OR_MISSING_PAYLOAD,"expected enc_embedding_int8 plus avg_power_per_node,wallclock_used_sec,submit_time,end_time",,row_id generated on load; no documented current job_id key,W per node label,PER_NODE label,historical label plus embedding,historical record,True,False,False,Uncached LFS pointer; no local vector payload and no Apr-01 submission embedding binding.
RADDiT encrypted semantic embedding chunk_027.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\data\encrypted_embeddings\chunk_027.parquet,data/encrypted_embeddings/chunk_027.parquet,,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,G_GIT_LFS_POINTER_OR_MISSING_PAYLOAD,"expected enc_embedding_int8 plus avg_power_per_node,wallclock_used_sec,submit_time,end_time",,row_id generated on load; no documented current job_id key,W per node label,PER_NODE label,historical label plus embedding,historical record,True,False,False,Uncached LFS pointer; no local vector payload and no Apr-01 submission embedding binding.
RADDiT encrypted semantic embedding chunk_028.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\data\encrypted_embeddings\chunk_028.parquet,data/encrypted_embeddings/chunk_028.parquet,,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,G_GIT_LFS_POINTER_OR_MISSING_PAYLOAD,"expected enc_embedding_int8 plus avg_power_per_node,wallclock_used_sec,submit_time,end_time",,row_id generated on load; no documented current job_id key,W per node label,PER_NODE label,historical label plus embedding,historical record,True,False,False,Uncached LFS pointer; no local vector payload and no Apr-01 submission embedding binding.
RADDiT encrypted semantic embedding chunk_029.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\data\encrypted_embeddings\chunk_029.parquet,data/encrypted_embeddings/chunk_029.parquet,,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,G_GIT_LFS_POINTER_OR_MISSING_PAYLOAD,"expected enc_embedding_int8 plus avg_power_per_node,wallclock_used_sec,submit_time,end_time",,row_id generated on load; no documented current job_id key,W per node label,PER_NODE label,historical label plus embedding,historical record,True,False,False,Uncached LFS pointer; no local vector payload and no Apr-01 submission embedding binding.
RADDiT encrypted semantic embedding chunk_030.parquet,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\data\encrypted_embeddings\chunk_030.parquet,data/encrypted_embeddings/chunk_030.parquet,,02_RADDiT,ae1bf132addb41b469f3ef25a7626fe5ab06bc81,G_GIT_LFS_POINTER_OR_MISSING_PAYLOAD,"expected enc_embedding_int8 plus avg_power_per_node,wallclock_used_sec,submit_time,end_time",,row_id generated on load; no documented current job_id key,W per node label,PER_NODE label,historical label plus embedding,historical record,True,False,False,Uncached LFS pointer; no local vector payload and no Apr-01 submission embedding binding.
