date,original_role,cc4_v2_role,original_eligible,cc4_v2_eligible,reason
2024-03-15,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-04-08,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-04-09,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-04-10,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-04-11,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-04-12,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-04-13,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-04-14,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-04-15,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-04-16,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-04-17,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-04-18,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-04-19,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-04-20,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-04-21,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-04-22,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-04-23,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-04-24,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-04-25,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-04-26,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-04-27,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-04-28,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-04-29,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-04-30,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-05-01,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-05-02,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-05-03,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-05-04,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-05-05,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-05-06,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-05-07,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-05-08,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-05-09,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-05-10,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-05-11,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-05-12,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-05-13,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-05-14,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-05-15,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-05-16,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-05-17,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-05-18,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-05-19,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-05-20,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-05-21,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-05-22,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-05-23,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-05-24,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-05-25,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-05-26,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-05-27,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-05-28,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-05-29,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-05-30,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-05-31,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-06-01,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-06-02,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-06-03,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-06-04,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-06-05,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-06-06,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-06-07,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-06-08,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-06-09,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-06-10,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-06-11,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-06-12,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-06-13,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-06-14,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-06-15,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-06-16,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-06-17,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-06-18,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-06-19,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-06-20,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-06-21,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-06-22,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-06-23,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-06-24,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-06-25,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-06-26,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-06-27,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-06-28,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-06-29,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-06-30,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-07-01,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-07-02,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-07-03,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-07-04,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-07-05,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-07-06,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-07-07,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-07-08,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-07-09,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-07-10,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-07-11,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-07-12,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-07-13,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-07-14,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-07-15,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-07-16,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-07-17,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-07-18,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-07-19,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-07-20,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-07-21,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-07-22,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-07-23,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-07-24,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-07-25,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-07-26,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-07-27,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-07-28,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-07-29,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-07-30,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-07-31,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-08-01,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-08-02,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-08-03,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-08-04,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-08-05,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-08-06,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-08-07,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-08-08,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-08-09,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-08-10,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-08-11,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-08-12,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-08-13,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-08-14,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-08-15,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-08-16,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-08-17,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-08-18,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-08-19,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-08-20,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-08-21,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-08-22,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-08-23,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-08-24,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-08-25,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-08-26,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-08-27,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-08-28,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-08-29,TRAIN,TRAIN,False,False,original exclusion/purge preserved
2024-08-30,TRAIN,TRAIN,False,False,original exclusion/purge preserved
2024-08-31,PURGE,PURGE,False,False,original exclusion/purge preserved
2024-09-01,DEVELOPMENT,DEVELOPMENT,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-09-02,DEVELOPMENT,DEVELOPMENT,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-09-03,DEVELOPMENT,DEVELOPMENT,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-09-04,DEVELOPMENT,DEVELOPMENT,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-09-05,DEVELOPMENT,DEVELOPMENT,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-09-06,DEVELOPMENT,DEVELOPMENT,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-09-07,DEVELOPMENT,DEVELOPMENT,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-09-08,DEVELOPMENT,DEVELOPMENT,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-09-09,DEVELOPMENT,DEVELOPMENT,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-09-10,DEVELOPMENT,DEVELOPMENT,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-09-11,DEVELOPMENT,DEVELOPMENT,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-09-12,DEVELOPMENT,DEVELOPMENT,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-09-13,DEVELOPMENT,DEVELOPMENT,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-09-14,DEVELOPMENT,DEVELOPMENT,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-09-15,DEVELOPMENT,DEVELOPMENT,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-09-16,DEVELOPMENT,DEVELOPMENT,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-09-17,DEVELOPMENT,DEVELOPMENT,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-09-18,DEVELOPMENT,DEVELOPMENT,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-09-19,DEVELOPMENT,DEVELOPMENT,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-09-20,DEVELOPMENT,DEVELOPMENT,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-09-21,DEVELOPMENT,DEVELOPMENT,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-09-22,DEVELOPMENT,DEVELOPMENT,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-09-23,DEVELOPMENT,DEVELOPMENT,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-09-24,DEVELOPMENT,DEVELOPMENT,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-09-25,DEVELOPMENT,DEVELOPMENT,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-09-26,DEVELOPMENT,DEVELOPMENT,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-09-27,DEVELOPMENT,DEVELOPMENT,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-09-28,DEVELOPMENT,DEVELOPMENT,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-09-29,DEVELOPMENT,DEVELOPMENT,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-09-30,DEVELOPMENT,DEVELOPMENT,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-10-01,DEVELOPMENT,DEVELOPMENT,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-10-02,DEVELOPMENT,DEVELOPMENT,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-10-03,DEVELOPMENT,DEVELOPMENT,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-10-04,DEVELOPMENT,DEVELOPMENT,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-10-05,DEVELOPMENT,DEVELOPMENT,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-10-06,DEVELOPMENT,DEVELOPMENT,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-10-07,DEVELOPMENT,DEVELOPMENT,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-10-08,DEVELOPMENT,DEVELOPMENT,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-10-09,DEVELOPMENT,DEVELOPMENT,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-10-10,DEVELOPMENT,DEVELOPMENT,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-10-11,DEVELOPMENT,DEVELOPMENT,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-10-12,DEVELOPMENT,DEVELOPMENT,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-10-13,DEVELOPMENT,DEVELOPMENT,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-10-14,DEVELOPMENT,DEVELOPMENT,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-10-15,DEVELOPMENT,DEVELOPMENT,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-10-16,DEVELOPMENT,DEVELOPMENT,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-10-17,DEVELOPMENT,DEVELOPMENT,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-10-18,DEVELOPMENT,DEVELOPMENT,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-10-19,DEVELOPMENT,DEVELOPMENT,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-10-20,DEVELOPMENT,DEVELOPMENT,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-10-21,DEVELOPMENT,DEVELOPMENT,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-10-22,DEVELOPMENT,DEVELOPMENT,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-10-23,DEVELOPMENT,DEVELOPMENT,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-10-24,DEVELOPMENT,DEVELOPMENT,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-10-25,DEVELOPMENT,DEVELOPMENT,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-10-26,DEVELOPMENT,DEVELOPMENT,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-10-27,DEVELOPMENT,DEVELOPMENT,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-10-28,DEVELOPMENT,DEVELOPMENT,False,False,original exclusion/purge preserved
2024-10-29,DEVELOPMENT,DEVELOPMENT,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-10-30,DEVELOPMENT,DEVELOPMENT,False,False,original exclusion/purge preserved
2024-10-31,PURGE,PURGE,False,False,original exclusion/purge preserved
2024-11-01,CALIBRATION,CALIBRATION,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-11-02,CALIBRATION,CALIBRATION,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-11-03,CALIBRATION,CALIBRATION,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-11-04,CALIBRATION,CALIBRATION,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-11-05,CALIBRATION,CALIBRATION,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-11-06,CALIBRATION,CALIBRATION,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-11-07,CALIBRATION,CALIBRATION,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-11-08,CALIBRATION,CALIBRATION,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-11-09,CALIBRATION,CALIBRATION,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-11-10,CALIBRATION,CALIBRATION,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-11-11,CALIBRATION,CALIBRATION,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-11-12,CALIBRATION,CALIBRATION,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-11-13,CALIBRATION,CALIBRATION,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-11-14,CALIBRATION,CALIBRATION,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-11-15,CALIBRATION,CALIBRATION,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-11-16,CALIBRATION,CALIBRATION,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-11-17,CALIBRATION,CALIBRATION,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-11-18,CALIBRATION,CALIBRATION,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-11-19,CALIBRATION,CALIBRATION,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-11-20,CALIBRATION,CALIBRATION,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-11-21,CALIBRATION,CALIBRATION,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-11-22,CALIBRATION,CALIBRATION,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-11-23,CALIBRATION,CALIBRATION,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-11-24,CALIBRATION,CALIBRATION,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-11-25,CALIBRATION,CALIBRATION,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-11-26,CALIBRATION,CALIBRATION,False,False,original exclusion/purge preserved
2024-11-27,CALIBRATION,CALIBRATION,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-11-28,CALIBRATION,CALIBRATION,False,False,original exclusion/purge preserved
2024-11-29,CALIBRATION,CALIBRATION,False,False,original exclusion/purge preserved
2024-11-30,PURGE,PURGE,False,False,original exclusion/purge preserved
2024-12-01,EXPOSED_EVALUATION,EXPOSED_EVALUATION,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-12-02,EXPOSED_EVALUATION,EXPOSED_EVALUATION,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-12-03,EXPOSED_EVALUATION,EXPOSED_EVALUATION,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-12-04,EXPOSED_EVALUATION,EXPOSED_EVALUATION,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-12-05,EXPOSED_EVALUATION,EXPOSED_EVALUATION,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-12-06,EXPOSED_EVALUATION,EXPOSED_EVALUATION,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-12-07,EXPOSED_EVALUATION,EXPOSED_EVALUATION,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-12-08,EXPOSED_EVALUATION,EXPOSED_EVALUATION,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-12-09,EXPOSED_EVALUATION,EXPOSED_EVALUATION,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-12-10,EXPOSED_EVALUATION,EXPOSED_EVALUATION,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-12-11,EXPOSED_EVALUATION,EXPOSED_EVALUATION,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-12-12,EXPOSED_EVALUATION,EXPOSED_EVALUATION,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-12-13,EXPOSED_EVALUATION,EXPOSED_EVALUATION,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-12-14,EXPOSED_EVALUATION,EXPOSED_EVALUATION,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-12-15,EXPOSED_EVALUATION,EXPOSED_EVALUATION,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-12-16,EXPOSED_EVALUATION,EXPOSED_EVALUATION,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-12-17,EXPOSED_EVALUATION,EXPOSED_EVALUATION,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-12-18,EXPOSED_EVALUATION,EXPOSED_EVALUATION,True,True,eligible; issue-time features mature; labels before next-stage cutoff
