element_id,element_type,from_bus,to_bus,from_nodes,to_nodes,from_x,from_y,to_x,to_y
line.l25,line,25r,26,1.3,1.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l26,line,25,28,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l27,line,26,27,1.3,1.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l28,line,26,31,3,3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l29,line,27,33,1,1,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l3,line,1,7,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l30,line,28,29,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l31,line,29,30,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l32,line,30,250,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l33,line,31,32,3,3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l34,line,34,15,3,3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l35,line,35,36,1.2,1.2,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l36,line,35,40,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l37,line,36,37,1,1,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l38,line,36,38,2,2,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l39,line,38,39,2,2,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l4,line,3,4,3,3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l40,line,40,41,3,3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l41,line,40,42,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l42,line,42,43,2,2,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l43,line,42,44,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l44,line,44,45,1,1,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l45,line,44,47,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l46,line,45,46,1,1,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l47,line,47,48,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l48,line,47,49,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l49,line,49,50,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l5,line,3,5,3,3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l50,line,50,51,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l51,line,51,151,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l52,line,52,53,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l53,line,53,54,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l54,line,54,55,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l55,line,54,57,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l56,line,55,56,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l57,line,57,58,2,2,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l58,line,57,60,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l59,line,58,59,2,2,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l6,line,5,6,3,3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l60,line,60,61,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l61,line,60,62,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l62,line,62,63,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l63,line,63,64,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l64,line,64,65,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l65,line,65,66,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l66,line,67,68,1,1,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l67,line,67,72,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l68,line,67,97,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l69,line,68,69,1,1,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l7,line,7,8,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l70,line,69,70,1,1,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l71,line,70,71,1,1,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l72,line,72,73,3,3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l73,line,72,76,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l74,line,73,74,3,3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l75,line,74,75,3,3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l76,line,76,77,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l77,line,76,86,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l78,line,77,78,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l79,line,78,79,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l8,line,8,12,2,2,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l80,line,78,80,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l81,line,80,81,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l82,line,81,82,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l83,line,81,84,3,3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l84,line,82,83,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l85,line,84,85,3,3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l86,line,86,87,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l87,line,87,88,1,1,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l88,line,87,89,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l89,line,89,90,2,2,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l9,line,8,9,1,1,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l90,line,89,91,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l91,line,91,92,3,3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l92,line,91,93,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l93,line,93,94,1,1,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l94,line,93,95,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l95,line,95,96,2,2,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l96,line,97,98,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l97,line,98,99,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l98,line,99,100,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l99,line,100,450,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.sw1,line,150r,149,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.sw2,line,13,152,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.sw3,line,18,135,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.sw4,line,60,160,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.sw5,line,97,197,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.sw6,line,61,61s,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.sw7,line,151,300_open,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.sw8,line,54,94_open,1,1,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
transformer.idc_idc01_tx,transformer,149,idc_idc01_pcc,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
transformer.idc_idc02_tx,transformer,300_open,idc_idc02_pcc,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
transformer.idc_idc03_tx,transformer,35,idc_idc03_pcc,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
transformer.idc_idc04_tx,transformer,50,idc_idc04_pcc,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
transformer.idc_idc05_tx,transformer,61s,idc_idc05_pcc,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
transformer.idc_idc06_tx,transformer,48,idc_idc06_pcc,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
transformer.idc_idc07_tx,transformer,250,idc_idc07_pcc,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
transformer.idc_idc08_tx,transformer,21,idc_idc08_pcc,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
transformer.idc_idc09_tx,transformer,152,idc_idc09_pcc,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
transformer.idc_idc10_tx,transformer,81,idc_idc10_pcc,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
transformer.idc_idc11_tx,transformer,79,idc_idc11_pcc,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
transformer.idc_idc12_tx,transformer,108,idc_idc12_pcc,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
transformer.mess_idc01_tx,transformer,149,mess_idc01_pcc,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
transformer.mess_idc02_tx,transformer,300_open,mess_idc02_pcc,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
transformer.mess_idc03_tx,transformer,35,mess_idc03_pcc,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
transformer.mess_idc04_tx,transformer,50,mess_idc04_pcc,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
transformer.mess_idc05_tx,transformer,61s,mess_idc05_pcc,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
transformer.mess_idc06_tx,transformer,48,mess_idc06_pcc,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
transformer.mess_idc07_tx,transformer,250,mess_idc07_pcc,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
transformer.mess_idc08_tx,transformer,21,mess_idc08_pcc,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
transformer.mess_idc09_tx,transformer,152,mess_idc09_pcc,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
transformer.mess_idc10_tx,transformer,81,mess_idc10_pcc,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
transformer.mess_idc11_tx,transformer,79,mess_idc11_pcc,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
transformer.mess_idc12_tx,transformer,108,mess_idc12_pcc,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
transformer.mess_sta01_tx,transformer,28,mess_sta01_pcc,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
transformer.mess_sta02_tx,transformer,54,mess_sta02_pcc,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
transformer.mess_sta03_tx,transformer,95,mess_sta03_pcc,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
transformer.mess_sta04_tx,transformer,64,mess_sta04_pcc,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
transformer.mess_sta05_tx,transformer,62,mess_sta05_pcc,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
transformer.mess_sta06_tx,transformer,98,mess_sta06_pcc,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
transformer.mess_sta07_tx,transformer,100,mess_sta07_pcc,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
transformer.mess_sta08_tx,transformer,67,mess_sta08_pcc,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
transformer.mess_sta09_tx,transformer,80,mess_sta09_pcc,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
transformer.mess_sta10_tx,transformer,91,mess_sta10_pcc,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
transformer.mess_sta11_tx,transformer,87,mess_sta11_pcc,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
transformer.mess_sta12_tx,transformer,83,mess_sta12_pcc,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
transformer.reg1a,transformer,150,150r,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
transformer.reg2a,transformer,9,9r,1,1,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
transformer.reg3a,transformer,25,25r,1,1,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
transformer.reg3c,transformer,25,25r,3,3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
transformer.reg4a,transformer,160,160r,1,1,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
transformer.reg4b,transformer,160,160r,2,2,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
transformer.reg4c,transformer,160,160r,3,3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
transformer.xfm1,transformer,61s,610,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
