kind,element,terminal,bus_connection,local_node,current_rating_A,PDE_flat_conductor_index
line,Line.ln5744338-1,1,m1026312.2,2,400.0,68
line,Line.ln5744338-1,2,l2973163.2,2,400.0,69
line,Line.ln6991381-4,1,l3728038.1,1,400.0,70
line,Line.ln6991381-4,2,l3728039.1,1,400.0,71
line,Line.ln5774480-1,1,m1069567.2,2,400.0,72
line,Line.ln5774480-1,2,m1069582.2,2,400.0,73
line,Line.ln5986938-3,1,n1140830.1,1,400.0,74
line,Line.ln5986938-3,2,l3216351.1,1,400.0,75
line,Line.ln5894230-1,1,l2952007.3,3,400.0,76
line,Line.ln5894230-1,2,l2861158.3,3,400.0,77
line,Line.ln5683858-3,1,n1140827,1,400.0,78
line,Line.ln5683858-3,1,n1140827,2,400.0,79
line,Line.ln5683858-3,1,n1140827,3,400.0,80
line,Line.ln5683858-3,2,m1026726,1,400.0,81
line,Line.ln5683858-3,2,m1026726,2,400.0,82
line,Line.ln5683858-3,2,m1026726,3,400.0,83
line,Line.ln5920279-5,1,l2730106,1,400.0,84
line,Line.ln5920279-5,1,l2730106,2,400.0,85
line,Line.ln5920279-5,1,l2730106,3,400.0,86
line,Line.ln5920279-5,2,n1142099,1,400.0,87
line,Line.ln5920279-5,2,n1142099,2,400.0,88
line,Line.ln5920279-5,2,n1142099,3,400.0,89
line,Line.ln6439600-1,1,m1026658.1,1,400.0,90
line,Line.ln6439600-1,2,l3172805.1,1,400.0,91
line,Line.ln5589097-1,1,p895112.1,1,400.0,92
line,Line.ln5589097-1,2,l3048962.1,1,400.0,93
line,Line.ln5651975-1,1,l2991914,1,400.0,94
line,Line.ln5651975-1,1,l2991914,2,400.0,95
line,Line.ln5651975-1,1,l2991914,3,400.0,96
line,Line.ln5651975-1,2,m1047503,1,400.0,97
line,Line.ln5651975-1,2,m1047503,2,400.0,98
line,Line.ln5651975-1,2,m1047503,3,400.0,99
line,Line.ln5865236-1,1,m1047751.1,1,400.0,100
line,Line.ln5865236-1,2,l2973154.1,1,400.0,101
line,Line.ln5593232-1,1,l3010565.3,3,400.0,102
line,Line.ln5593232-1,2,l2897775.3,3,400.0,103
line,Line.ln5740283-1,1,m1125955.3,3,400.0,104
line,Line.ln5740283-1,2,m1125957.3,3,400.0,105
line,Line.ln6106559-1,1,m1069640.2,2,400.0,106
line,Line.ln6106559-1,2,l2804269.2,2,400.0,107
line,Line.ln5714056-3,1,m1026702,1,400.0,108
line,Line.ln5714056-3,1,m1026702,2,400.0,109
line,Line.ln5714056-3,1,m1026702,3,400.0,110
line,Line.ln5714056-3,2,n1139551,1,400.0,111
line,Line.ln5714056-3,2,n1139551,2,400.0,112
line,Line.ln5714056-3,2,n1139551,3,400.0,113
line,Line.ln5985355-3,1,n1136355.2,2,400.0,114
line,Line.ln5985355-3,2,l2783231.2,2,400.0,115
line,Line.ln5531956-1,1,l2748143.1,1,400.0,116
line,Line.ln5531956-1,2,l3251854.1,1,400.0,117
line,Line.ln5650048-1,1,m1069610.2,2,400.0,118
line,Line.ln5650048-1,2,m1069600.2,2,400.0,119
line,Line.ln6290203-1,1,m1069424,1,400.0,120
line,Line.ln6290203-1,1,m1069424,2,400.0,121
line,Line.ln6290203-1,1,m1069424,3,400.0,122
line,Line.ln6290203-1,2,l2935549,1,400.0,123
line,Line.ln6290203-1,2,l2935549,2,400.0,124
line,Line.ln6290203-1,2,l2935549,3,400.0,125
line,Line.ln6134414-1,1,p895089.3,3,400.0,126
line,Line.ln6134414-1,2,l3235242.3,3,400.0,127
line,Line.ln6259998-2,1,m1026795.3,3,400.0,128
line,Line.ln6259998-2,2,n1140522.3,3,400.0,129
line,Line.ln6078767-1,1,l3030199,1,400.0,130
line,Line.ln6078767-1,1,l3030199,2,400.0,131
line,Line.ln6078767-1,1,l3030199,3,400.0,132
line,Line.ln6078767-1,2,m1125934,1,400.0,133
line,Line.ln6078767-1,2,m1125934,2,400.0,134
line,Line.ln6078767-1,2,m1125934,3,400.0,135
line,Line.ln6017300-1,1,m1069189.3,3,400.0,136
line,Line.ln6017300-1,2,l2860487.3,3,400.0,137
line,Line.ln8979257-2,1,221-312488,1,190.0,138
line,Line.ln8979257-2,1,221-312488,2,190.0,139
line,Line.ln8979257-2,1,221-312488,3,190.0,140
line,Line.ln8979257-2,2,m1089183,1,190.0,141
line,Line.ln8979257-2,2,m1089183,2,190.0,142
line,Line.ln8979257-2,2,m1089183,3,190.0,143
line,Line.ln81048109-1,1,m1108464.2,2,220.0,144
line,Line.ln81048109-1,2,l3102286.2,2,220.0,145
line,Line.293471,1,f739845,1,400.0,146
line,Line.293471,1,f739845,2,400.0,147
line,Line.293471,1,f739845,3,400.0,148
line,Line.293471,2,293471,1,400.0,149
line,Line.293471,2,293471,2,400.0,150
line,Line.293471,2,293471,3,400.0,151
line,Line.ln5534965-2,1,p827499.1,1,400.0,152
line,Line.ln5534965-2,2,n1139254.1,1,400.0,153
line,Line.ln5655683-1,1,m1026657.1,1,400.0,154
line,Line.ln5655683-1,2,m1026656.1,1,400.0,155
line,Line.ln5686247-1,1,m1108299.2,2,400.0,156
line,Line.ln5686247-1,2,m1108300.2,2,400.0,157
line,Line.ln6048642-1,1,l3198355.2,2,400.0,158
line,Line.ln6048642-1,2,l2805037.2,2,400.0,159
line,Line.ln5928544-3,1,n1137994.3,3,400.0,160
line,Line.ln5928544-3,2,m1069484.3,3,400.0,161
line,Line.ln6108172-1,1,l2860504.1,1,400.0,162
line,Line.ln6108172-1,2,l2860493.1,1,400.0,163
line,Line.ln5532754-1,1,m1026783,1,400.0,164
line,Line.ln5532754-1,1,m1026783,2,400.0,165
line,Line.ln5532754-1,1,m1026783,3,400.0,166
line,Line.ln5532754-1,2,m1026780,1,400.0,167
line,Line.ln5532754-1,2,m1026780,2,400.0,168
line,Line.ln5532754-1,2,m1026780,3,400.0,169
line,Line.ln5591834-1,1,p895111.3,3,400.0,170
line,Line.ln5591834-1,2,l2895496.3,3,400.0,171
line,Line.ln6347196-2,1,n1140819,1,400.0,172
line,Line.ln6347196-2,1,n1140819,2,400.0,173
line,Line.ln6347196-2,1,n1140819,3,400.0,174
line,Line.ln6347196-2,2,m1026700,1,400.0,175
line,Line.ln6347196-2,2,m1026700,2,400.0,176
line,Line.ln6347196-2,2,m1026700,3,400.0,177
line,Line.ln5532741-1,1,m1089173.3,3,400.0,178
line,Line.ln5532741-1,2,l2935551.3,3,400.0,179
line,Line.ln5804803-1,1,m1026344.1,1,400.0,180
line,Line.ln5804803-1,2,m1026364.1,1,400.0,181
line,Line.ln6169248-1,1,l2879070,1,400.0,182
line,Line.ln6169248-1,1,l2879070,2,400.0,183
line,Line.ln6169248-1,1,l2879070,3,400.0,184
line,Line.ln6169248-1,2,l3216345,1,400.0,185
line,Line.ln6169248-1,2,l3216345,2,400.0,186
line,Line.ln6169248-1,2,l3216345,3,400.0,187
line,Line.ln5532786-2,1,m1069428.2,2,400.0,188
line,Line.ln5532786-2,2,n1139257.2,2,400.0,189
line,Line.ln5744339-1,1,l2991919.1,1,400.0,190
line,Line.ln5744339-1,2,m1026361.1,1,400.0,191
line,Line.ln5531255-3,1,n1147857.1,1,400.0,192
line,Line.ln5531255-3,2,m1009742.1,1,400.0,193
line,Line.ln5926308-2,1,q14412,1,400.0,194
line,Line.ln5926308-2,1,q14412,2,400.0,195
line,Line.ln5926308-2,1,q14412,3,400.0,196
line,Line.ln5926308-2,2,m1047325,1,400.0,197
line,Line.ln5926308-2,2,m1047325,2,400.0,198
line,Line.ln5926308-2,2,m1047325,3,400.0,199
line,Line.ln5683856-3,1,n1139263.1,1,400.0,200
line,Line.ln5683856-3,2,l3048227.1,1,400.0,201
line,Line.ln6171502-1,1,p827506.1,1,400.0,202
line,Line.ln6171502-1,2,m1069469.1,1,400.0,203
line,Line.ln5593228-1,1,m1027019.2,2,400.0,204
line,Line.ln5593228-1,2,l2785522.2,2,400.0,205
line,Line.ln6380800-1,1,l3216338.2,2,400.0,206
line,Line.ln6380800-1,2,l2973146.2,2,400.0,207
line,Line.ln6199525-2,1,m3037452.1,1,400.0,208
line,Line.ln6199525-2,2,l2973164.1,1,400.0,209
line,Line.ln5772710-2,1,l3120376.1,1,400.0,210
line,Line.ln5772710-2,2,m1026925.1,1,400.0,211
line,Line.ln8961760-1,1,m1047612.3,3,220.0,212
line,Line.ln8961760-1,2,p828360.3,3,220.0,213
line,Line.ln6047556-1,1,m1089195.3,3,400.0,214
line,Line.ln6047556-1,2,l3141393.3,3,400.0,215
line,Line.ln6138603-1,1,m1026946.2,2,400.0,216
line,Line.ln6138603-1,2,m1026940.2,2,400.0,217
line,Line.ln6108139-1,1,m1047471.2,2,400.0,218
line,Line.ln6108139-1,2,l3216349.2,2,400.0,219
line,Line.ln6388581-2,1,m1047401.1,1,400.0,220
line,Line.ln6388581-2,2,l2748132.1,1,400.0,221
line,Line.ln5774460-1,1,l3122820.1,1,400.0,222
line,Line.ln5774460-1,2,l3141398.1,1,400.0,223
line,Line.ln5624387-1,1,m1108360.3,3,400.0,224
line,Line.ln5624387-1,2,l3048968.3,3,400.0,225
line,Line.ln6137087-1,1,l2801950.3,3,400.0,226
line,Line.ln6137087-1,2,m1069224.3,3,400.0,227
line,Line.ln6077809-1,1,l2766746.3,3,400.0,228
line,Line.ln6077809-1,2,m1027073.3,3,400.0,229
line,Line.ln6440079-1,1,l2895496.3,3,400.0,230
line,Line.ln6440079-1,2,m1142873.3,3,400.0,231
line,Line.ln5804794-1,1,m1069181.1,1,400.0,232
line,Line.ln5804794-1,2,l2973151.1,1,400.0,233
line,Line.ln5654484-1,1,l3179682.3,3,400.0,234
line,Line.ln5654484-1,2,l2786274.3,3,400.0,235
line,Line.ln5774465-1,1,l3066816.1,1,400.0,236
line,Line.ln5774465-1,2,m1026667.1,1,400.0,237
line,Line.ln5473349-1,1,m1108529,1,400.0,238
line,Line.ln5473349-1,1,m1108529,2,400.0,239
line,Line.ln5473349-1,1,m1108529,3,400.0,240
line,Line.ln5473349-1,2,m1108532,1,400.0,241
line,Line.ln5473349-1,2,m1108532,2,400.0,242
line,Line.ln5473349-1,2,m1108532,3,400.0,243
line,Line.ln6169253-1,1,l2766723.1,1,400.0,244
line,Line.ln6169253-1,2,l3122822.1,1,400.0,245
line,Line.ln6350536-1,1,l2673312.1,1,400.0,246
line,Line.ln6350536-1,2,l3235247.1,1,400.0,247
line,Line.ln6048523-1,1,m1166391.3,3,400.0,248
line,Line.ln6048523-1,2,l3254873.3,3,400.0,249
line,Line.ln5594152-1,1,l2861157.3,3,400.0,250
line,Line.ln5594152-1,2,p901951.3,3,400.0,251
line,Line.ln5865248-1,1,m1047346,1,400.0,252
line,Line.ln5865248-1,1,m1047346,2,400.0,253
line,Line.ln5865248-1,1,m1047346,3,400.0,254
line,Line.ln5865248-1,2,m1047345,1,400.0,255
line,Line.ln5865248-1,2,m1047345,2,400.0,256
line,Line.ln5865248-1,2,m1047345,3,400.0,257
line,Line.ln6046143-1,1,l2989596.2,2,400.0,258
line,Line.ln6046143-1,2,l2822873.2,2,400.0,259
line,Line.ln5803287-1,1,m1108328.3,3,400.0,260
line,Line.ln5803287-1,2,l2875754.3,3,400.0,261
line,Line.ln5589094-1,1,l2786204.3,3,400.0,262
line,Line.ln5589094-1,2,m1209819.3,3,400.0,263
line,Line.ln5954983-1,1,p901972.1,1,400.0,264
line,Line.ln5954983-1,2,m1009726.1,1,400.0,265
line,Line.ln5924696-2,1,m1047702.1,1,400.0,266
line,Line.ln5924696-2,2,n1137001.1,1,400.0,267
line,Line.ln6506311-4,1,l2767340,1,400.0,268
line,Line.ln6506311-4,1,l2767340,2,400.0,269
line,Line.ln6506311-4,1,l2767340,3,400.0,270
line,Line.ln6506311-4,2,m3037449,1,400.0,271
line,Line.ln6506311-4,2,m3037449,2,400.0,272
line,Line.ln6506311-4,2,m3037449,3,400.0,273
line,Line.ln5653493-1,1,m1047457.2,2,400.0,274
line,Line.ln5653493-1,2,l2710546.2,2,400.0,275
line,Line.ln5684836-1,1,l2674027,1,400.0,276
line,Line.ln5684836-1,1,l2674027,2,400.0,277
line,Line.ln5684836-1,1,l2674027,3,400.0,278
line,Line.ln5684836-1,2,l2692633,1,400.0,279
line,Line.ln5684836-1,2,l2692633,2,400.0,280
line,Line.ln5684836-1,2,l2692633,3,400.0,281
line,Line.ln5715016-3,1,n1142108.1,1,400.0,282
line,Line.ln5715016-3,2,l2674051.1,1,400.0,283
line,Line.ln6138614-1,1,m1069135,1,400.0,284
line,Line.ln6138614-1,1,m1069135,2,400.0,285
line,Line.ln6138614-1,1,m1069135,3,400.0,286
line,Line.ln6138614-1,2,r18242,1,400.0,287
line,Line.ln6138614-1,2,r18242,2,400.0,288
line,Line.ln6138614-1,2,r18242,3,400.0,289
line,Line.ln6077781-2,1,m1047534,1,400.0,290
line,Line.ln6077781-2,1,m1047534,2,400.0,291
line,Line.ln6077781-2,1,m1047534,3,400.0,292
line,Line.ln6077781-2,2,n1136663,1,400.0,293
line,Line.ln6077781-2,2,n1136663,2,400.0,294
line,Line.ln6077781-2,2,n1136663,3,400.0,295
line,Line.ln5675121-1,1,m1108508.3,3,400.0,296
line,Line.ln5675121-1,2,l3097861.3,3,400.0,297
line,Line.ln5773046-1,1,m1069560.2,2,400.0,298
line,Line.ln5773046-1,2,m1069567.2,2,400.0,299
line,Line.ln6380809-2,1,l2973153,1,400.0,300
line,Line.ln6380809-2,1,l2973153,2,400.0,301
line,Line.ln6380809-2,1,l2973153,3,400.0,302
line,Line.ln6380809-2,2,n1136998,1,400.0,303
line,Line.ln6380809-2,2,n1136998,2,400.0,304
line,Line.ln6380809-2,2,n1136998,3,400.0,305
line,Line.ln6018326-1,1,l2898515.3,3,400.0,306
line,Line.ln6018326-1,2,m1166387.3,3,400.0,307
line,Line.ln5472356-1,1,m1047442.2,2,400.0,308
line,Line.ln5472356-1,2,l3235250.2,2,400.0,309
line,Line.ln6139641-1,1,m1142871,1,400.0,310
line,Line.ln6139641-1,1,m1142871,2,400.0,311
line,Line.ln6139641-1,1,m1142871,3,400.0,312
line,Line.ln6139641-1,2,m1142874,1,400.0,313
line,Line.ln6139641-1,2,m1142874,2,400.0,314
line,Line.ln6139641-1,2,m1142874,3,400.0,315
line,Line.ln6018341-1,1,l2955081,1,400.0,316
line,Line.ln6018341-1,1,l2955081,2,400.0,317
line,Line.ln6018341-1,1,l2955081,3,400.0,318
line,Line.ln6018341-1,2,m1108315,1,400.0,319
line,Line.ln6018341-1,2,m1108315,2,400.0,320
line,Line.ln6018341-1,2,m1108315,3,400.0,321
line,Line.ln6017302-1,1,l2973162,1,400.0,322
line,Line.ln6017302-1,1,l2973162,2,400.0,323
line,Line.ln6017302-1,1,l2973162,3,400.0,324
line,Line.ln6017302-1,2,m1026333,1,400.0,325
line,Line.ln6017302-1,2,m1026333,2,400.0,326
line,Line.ln6017302-1,2,m1026333,3,400.0,327
line,Line.ln6199505-1,1,m1009832.2,2,400.0,328
line,Line.ln6199505-1,2,l2860479.2,2,400.0,329
line,Line.ln5682327-1,1,m1026854.1,1,400.0,330
line,Line.ln5682327-1,2,p901894.1,1,400.0,331
line,Line.ln6290243-1,1,m1026485.2,2,400.0,332
line,Line.ln6290243-1,2,m1026492.2,2,400.0,333
line,Line.x8223_48332_sw,1,d6413567-3_int,1,400.0,334
line,Line.x8223_48332_sw,1,d6413567-3_int,2,400.0,335
line,Line.x8223_48332_sw,1,d6413567-3_int,3,400.0,336
line,Line.x8223_48332_sw,2,e182724,1,400.0,337
line,Line.x8223_48332_sw,2,e182724,2,400.0,338
line,Line.x8223_48332_sw,2,e182724,3,400.0,339
line,Line.ln6413567-3,1,n1139541,1,400.0,340
line,Line.ln6413567-3,1,n1139541,2,400.0,341
line,Line.ln6413567-3,1,n1139541,3,400.0,342
line,Line.ln6413567-3,2,d6413567-3_int,1,400.0,343
line,Line.ln6413567-3,2,d6413567-3_int,2,400.0,344
line,Line.ln6413567-3,2,d6413567-3_int,3,400.0,345
line,Line.ln5591731-3,1,m4122658,1,400.0,346
line,Line.ln5591731-3,1,m4122658,2,400.0,347
line,Line.ln5591731-3,1,m4122658,3,400.0,348
line,Line.ln5591731-3,2,l2933135,1,400.0,349
line,Line.ln5591731-3,2,l2933135,2,400.0,350
line,Line.ln5591731-3,2,l2933135,3,400.0,351
line,Line.ln5653470-1,1,m1026702,1,400.0,352
line,Line.ln5653470-1,1,m1026702,2,400.0,353
line,Line.ln5653470-1,1,m1026702,3,400.0,354
line,Line.ln5653470-1,2,l2729414,1,400.0,355
line,Line.ln5653470-1,2,l2729414,2,400.0,356
line,Line.ln5653470-1,2,l2729414,3,400.0,357
line,Line.ln6017316-1,1,l2729430.2,2,400.0,358
line,Line.ln6017316-1,2,l2766742.2,2,400.0,359
line,Line.ln5926299-1,1,m1026972.2,2,400.0,360
line,Line.ln5926299-1,2,l2860483.2,2,400.0,361
line,Line.ln5683831-1,1,l2860490,1,400.0,362
line,Line.ln5683831-1,1,l2860490,2,400.0,363
line,Line.ln5683831-1,1,l2860490,3,400.0,364
line,Line.ln5683831-1,2,l3104134,1,400.0,365
line,Line.ln5683831-1,2,l3104134,2,400.0,366
line,Line.ln5683831-1,2,l3104134,3,400.0,367
line,Line.ln6352700-1,1,m1089144.1,1,400.0,368
line,Line.ln6352700-1,2,p827522.1,1,400.0,369
line,Line.ln6047570-1,1,m1089118.1,1,400.0,370
line,Line.ln6047570-1,2,l3048208.1,1,400.0,371
line,Line.ln5624342-1,1,m1108505,1,400.0,372
line,Line.ln5624342-1,1,m1108505,2,400.0,373
line,Line.ln5624342-1,1,m1108505,3,400.0,374
line,Line.ln5624342-1,2,l2955047,1,400.0,375
line,Line.ln5624342-1,2,l2955047,2,400.0,376
line,Line.ln5624342-1,2,l2955047,3,400.0,377
line,Line.ln6259992-1,1,m1089148.1,1,400.0,378
line,Line.ln6259992-1,2,l2766721.1,1,400.0,379
line,Line.ln5841919-1,1,m1026745.2,2,400.0,380
line,Line.ln5841919-1,2,l3029183.2,2,400.0,381
line,Line.ln6380811-1,1,l2710512.2,2,400.0,382
line,Line.ln6380811-1,2,m1047828.2,2,400.0,383
line,Line.ln5683832-1,1,m1047342.1,1,400.0,384
line,Line.ln5683832-1,2,l3197645.1,1,400.0,385
line,Line.ln6077778-1,1,m1069192.1,1,400.0,386
line,Line.ln6077778-1,2,l3235253.1,1,400.0,387
line,Line.ln5561442-2,1,l3214071,1,400.0,388
line,Line.ln5561442-2,1,l3214071,2,400.0,389
line,Line.ln5561442-2,1,l3214071,3,400.0,390
line,Line.ln5561442-2,2,m1125952,1,400.0,391
line,Line.ln5561442-2,2,m1125952,2,400.0,392
line,Line.ln5561442-2,2,m1125952,3,400.0,393
line,Line.ln6259983-1,1,m1027101.2,2,400.0,394
line,Line.ln6259983-1,2,l2860480.2,2,400.0,395
line,Line.ln5865244-1,1,l2710517.1,1,400.0,396
line,Line.ln5865244-1,2,m1026646.1,1,400.0,397
line,Line.ln6350555-1,1,m1069662.2,2,400.0,398
line,Line.ln6350555-1,2,l2935547.2,2,400.0,399
line,Line.ln5714039-1,1,m1026931.1,1,400.0,400
line,Line.ln5714039-1,2,l3216336.1,1,400.0,401
line,Line.ln5889821-1,1,l3142049,1,400.0,402
line,Line.ln5889821-1,1,l3142049,2,400.0,403
line,Line.ln5889821-1,1,l3142049,3,400.0,404
line,Line.ln5889821-1,2,m1108493,1,400.0,405
line,Line.ln5889821-1,2,m1108493,2,400.0,406
line,Line.ln5889821-1,2,m1108493,3,400.0,407
line,Line.ln5804791-1,1,m1069169,1,400.0,408
line,Line.ln5804791-1,1,m1069169,2,400.0,409
line,Line.ln5804791-1,1,m1069169,3,400.0,410
line,Line.ln5804791-1,2,l3010556,1,400.0,411
line,Line.ln5804791-1,2,l3010556,2,400.0,412
line,Line.ln5804791-1,2,l3010556,3,400.0,413
line,Line.ln5653486-1,1,l2991933.3,3,400.0,414
line,Line.ln5653486-1,2,l3122837.3,3,400.0,415
line,Line.ln5926286-1,1,l3216336.1,1,400.0,416
line,Line.ln5926286-1,2,l2691936.1,1,400.0,417
line,Line.ln6318859-1,1,l2897772.1,1,400.0,418
line,Line.ln6318859-1,2,l3101814.1,1,400.0,419
line,Line.ln5926316-1,1,l2766732.2,2,400.0,420
line,Line.ln5926316-1,2,m1026485.2,2,400.0,421
line,Line.ln5591703-1,1,l2804269.2,2,400.0,422
line,Line.ln5591703-1,2,l2989564.2,2,400.0,423
line,Line.ln5531333-1,1,m1126016.1,1,400.0,424
line,Line.ln5531333-1,2,l3120534.1,1,400.0,425
line,Line.ln6047581-1,1,m1026330.2,2,400.0,426
line,Line.ln6047581-1,2,l2766726.2,2,400.0,427
line,Line.ln6349077-1,1,p901912.2,2,400.0,428
line,Line.ln6349077-1,2,l3195365.2,2,400.0,429
line,Line.ln6350574-1,1,m1108381,1,400.0,430
line,Line.ln6350574-1,1,m1108381,2,400.0,431
line,Line.ln6350574-1,1,m1108381,3,400.0,432
line,Line.ln6350574-1,2,l3254237,1,400.0,433
line,Line.ln6350574-1,2,l3254237,2,400.0,434
line,Line.ln6350574-1,2,l3254237,3,400.0,435
line,Line.ln6320343-1,1,l2804262.1,1,400.0,436
line,Line.ln6320343-1,2,l2841639.1,1,400.0,437
line,Line.ln81048100-5,1,n1230123.2,2,220.0,438
line,Line.ln81048100-5,2,l2708744.2,2,220.0,439
line,Line.ln6348946-1,1,m1069519.2,2,400.0,440
line,Line.ln6348946-1,2,p901927.2,2,400.0,441
line,Line.ln5744351-1,1,l2897790.3,3,400.0,442
line,Line.ln5744351-1,2,l2935566.3,3,400.0,443
line,Line.ln5472342-1,1,m1026931.1,1,400.0,444
line,Line.ln5472342-1,2,l3216337.1,1,400.0,445
line,Line.ln5621849-1,1,p901931.3,3,400.0,446
line,Line.ln5621849-1,2,m1069548.3,3,400.0,447
line,Line.ln6379375-1,1,m1010013.1,1,400.0,448
line,Line.ln6379375-1,2,l3120503.1,1,400.0,449
line,Line.ln6028890-1,1,m1089145,1,400.0,450
line,Line.ln6028890-1,1,m1089145,2,400.0,451
line,Line.ln6028890-1,1,m1089145,3,400.0,452
line,Line.ln6028890-1,2,l3215385,1,400.0,453
line,Line.ln6028890-1,2,l3215385,2,400.0,454
line,Line.ln6028890-1,2,l3215385,3,400.0,455
line,Line.ln6380822-1,1,m1026854,1,400.0,456
line,Line.ln6380822-1,1,m1026854,2,400.0,457
line,Line.ln6380822-1,1,m1026854,3,400.0,458
line,Line.ln6380822-1,2,m1026852,1,400.0,459
line,Line.ln6380822-1,2,m1026852,2,400.0,460
line,Line.ln6380822-1,2,m1026852,3,400.0,461
line,Line.ln5835131-1,1,l2935549,1,400.0,462
line,Line.ln5835131-1,1,l2935549,2,400.0,463
line,Line.ln5835131-1,1,l2935549,3,400.0,464
line,Line.ln5835131-1,2,m1069420,1,400.0,465
line,Line.ln5835131-1,2,m1069420,2,400.0,466
line,Line.ln5835131-1,2,m1069420,3,400.0,467
line,Line.ln5803262-7,1,l3157708.3,3,400.0,468
line,Line.ln5803262-7,2,n1137991.3,3,400.0,469
line,Line.ln81048089-1,1,m1108413.1,1,220.0,470
line,Line.ln81048089-1,2,m1108460.1,1,220.0,471
line,Line.ln6201699-1,1,p827532.1,1,400.0,472
line,Line.ln6201699-1,2,m1047326.1,1,400.0,473
line,Line.ln5746548-1,1,e182732,1,400.0,474
line,Line.ln5746548-1,1,e182732,2,400.0,475
line,Line.ln5746548-1,1,e182732,3,400.0,476
line,Line.ln5746548-1,2,m1026760,1,400.0,477
line,Line.ln5746548-1,2,m1026760,2,400.0,478
