outer_fold,row_index,fit_end_index,fit_rows,date
5,119,113,114,2024-12-16
5,120,113,114,2024-12-17
5,121,113,114,2024-12-18
5,122,113,114,2024-12-19
5,123,113,114,2024-12-20
5,124,113,114,2024-12-21
5,125,113,114,2024-12-22
5,126,113,114,2024-12-23
5,127,113,114,2024-12-24
5,128,127,128,2024-12-25
5,129,127,128,2024-12-26
5,130,127,128,2024-12-27
5,131,127,128,2024-12-28
5,132,127,128,2024-12-29
5,133,127,128,2024-12-30
5,134,127,128,2024-12-31
5,135,127,128,2025-01-01
5,136,127,128,2025-01-02
5,137,127,128,2025-01-03
5,138,127,128,2025-01-04
5,139,127,128,2025-01-05
5,140,127,128,2025-01-06
5,141,127,128,2025-01-07
5,142,141,142,2025-01-08
5,143,141,142,2025-01-09
5,144,141,142,2025-01-10
5,145,141,142,2025-01-11
5,146,141,142,2025-01-12
5,147,141,142,2025-01-13
5,148,141,142,2025-01-14
5,149,141,142,2025-01-15
5,150,141,142,2025-01-16
5,151,141,142,2025-01-17
5,152,141,142,2025-01-18
5,153,141,142,2025-01-19
5,154,141,142,2025-01-20
5,155,141,142,2025-01-21
5,156,155,156,2025-01-22
5,157,155,156,2025-01-23
5,158,155,156,2025-01-24
5,159,155,156,2025-01-25
5,160,155,156,2025-01-26
5,161,155,156,2025-01-27
5,162,155,156,2025-01-28
5,163,155,156,2025-01-29
5,164,155,156,2025-01-30
5,165,155,156,2025-01-31
5,166,155,156,2025-02-01
5,167,155,156,2025-02-02
5,168,155,156,2025-02-03
5,169,155,156,2025-02-04
5,170,169,170,2025-02-05
5,171,169,170,2025-02-06
5,172,169,170,2025-02-07
5,173,169,170,2025-02-08
5,174,169,170,2025-02-09
5,175,169,170,2025-02-10
5,176,169,170,2025-02-11
5,177,169,170,2025-02-12
5,178,169,170,2025-02-13
5,179,169,170,2025-02-14
5,180,169,170,2025-02-15
5,181,169,170,2025-02-16
5,182,169,170,2025-02-17
5,183,169,170,2025-02-18
5,184,183,184,2025-02-19
5,185,183,184,2025-02-20
5,186,183,184,2025-02-21
5,187,183,184,2025-02-22
5,188,183,184,2025-02-23
5,189,183,184,2025-02-24
5,190,183,184,2025-02-25
5,191,183,184,2025-02-26
5,192,183,184,2025-02-27
5,193,183,184,2025-02-28
