AIDC,node,AIDC_fixed_PF_dVpu_per_kW,nearby_MESS_extra_load_proxy_dVpu_dP,nearby_MESS_extra_load_proxy_dVpu_dQ,AIDC_pure_dV_dP,AIDC_pure_dV_dQ
AIDC01,23.2,3.0403917820940257e-09,1.797920084484049e-09,-1.4087450858762948e-08,,
AIDC01,23.3,-8.497393025465461e-09,-3.3423606619130596e-09,2.6102313518706636e-09,,
AIDC01,24.3,-8.597958693439988e-09,-3.4320840085288132e-09,2.8928619828630144e-09,,
AIDC01,25.1,-6.170350034775856e-09,-5.6080886380582026e-09,9.661467365504571e-09,,
AIDC01,25.2,3.0533363368456927e-09,1.8090262969785278e-09,-1.412742592566876e-08,,
AIDC01,25.3,-8.554966092437988e-09,-3.393893439333594e-09,2.7747020174136517e-09,,
AIDC01,250.1,-6.135907494961125e-09,-5.586784736212742e-09,9.601307563147517e-09,,
AIDC01,250.2,3.067810153899321e-09,1.8086731645687908e-09,-1.4132945210089394e-08,,
AIDC01,250.3,-8.653170685433276e-09,-3.475418412629114e-09,3.0345815003952614e-09,,
AIDC01,25r.1,-6.208950027496943e-09,-5.643178653496652e-09,9.72198267530945e-09,,
AIDC01,25r.3,-8.555022916491535e-09,-3.393944625084814e-09,2.7748632431049296e-09,,
AIDC01,26.1,-6.211778834506365e-09,-5.649860348500282e-09,9.746563533859389e-09,,
AIDC01,26.3,-8.586922655630667e-09,-3.4232538918530714e-09,2.8676928109659873e-09,,
AIDC01,27.1,-6.226217024352451e-09,-5.666006903328068e-09,9.800212154376858e-09,,
AIDC01,27.3,-8.588238953725725e-09,-3.4250048781032024e-09,2.8735959363333563e-09,,
AIDC01,28.1,-6.169434280940252e-09,-5.610952857501291e-09,9.674097319010213e-09,,
AIDC01,28.2,3.0595948670325675e-09,1.8131990719002341e-09,-1.4143078883076626e-08,,
AIDC01,28.3,-8.577795706550804e-09,-3.413668658802375e-09,2.8380873704866177e-09,,
AIDC01,29.1,-6.1525965181155955e-09,-5.5979432169951106e-09,9.635589867365622e-09,,
AIDC01,29.2,3.060879852395102e-09,1.810126309514618e-09,-1.4135569507861637e-08,,
AIDC01,29.3,-8.609564567460696e-09,-3.4401463120293014e-09,2.9224866862584464e-09,,
AIDC01,3.3,-4.328114305806348e-09,-9.483446332082423e-10,-5.1151604815911415e-09,,
AIDC01,30.1,-6.1347503999314415e-09,-5.5844017229285495e-09,9.59347700744116e-09,,
AIDC01,30.2,3.063756899713788e-09,1.8076272854991471e-09,-1.412894506159408e-08,,
AIDC01,30.3,-8.648320483875833e-09,-3.4724378975044827e-09,3.024843285882575e-09,,
AIDC01,300.1,-1.0386221614534846e-08,-1.2330906152459902e-08,3.001368591404405e-08,,
AIDC01,300.2,8.981891819439495e-09,3.0350090915523166e-09,-1.7890079950060012e-08,,
AIDC01,300.3,-1.462665295917723e-08,-5.9408380739676754e-09,1.0695518094774696e-08,,
AIDC01,300_open.1,-6.6190731934903075e-09,-6.225656573732183e-09,1.1688916100834388e-08,,
AIDC01,300_open.2,3.8211127390398506e-09,1.9703174966292038e-09,-1.476664846931628e-08,,
AIDC01,300_open.3,-9.169268149557187e-09,-3.615055988308281e-09,3.5439486885440564e-09,,
AIDC01,31.3,-8.628465542837344e-09,-3.4604272074103614e-09,2.984808494613999e-09,,
AIDC01,32.3,-8.656237219035108e-09,-3.4853073375829972e-09,3.0631886928605756e-09,,
AIDC01,33.1,-6.282088777053112e-09,-5.7285559815645945e-09,1.0008034162496503e-08,,
AIDC01,34.3,-7.543762631727194e-09,-2.6570608004708707e-09,3.904236061489208e-10,,
AIDC01,35.1,-6.316214324433702e-09,-5.77153966898069e-09,1.018163844408289e-08,,
AIDC01,35.2,3.2070115621850745e-09,1.8029573267172819e-09,-1.4129141608097689e-08,,
AIDC01,35.3,-8.545554254143259e-09,-3.2897854379085326e-09,2.4618761228921488e-09,,
AIDC01,36.1,-6.310064830201168e-09,-5.771931884889059e-09,1.0185746118919456e-08,,
AIDC01,36.2,3.23918616867629e-09,1.7913145148781276e-09,-1.4099622752901531e-08,,
AIDC01,37.1,-6.307228363754459e-09,-5.7693372705760336e-09,1.0181167320471804e-08,,
AIDC01,38.2,3.267362612380723e-09,1.7829280228994817e-09,-1.407757478248709e-08,,
AIDC01,39.2,3.2919627929979367e-09,1.7757859225626967e-09,-1.4059531513173021e-08,,
AIDC01,4.3,-4.337071509406003e-09,-9.558386218667212e-10,-5.093234246457634e-09,,
AIDC01,40.1,-6.384902738796391e-09,-5.8701732767587895e-09,1.050958684848472e-08,,
AIDC01,40.2,3.334883072330034e-09,1.8448049024688252e-09,-1.4282062993973662e-08,,
AIDC01,40.3,-8.665992399615047e-09,-3.356242095895409e-09,2.681971764797986e-09,,
AIDC01,41.3,-8.690979348657511e-09,-3.3776299497457446e-09,2.7494387014395416e-09,,
AIDC01,42.1,-6.458026408664125e-09,-5.97262168006033e-09,1.0849544271906849e-08,,
AIDC01,42.2,3.464129015400589e-09,1.8881223072318645e-09,-1.4439598939559968e-08,,
AIDC01,42.3,-8.777432300874601e-09,-3.414991076001112e-09,2.8777672010522044e-09,,
AIDC01,43.2,3.461534376531808e-09,1.886708127942641e-09,-1.4428783661524682e-08,,
AIDC01,44.1,-6.505404031559494e-09,-6.0431533237490055e-09,1.1083852200334974e-08,,
AIDC01,44.2,3.5617457955833712e-09,1.9161586500204158e-09,-1.454514647889786e-08,,
AIDC01,44.3,-8.865769249482115e-09,-3.4607516581994747e-09,3.0310036771417823e-09,,
AIDC01,45.1,-6.536853699796612e-09,-6.077653348625275e-09,1.1197511066145822e-08,,
AIDC01,450.1,-1.00545123236569e-08,-1.1869505154645504e-08,2.860618835393734e-08,,
AIDC01,450.2,8.74746681262842e-09,2.843215632816213e-09,-1.7296257590384642e-08,,
AIDC01,450.3,-1.4387972542116127e-08,-5.7741434852222715e-09,1.0177841674778498e-08,,
AIDC01,46.1,-6.569002420979637e-09,-6.112819297371023e-09,1.13127058210019e-08,,
AIDC01,47.1,-6.5459179065127576e-09,-6.110922247011735e-09,1.1309523163662603e-08,,
AIDC01,47.2,3.6720811090236222e-09,1.9382973106638584e-09,-1.4634553263199472e-08,,
AIDC01,47.3,-8.974218863773122e-09,-3.515513200775361e-09,3.2144919375594703e-09,,
AIDC01,48.1,-6.549999564014212e-09,-6.116247764575805e-09,1.1328360027894988e-08,,
AIDC01,48.2,3.678912427236325e-09,1.9387300152035863e-09,-1.4636232874043255e-08,,
AIDC01,48.3,-8.980590066307421e-09,-3.5184298031641964e-09,3.225331728289185e-09,,
AIDC01,49.1,-6.574196019833103e-09,-6.1570723996130954e-09,1.1462059507818418e-08,,
AIDC01,49.2,3.745438623334284e-09,1.9457241243219e-09,-1.4673217885792478e-08,,
AIDC01,49.3,-9.064153992028937e-09,-3.55673097468138e-09,3.3519834544549418e-09,,
AIDC01,5.3,-4.3290713964390245e-09,-9.50810913042487e-10,-5.103003194064954e-09,,
AIDC01,50.1,-6.5868645979331755e-09,-6.179164055152531e-09,1.1535825250083287e-08,,
AIDC01,50.2,3.770170339373193e-09,1.9537662093903665e-09,-1.4704206198127442e-08,,
AIDC01,50.3,-9.112703192996637e-09,-3.5876204651685157e-09,3.452201092018342e-09,,
AIDC01,51.1,-6.606179424386738e-09,-6.203970882363747e-09,1.161743181482563e-08,,
AIDC01,51.2,3.791710947745433e-09,1.9643235242394264e-09,-1.4741567048326087e-08,,
AIDC01,51.3,-9.132539577259012e-09,-3.597939004261515e-09,3.4866416039947265e-09,,
AIDC01,52.1,-6.664539483043848e-09,-6.421848986763328e-09,1.2040752324698083e-08,,
AIDC01,52.2,3.710120529042192e-09,2.0042408193586604e-09,-1.4602283435751137e-08,,
AIDC01,52.3,-8.669217634324359e-09,-3.1909892227958885e-09,2.10244746592407e-09,,
AIDC01,53.1,-7.026205915153107e-09,-7.042568193960969e-09,1.3970956985508571e-08,,
AIDC01,53.2,4.346625819797888e-09,2.1951574919949097e-09,-1.5193653706393263e-08,,
AIDC01,53.3,-9.24296185643617e-09,-3.4672248093839408e-09,2.988151868658663e-09,,
AIDC01,54.1,-7.235760345129494e-09,-7.411723512282203e-09,1.5117590311652335e-08,,
AIDC01,54.2,4.734654569408221e-09,2.3036895047026026e-09,-1.5528899026841396e-08,,
AIDC01,54.3,-9.599841915399697e-09,-3.637644220798661e-09,3.534557080329606e-09,,
AIDC01,55.1,-7.23255160304431e-09,-7.412455779567298e-09,1.5120503897383276e-08,,
AIDC01,55.2,4.746557724133471e-09,2.299449496067306e-09,-1.551700208841063e-08,,
AIDC01,55.3,-9.606203323081815e-09,-3.6350125853832155e-09,3.526897883159728e-09,,
AIDC01,56.1,-7.2300635599886464e-09,-7.4139264517267635e-09,1.512492365675834e-08,,
AIDC01,56.2,4.75905994351184e-09,2.295747297434728e-09,-1.550626917800213e-08,,
AIDC01,56.3,-9.613139851853907e-09,-3.6328590464818126e-09,3.52061268385335e-09,,
AIDC01,57.1,-7.836923163765403e-09,-8.380522300376781e-09,1.8117729591342066e-08,,
AIDC01,57.2,5.631213827311617e-09,2.4132261747715426e-09,-1.5852057967123207e-08,,
AIDC01,57.3,-1.0662726855399632e-08,-4.111449833072276e-09,5.052692102677104e-09,,
AIDC01,58.2,5.6715739007341775e-09,2.3975769870641535e-09,-1.5803976113470442e-08,,
AIDC01,59.2,5.6987112738229944e-09,2.387294161691706e-09,-1.577291701320854e-08,,
AIDC01,6.3,-4.32739643954777e-09,-9.504430285816877e-10,-5.101028775189327e-09,,
AIDC01,60.1,-9.091576368687611e-09,-1.0418415452104612e-08,2.4427356903220913e-08,,
AIDC01,60.2,7.480717499580946e-09,2.6736808507671133e-09,-1.6623585029462017e-08,,
AIDC01,60.3,-1.290445081296327e-08,-5.143060572357968e-09,8.355062894937603e-09,,
AIDC01,61.1,-9.106666351519268e-09,-1.0452338189113451e-08,2.4533971992445013e-08,,
AIDC01,61.2,7.523933874959922e-09,2.6858599973328133e-09,-1.6662288800279584e-08,,
AIDC01,61.3,-1.2946748610062843e-08,-5.164457602891246e-09,8.423759152809397e-09,,
AIDC01,610.1,-9.15076589101956e-09,-6.8211160703483495e-09,1.3381699161043034e-08,,
AIDC01,610.2,-2.61040618839116e-09,-3.99906580297176e-09,4.358087195803811e-09,,
AIDC01,610.3,-2.964830188869613e-09,-2.2097391262590636e-09,-1.1317350877919653e-09,,
AIDC01,61s.1,-9.10666673217056e-09,-1.0452338661913066e-08,2.453397351692505e-08,,
AIDC01,61s.2,7.523934161065319e-09,2.6858598703650196e-09,-1.6662288345944217e-08,,
AIDC01,61s.3,-1.2946748937556256e-08,-5.1644578838630954e-09,8.423759911522614e-09,,
AIDC01,62.1,-9.175685757659086e-09,-1.051152127097942e-08,2.4723773893823094e-08,,
AIDC01,62.2,7.589589414811958e-09,2.6801180487592645e-09,-1.6640187080303943e-08,,
AIDC01,62.3,-1.3042729130881633e-08,-5.24974320173513e-09,8.700555787773839e-09,,
AIDC01,63.1,-9.234959176509262e-09,-1.0577313512232681e-08,2.4933619262448746e-08,,
AIDC01,63.2,7.665656892812645e-09,2.6850625744286186e-09,-1.6652815829768627e-08,,
AIDC01,63.3,-1.3143563063933871e-08,-5.326046439643831e-09,8.945100938768032e-09,,
AIDC01,64.1,-9.206908828701111e-09,-1.0533068546533123e-08,2.4797873154602148e-08,,
AIDC01,64.2,7.791503486591025e-09,2.660362142188953e-09,-1.6568880678615546e-08,,
AIDC01,64.3,-1.3369850718146345e-08,-5.5069496692462965e-09,9.523550906863962e-09,,
AIDC01,65.1,-9.149710818942818e-09,-1.0481900559238982e-08,2.4641539629997548e-08,,
AIDC01,65.2,7.828129262941404e-09,2.6911408387276948e-09,-1.666321651945794e-08,,
AIDC01,65.3,-1.3621234235840884e-08,-5.739636370936199e-09,1.0268288622541647e-08,,
AIDC01,66.1,-9.109556510724082e-09,-1.0445590867754721e-08,2.4526424241127384e-08,,
AIDC01,66.2,7.855124922387693e-09,2.7133060848583183e-09,-1.6733877023182233e-08,,
AIDC01,66.3,-1.381542057739451e-08,-5.918610243135877e-09,1.0836839084013953e-08,,
AIDC01,67.1,-9.889843859795958e-09,-1.158336144620037e-08,2.7728110930722334e-08,,
AIDC01,67.2,8.384989044731512e-09,2.8423757979362768e-09,-1.7293995359603362e-08,,
AIDC01,67.3,-1.4093088081933319e-08,-5.724240681718969e-09,1.000828835314134e-08,,
AIDC01,68.1,-1.0175795437981365e-08,-1.1927598000615007e-08,2.8812503062353892e-08,,
AIDC01,69.1,-1.0506406894190437e-08,-1.2325346273385281e-08,3.006571501738824e-08,,
AIDC01,7.1,-4.625803337521423e-09,-3.082735747301951e-09,1.5612192099760936e-09,,
AIDC01,7.2,3.12815116042456e-10,9.101019526534414e-10,-1.1118871319687824e-08,,
AIDC01,7.3,-5.519574126204156e-09,-1.574274381532291e-09,-3.0981244006233275e-09,,
AIDC01,70.1,-1.0744041067331048e-08,-1.2610940096186759e-08,3.0965816395334776e-08,,
AIDC01,71.1,-1.0878690402297522e-08,-1.2772706105928321e-08,3.147570180577113e-08,,
AIDC01,72.1,-9.963479994856133e-09,-1.1776301375754672e-08,2.831608548600328e-08,,
AIDC01,72.2,8.652963889776153e-09,2.774259008597782e-09,-1.706567879144334e-08,,
AIDC01,72.3,-1.4499984620544249e-08,-5.878310758570867e-09,1.0502550493945741e-08,,
AIDC01,73.3,-1.4650091374409616e-08,-6.010743016584431e-09,1.093392630983757e-08,,
AIDC01,74.3,-1.4742773617575673e-08,-6.095502209714139e-09,1.121225790267572e-08,,
AIDC01,75.3,-1.4857495353361467e-08,-6.195987688765194e-09,1.1536954550356012e-08,,
AIDC01,76.1,-1.0045331040426272e-08,-1.1942002054863501e-08,2.882639854724595e-08,,
AIDC01,76.2,8.857743486805935e-09,2.7371945659644824e-09,-1.6940149826921162e-08,,
AIDC01,76.3,-1.4744653094607566e-08,-5.945583966684324e-09,1.0716211455396603e-08,,
AIDC01,77.1,-1.0070187097716315e-08,-1.2037750586130995e-08,2.9097285430866712e-08,,
AIDC01,77.2,9.066741826923693e-09,2.7343489723499076e-09,-1.6929905549433966e-08,,
AIDC01,77.3,-1.502237249779546e-08,-6.056017382127394e-09,1.1074489106880287e-08,,
AIDC01,78.1,-1.0077865645288848e-08,-1.2059853077499595e-08,2.9158986739034263e-08,,
AIDC01,78.2,9.105863311050028e-09,2.740587526018076e-09,-1.695029210650949e-08,,
AIDC01,78.3,-1.5084517165275445e-08,-6.08773958906599e-09,1.1177652191960742e-08,,
AIDC01,79.1,-1.0078173370118e-08,-1.2062566373933545e-08,2.916872176815392e-08,,
AIDC01,79.2,9.110558153151742e-09,2.739987702706812e-09,-1.6948672552568547e-08,,
AIDC01,79.3,-1.5090239720235475e-08,-6.089680815676975e-09,1.1184369335469547e-08,,
AIDC01,8.1,-5.145738920898787e-09,-3.914448800992125e-09,4.186307580973651e-09,,
AIDC01,8.2,1.160755179603746e-09,1.1884803891452198e-09,-1.2019408697316776e-08,,
AIDC01,8.3,-6.32106719647297e-09,-1.998319912247339e-09,-1.7313862142465972e-09,,
AIDC01,80.1,-1.0113426224141226e-08,-1.2158943755400954e-08,2.94309871255613e-08,,
AIDC01,80.2,9.281569681180407e-09,2.771499423047256e-09,-1.7050579020055857e-08,,
AIDC01,80.3,-1.5367572397216592e-08,-6.234277239247892e-09,1.1653277654534821e-08,,
AIDC01,81.1,-1.01291576503843e-08,-1.2192154016324615e-08,2.9520291621537655e-08,,
AIDC01,81.2,9.32303173692835e-09,2.79524532439603e-09,-1.71288211068614e-08,,
AIDC01,81.3,-1.5458889050686052e-08,-6.295619468928978e-09,1.1853078188074731e-08,,
AIDC01,82.1,-1.0184324782225913e-08,-1.2264164693861098e-08,2.9734415304067355e-08,,
AIDC01,82.2,9.38243239444402e-09,2.8378965598413834e-09,-1.7271507607596085e-08,,
AIDC01,82.3,-1.5524248496416444e-08,-6.331613858177807e-09,1.1962599225816284e-08,,
AIDC01,83.1,-1.019559609510299e-08,-1.2283045156286915e-08,2.9781681128353737e-08,,
AIDC01,83.2,9.418957483594708e-09,2.85306592925459e-09,-1.7327711837220582e-08,,
AIDC01,83.3,-1.5579072467606855e-08,-6.354946412309236e-09,1.2032061042643413e-08,,
AIDC01,84.3,-1.5770441909643588e-08,-6.565719788926583e-09,1.2778848227236881e-08,,
AIDC01,85.3,-1.591718732335809e-08,-6.693573478572946e-09,1.3218467129313831e-08,,
AIDC01,86.1,-1.023414577608126e-08,-1.2272548092417887e-08,2.987102045314896e-08,,
AIDC01,86.2,9.282642243053432e-09,2.7300436743538323e-09,-1.6902182229073837e-08,,
AIDC01,86.3,-1.5097141045075482e-08,-5.970057392758209e-09,1.0778625432070464e-08,,
AIDC01,87.1,-1.0353394433850156e-08,-1.2476811124363932e-08,3.051591974065025e-08,,
AIDC01,87.2,9.528799231987386e-09,2.744945107399702e-09,-1.6941757241253084e-08,,
AIDC01,87.3,-1.529963926929233e-08,-6.018771927067227e-09,1.0925958101658603e-08,,
AIDC01,88.1,-1.0426834665103096e-08,-1.2565743106898485e-08,3.079475100005307e-08,,
AIDC01,89.1,-1.0375443852650047e-08,-1.2529255953674716e-08,3.0684213572320155e-08,,
AIDC01,89.2,9.611155663094712e-09,2.740886997150197e-09,-1.6926639832784137e-08,,
AIDC01,89.3,-1.5390285888955257e-08,-6.046458078505986e-09,1.1009131285339623e-08,,
AIDC01,9.1,-5.182314727497381e-09,-3.957302374014526e-09,4.326323269180953e-09,,
AIDC01,90.2,9.652536608527603e-09,2.7201998631332733e-09,-1.686131305620108e-08,,
AIDC01,91.1,-1.0395577133262094e-08,-1.2570218109063715e-08,3.0814390694044754e-08,,
AIDC01,91.2,9.659592715209434e-09,2.7455706338158207e-09,-1.6938157478781204e-08,,
AIDC01,91.3,-1.545444645925067e-08,-6.074885207245946e-09,1.109620126975958e-08,,
AIDC01,92.3,-1.555376595799011e-08,-6.149489950792581e-09,1.133097607429391e-08,,
AIDC01,93.1,-1.0433676047660576e-08,-1.2625319789146151e-08,3.099005719844899e-08,,
AIDC01,93.2,9.711942662064964e-09,2.7542627353349265e-09,-1.6963789590335713e-08,,
AIDC01,93.3,-1.548126913975573e-08,-6.076441879141896e-09,1.1100041937216666e-08,,
AIDC01,94.1,-1.0544615126395778e-08,-1.2759458760161603e-08,3.141675867176405e-08,,
AIDC01,94_open.1,-7.235760345129494e-09,-7.411723512282203e-09,1.5117590311652335e-08,,
AIDC01,95.1,-1.0428951241224474e-08,-1.263112252692019e-08,3.100914220481913e-08,,
AIDC01,95.2,9.753116911089267e-09,2.731108046448878e-09,-1.6887372520927433e-08,,
AIDC01,95.3,-1.550417456922344e-08,-6.062771278796087e-09,1.105482256404022e-08,,
AIDC01,96.2,9.782626543716152e-09,2.713985765414383e-09,-1.6830789544979555e-08,,
AIDC01,97.1,-1.0006631626905224e-08,-1.1781675270836345e-08,2.8335093836677885e-08,,
AIDC01,97.2,8.583439973214204e-09,2.870482750473848e-09,-1.7381810458080902e-08,,
AIDC01,97.3,-1.430900133319978e-08,-5.81130814055254e-09,1.0286210540323923e-08,,
AIDC01,98.1,-1.0059868374174834e-08,-1.1857077569848557e-08,2.857024564573111e-08,,
AIDC01,98.2,8.656896560404956e-09,2.88518065470264e-09,-1.7427988064997234e-08,,
AIDC01,98.3,-1.4342876394117249e-08,-5.807254858819561e-09,1.027564169335646e-08,,
AIDC01,99.1,-1.0052869837965938e-08,-1.1868999410948386e-08,2.86057051195433e-08,,
AIDC01,99.2,8.745392242982383e-09,2.8432906698371855e-09,-1.72968980656991e-08,,
AIDC01,99.3,-1.4391582242186032e-08,-5.775592174238213e-09,1.0180395109901063e-08,,
AIDC01,9r.1,-5.182322421536249e-09,-3.957312296932943e-09,4.326359808145241e-09,,
AIDC01,idc_idc01_pcc.1,-1.896179962924067e-05,-7.928846758023739e-11,-7.921801818880185e-09,,
AIDC01,idc_idc01_pcc.2,-1.8961737895062293e-05,-7.774156280664174e-11,-7.926506076267636e-09,,
AIDC01,idc_idc01_pcc.3,-1.8961754666848364e-05,-7.810667419045634e-11,-7.925383524538245e-09,,
AIDC01,idc_idc02_pcc.1,-6.736433940319389e-09,-6.351382446037743e-09,1.2102836466563861e-08,,
AIDC01,idc_idc02_pcc.2,3.906353244862225e-09,1.946754343027596e-09,-1.4709683539623153e-08,,
AIDC01,idc_idc02_pcc.3,-9.255288824819943e-09,-3.6877269455998556e-09,3.773350256935423e-09,,
