job_uid,feature_space,exact_full_feature_match_count,exactly_8_of_9_feature_match_count,at_least_8_of_9_match_count,exactly_7_of_9_feature_match_count,at_least_7_of_9_match_count,eight_other_inputs_excluding_walltime_match_count,nearest_walltime_regime_with_other_eight_inputs_fixed,nearest_training_sample_count,nearest_requested_walltime_seconds,query_requested_walltime_seconds,walltime_absolute_distance_hours,training_to_query_walltime_ratio,any_H100_12h_training_support_exists,any_H100_12h_training_samples,same_other_eight_inputs_12h_support_exists,same_hardware_partition_qos_regime_exists,same_partition_qos_training_samples,support_classification,RUNTIME_VALUE_SUPPORT,FEATURE_CONDITIONAL_SUPPORT,distance_definition
8665944,Frozen nine causal input features; reference=H100-standby preissue training; no outcome matching,0,1501,1501,0,1501,1501,exact48h,1501,172800,43200,36,4,True,635,False,True,87233,REGIME_MISMATCH,WELL_SUPPORTED_BROAD_HISTORICAL_RANGE,EXACT_MATCH_ABSENT; NEAREST_SAME_8_INPUTS_DIFFERENT_WALLTIME,"Unweighted number of exact matching existing input fields, then absolute walltime distance with eight others fixed. No learned distance or May-tuned weights."
8665950,Frozen nine causal input features; reference=H100-standby preissue training; no outcome matching,0,1501,1501,0,1501,1501,exact48h,1501,172800,43200,36,4,True,635,False,True,87233,REGIME_MISMATCH,WELL_SUPPORTED_BROAD_HISTORICAL_RANGE,EXACT_MATCH_ABSENT; NEAREST_SAME_8_INPUTS_DIFFERENT_WALLTIME,"Unweighted number of exact matching existing input fields, then absolute walltime distance with eight others fixed. No learned distance or May-tuned weights."
8665951,Frozen nine causal input features; reference=H100-standby preissue training; no outcome matching,0,1501,1501,0,1501,1501,exact48h,1501,172800,43200,36,4,True,635,False,True,87233,REGIME_MISMATCH,WELL_SUPPORTED_BROAD_HISTORICAL_RANGE,EXACT_MATCH_ABSENT; NEAREST_SAME_8_INPUTS_DIFFERENT_WALLTIME,"Unweighted number of exact matching existing input fields, then absolute walltime distance with eight others fixed. No learned distance or May-tuned weights."
8665952,Frozen nine causal input features; reference=H100-standby preissue training; no outcome matching,0,1501,1501,0,1501,1501,exact48h,1501,172800,43200,36,4,True,635,False,True,87233,REGIME_MISMATCH,WELL_SUPPORTED_BROAD_HISTORICAL_RANGE,EXACT_MATCH_ABSENT; NEAREST_SAME_8_INPUTS_DIFFERENT_WALLTIME,"Unweighted number of exact matching existing input fields, then absolute walltime distance with eight others fixed. No learned distance or May-tuned weights."
8665953,Frozen nine causal input features; reference=H100-standby preissue training; no outcome matching,0,1501,1501,0,1501,1501,exact48h,1501,172800,43200,36,4,True,635,False,True,87233,REGIME_MISMATCH,WELL_SUPPORTED_BROAD_HISTORICAL_RANGE,EXACT_MATCH_ABSENT; NEAREST_SAME_8_INPUTS_DIFFERENT_WALLTIME,"Unweighted number of exact matching existing input fields, then absolute walltime distance with eight others fixed. No learned distance or May-tuned weights."
8665962,Frozen nine causal input features; reference=H100-standby preissue training; no outcome matching,0,1501,1501,0,1501,1501,exact48h,1501,172800,43200,36,4,True,635,False,True,87233,REGIME_MISMATCH,WELL_SUPPORTED_BROAD_HISTORICAL_RANGE,EXACT_MATCH_ABSENT; NEAREST_SAME_8_INPUTS_DIFFERENT_WALLTIME,"Unweighted number of exact matching existing input fields, then absolute walltime distance with eight others fixed. No learned distance or May-tuned weights."
8665963,Frozen nine causal input features; reference=H100-standby preissue training; no outcome matching,0,1501,1501,0,1501,1501,exact48h,1501,172800,43200,36,4,True,635,False,True,87233,REGIME_MISMATCH,WELL_SUPPORTED_BROAD_HISTORICAL_RANGE,EXACT_MATCH_ABSENT; NEAREST_SAME_8_INPUTS_DIFFERENT_WALLTIME,"Unweighted number of exact matching existing input fields, then absolute walltime distance with eight others fixed. No learned distance or May-tuned weights."
8665964,Frozen nine causal input features; reference=H100-standby preissue training; no outcome matching,0,1501,1501,0,1501,1501,exact48h,1501,172800,43200,36,4,True,635,False,True,87233,REGIME_MISMATCH,WELL_SUPPORTED_BROAD_HISTORICAL_RANGE,EXACT_MATCH_ABSENT; NEAREST_SAME_8_INPUTS_DIFFERENT_WALLTIME,"Unweighted number of exact matching existing input fields, then absolute walltime distance with eight others fixed. No learned distance or May-tuned weights."
8665965,Frozen nine causal input features; reference=H100-standby preissue training; no outcome matching,0,1501,1501,0,1501,1501,exact48h,1501,172800,43200,36,4,True,635,False,True,87233,REGIME_MISMATCH,WELL_SUPPORTED_BROAD_HISTORICAL_RANGE,EXACT_MATCH_ABSENT; NEAREST_SAME_8_INPUTS_DIFFERENT_WALLTIME,"Unweighted number of exact matching existing input fields, then absolute walltime distance with eight others fixed. No learned distance or May-tuned weights."
8665966,Frozen nine causal input features; reference=H100-standby preissue training; no outcome matching,0,1501,1501,0,1501,1501,exact48h,1501,172800,43200,36,4,True,635,False,True,87233,REGIME_MISMATCH,WELL_SUPPORTED_BROAD_HISTORICAL_RANGE,EXACT_MATCH_ABSENT; NEAREST_SAME_8_INPUTS_DIFFERENT_WALLTIME,"Unweighted number of exact matching existing input fields, then absolute walltime distance with eight others fixed. No learned distance or May-tuned weights."
8665973,Frozen nine causal input features; reference=H100-standby preissue training; no outcome matching,0,1501,1501,0,1501,1501,exact48h,1501,172800,43200,36,4,True,635,False,True,87233,REGIME_MISMATCH,WELL_SUPPORTED_BROAD_HISTORICAL_RANGE,EXACT_MATCH_ABSENT; NEAREST_SAME_8_INPUTS_DIFFERENT_WALLTIME,"Unweighted number of exact matching existing input fields, then absolute walltime distance with eight others fixed. No learned distance or May-tuned weights."
8665975,Frozen nine causal input features; reference=H100-standby preissue training; no outcome matching,0,1501,1501,0,1501,1501,exact48h,1501,172800,43200,36,4,True,635,False,True,87233,REGIME_MISMATCH,WELL_SUPPORTED_BROAD_HISTORICAL_RANGE,EXACT_MATCH_ABSENT; NEAREST_SAME_8_INPUTS_DIFFERENT_WALLTIME,"Unweighted number of exact matching existing input fields, then absolute walltime distance with eight others fixed. No learned distance or May-tuned weights."
8665976,Frozen nine causal input features; reference=H100-standby preissue training; no outcome matching,0,1501,1501,0,1501,1501,exact48h,1501,172800,43200,36,4,True,635,False,True,87233,REGIME_MISMATCH,WELL_SUPPORTED_BROAD_HISTORICAL_RANGE,EXACT_MATCH_ABSENT; NEAREST_SAME_8_INPUTS_DIFFERENT_WALLTIME,"Unweighted number of exact matching existing input fields, then absolute walltime distance with eight others fixed. No learned distance or May-tuned weights."
8665980,Frozen nine causal input features; reference=H100-standby preissue training; no outcome matching,0,1501,1501,0,1501,1501,exact48h,1501,172800,43200,36,4,True,635,False,True,87233,REGIME_MISMATCH,WELL_SUPPORTED_BROAD_HISTORICAL_RANGE,EXACT_MATCH_ABSENT; NEAREST_SAME_8_INPUTS_DIFFERENT_WALLTIME,"Unweighted number of exact matching existing input fields, then absolute walltime distance with eight others fixed. No learned distance or May-tuned weights."
8665981,Frozen nine causal input features; reference=H100-standby preissue training; no outcome matching,0,1501,1501,0,1501,1501,exact48h,1501,172800,43200,36,4,True,635,False,True,87233,REGIME_MISMATCH,WELL_SUPPORTED_BROAD_HISTORICAL_RANGE,EXACT_MATCH_ABSENT; NEAREST_SAME_8_INPUTS_DIFFERENT_WALLTIME,"Unweighted number of exact matching existing input fields, then absolute walltime distance with eight others fixed. No learned distance or May-tuned weights."
8665983,Frozen nine causal input features; reference=H100-standby preissue training; no outcome matching,0,1501,1501,0,1501,1501,exact48h,1501,172800,43200,36,4,True,635,False,True,87233,REGIME_MISMATCH,WELL_SUPPORTED_BROAD_HISTORICAL_RANGE,EXACT_MATCH_ABSENT; NEAREST_SAME_8_INPUTS_DIFFERENT_WALLTIME,"Unweighted number of exact matching existing input fields, then absolute walltime distance with eight others fixed. No learned distance or May-tuned weights."
8665989,Frozen nine causal input features; reference=H100-standby preissue training; no outcome matching,0,1501,1501,0,1501,1501,exact48h,1501,172800,43200,36,4,True,635,False,True,87233,REGIME_MISMATCH,WELL_SUPPORTED_BROAD_HISTORICAL_RANGE,EXACT_MATCH_ABSENT; NEAREST_SAME_8_INPUTS_DIFFERENT_WALLTIME,"Unweighted number of exact matching existing input fields, then absolute walltime distance with eight others fixed. No learned distance or May-tuned weights."
8665990,Frozen nine causal input features; reference=H100-standby preissue training; no outcome matching,0,1501,1501,0,1501,1501,exact48h,1501,172800,43200,36,4,True,635,False,True,87233,REGIME_MISMATCH,WELL_SUPPORTED_BROAD_HISTORICAL_RANGE,EXACT_MATCH_ABSENT; NEAREST_SAME_8_INPUTS_DIFFERENT_WALLTIME,"Unweighted number of exact matching existing input fields, then absolute walltime distance with eight others fixed. No learned distance or May-tuned weights."
8665991,Frozen nine causal input features; reference=H100-standby preissue training; no outcome matching,0,1501,1501,0,1501,1501,exact48h,1501,172800,43200,36,4,True,635,False,True,87233,REGIME_MISMATCH,WELL_SUPPORTED_BROAD_HISTORICAL_RANGE,EXACT_MATCH_ABSENT; NEAREST_SAME_8_INPUTS_DIFFERENT_WALLTIME,"Unweighted number of exact matching existing input fields, then absolute walltime distance with eight others fixed. No learned distance or May-tuned weights."
