target_slot,issue_relative_slot,timestamp_AEST,duration_authority,occupied_GPUs,free_GPUs,saturated_624,W1,W3,W5
53,77,2025-04-01T13:15:00+10:00,RW_REQUESTED_WALLTIME,624.0,0.0,True,False,False,False
54,78,2025-04-01T13:30:00+10:00,RW_REQUESTED_WALLTIME,624.0,0.0,True,False,False,False
55,79,2025-04-01T13:45:00+10:00,RW_REQUESTED_WALLTIME,624.0,0.0,True,False,False,False
56,80,2025-04-01T14:00:00+10:00,RW_REQUESTED_WALLTIME,624.0,0.0,True,False,False,False
57,81,2025-04-01T14:15:00+10:00,RW_REQUESTED_WALLTIME,624.0,0.0,True,False,False,False
58,82,2025-04-01T14:30:00+10:00,RW_REQUESTED_WALLTIME,624.0,0.0,True,False,False,False
59,83,2025-04-01T14:45:00+10:00,RW_REQUESTED_WALLTIME,624.0,0.0,True,False,False,False
60,84,2025-04-01T15:00:00+10:00,RW_REQUESTED_WALLTIME,624.0,0.0,True,False,False,False
61,85,2025-04-01T15:15:00+10:00,RW_REQUESTED_WALLTIME,624.0,0.0,True,False,False,False
62,86,2025-04-01T15:30:00+10:00,RW_REQUESTED_WALLTIME,624.0,0.0,True,False,False,False
63,87,2025-04-01T15:45:00+10:00,RW_REQUESTED_WALLTIME,624.0,0.0,True,False,False,False
64,88,2025-04-01T16:00:00+10:00,RW_REQUESTED_WALLTIME,624.0,0.0,True,False,False,False
65,89,2025-04-01T16:15:00+10:00,RW_REQUESTED_WALLTIME,624.0,0.0,True,False,False,False
66,90,2025-04-01T16:30:00+10:00,RW_REQUESTED_WALLTIME,624.0,0.0,True,False,False,False
67,91,2025-04-01T16:45:00+10:00,RW_REQUESTED_WALLTIME,624.0,0.0,True,False,False,False
68,92,2025-04-01T17:00:00+10:00,RW_REQUESTED_WALLTIME,624.0,0.0,True,False,False,False
69,93,2025-04-01T17:15:00+10:00,RW_REQUESTED_WALLTIME,624.0,0.0,True,False,False,False
70,94,2025-04-01T17:30:00+10:00,RW_REQUESTED_WALLTIME,624.0,0.0,True,False,False,False
71,95,2025-04-01T17:45:00+10:00,RW_REQUESTED_WALLTIME,624.0,0.0,True,False,False,False
72,96,2025-04-01T18:00:00+10:00,RW_REQUESTED_WALLTIME,624.0,0.0,True,False,False,False
73,97,2025-04-01T18:15:00+10:00,RW_REQUESTED_WALLTIME,624.0,0.0,True,False,False,False
74,98,2025-04-01T18:30:00+10:00,RW_REQUESTED_WALLTIME,624.0,0.0,True,False,False,False
75,99,2025-04-01T18:45:00+10:00,RW_REQUESTED_WALLTIME,624.0,0.0,True,False,False,False
76,100,2025-04-01T19:00:00+10:00,RW_REQUESTED_WALLTIME,624.0,0.0,True,False,False,False
77,101,2025-04-01T19:15:00+10:00,RW_REQUESTED_WALLTIME,624.0,0.0,True,False,False,False
78,102,2025-04-01T19:30:00+10:00,RW_REQUESTED_WALLTIME,624.0,0.0,True,False,False,False
79,103,2025-04-01T19:45:00+10:00,RW_REQUESTED_WALLTIME,624.0,0.0,True,False,False,False
80,104,2025-04-01T20:00:00+10:00,RW_REQUESTED_WALLTIME,624.0,0.0,True,False,False,False
81,105,2025-04-01T20:15:00+10:00,RW_REQUESTED_WALLTIME,624.0,0.0,True,False,False,False
82,106,2025-04-01T20:30:00+10:00,RW_REQUESTED_WALLTIME,624.0,0.0,True,False,False,False
83,107,2025-04-01T20:45:00+10:00,RW_REQUESTED_WALLTIME,624.0,0.0,True,False,False,False
84,108,2025-04-01T21:00:00+10:00,RW_REQUESTED_WALLTIME,624.0,0.0,True,False,False,False
85,109,2025-04-01T21:15:00+10:00,RW_REQUESTED_WALLTIME,624.0,0.0,True,False,False,False
86,110,2025-04-01T21:30:00+10:00,RW_REQUESTED_WALLTIME,624.0,0.0,True,False,False,False
87,111,2025-04-01T21:45:00+10:00,RW_REQUESTED_WALLTIME,624.0,0.0,True,False,False,False
88,112,2025-04-01T22:00:00+10:00,RW_REQUESTED_WALLTIME,624.0,0.0,True,False,False,False
89,113,2025-04-01T22:15:00+10:00,RW_REQUESTED_WALLTIME,624.0,0.0,True,False,False,False
90,114,2025-04-01T22:30:00+10:00,RW_REQUESTED_WALLTIME,624.0,0.0,True,False,False,False
91,115,2025-04-01T22:45:00+10:00,RW_REQUESTED_WALLTIME,624.0,0.0,True,False,False,False
92,116,2025-04-01T23:00:00+10:00,RW_REQUESTED_WALLTIME,624.0,0.0,True,False,False,False
93,117,2025-04-01T23:15:00+10:00,RW_REQUESTED_WALLTIME,624.0,0.0,True,False,False,False
94,118,2025-04-01T23:30:00+10:00,RW_REQUESTED_WALLTIME,624.0,0.0,True,False,False,False
95,119,2025-04-01T23:45:00+10:00,RW_REQUESTED_WALLTIME,624.0,0.0,True,False,False,False
