site_id,site_name,operator,facility_owner,tenant_if_any,former_name,address,latitude,longitude,April_2025_operational_status,April_2025_applicable,effective_date,publication_date,reported_value,reported_unit,reported_boundary,source_url,source_title,source_type,source_quality_grade,source_access_date,source_SHA256_if_downloaded,exact_quote_or_paraphrase,confidence_grade,conflict_group,notes
AIDC05,NEXTDC M2,NEXTDC,NEXTDC,,,"75 Sharps Road, Tullamarine VIC 3043",-37.7088652,144.8754522,OPERATIONAL_DURING_APRIL_2025,True,2024-07-18,2024-07-18,M1 15,MW,IT_CAPACITY,https://nextdc.com/hubfs/240718_Partner_Onboarding_Guide.pdf,NEXTDC data centre locations and technical details,A_OPERATOR,A,2026-09-01,,Operator guide reports M1 total IT capacity 15 MW and planned/target figures for other sites; only M1's 15 MW is used as April-compatible IT-capacity evidence.,A,,42 MW built at 31-Dec-2024; 18 MW in progress and 120 MW planned are excluded from April built capacity.
AIDC06,NEXTDC M3,NEXTDC,NEXTDC,,,"25 Indwe Street, West Footscray VIC 3012",-37.8035123,144.8654833,OPERATIONAL_DURING_APRIL_2025,True,2024-07-18,2024-07-18,M1 15,MW,IT_CAPACITY,https://nextdc.com/hubfs/240718_Partner_Onboarding_Guide.pdf,NEXTDC data centre locations and technical details,A_OPERATOR,A,2026-09-01,,Operator guide reports M1 total IT capacity 15 MW and planned/target figures for other sites; only M1's 15 MW is used as April-compatible IT-capacity evidence.,A,,13.5 MW built at 31-Dec-2024; another 13.5 MW in progress and planned totals are excluded.
AIDC08,NEXTDC M1,NEXTDC,NEXTDC,,,"826-846 Lorimer Street, Port Melbourne VIC 3207",-37.8226649,144.9322619,OPERATIONAL_DURING_APRIL_2025,True,2024-07-18,2024-07-18,M1 15,MW,IT_CAPACITY,https://nextdc.com/hubfs/240718_Partner_Onboarding_Guide.pdf,NEXTDC data centre locations and technical details,A_OPERATOR,A,2026-09-01,,Operator guide reports M1 total IT capacity 15 MW and planned/target figures for other sites; only M1's 15 MW is used as April-compatible IT-capacity evidence.,A,,15 MW operator evidence is April-compatible; later 16 MW current wording is not backcast.
AIDC07,Vocus Mitcham,Vocus,Vocus,,EDC Mitcham / Vocus DC-MEL04,"28 Thornton Crescent, Mitcham VIC 3132",-37.8214322,145.1877346,OPERATIONAL_DURING_APRIL_2025,TEMPORAL_APPLICABILITY_UNRESOLVED,,,9.0,MW,FULLY_BUILT_OUT_POWER,https://www.datacentermap.com/australia/melbourne/mitcham/specs/,Vocus Data Centre - Mitcham - Specs,F_DIRECTORY,F,2026-09-01,,Directory reports 9 MW fully built-out power; it is not actual operating load.,A,,"9 MW is directory fully-built-out power, not actual April demand."
AIDC09,Equinix ME5,Equinix,Equinix,,Metronode / Nextgen Melbourne 1,"22-36 Walsh Street, West Melbourne VIC 3003",-37.8079907,144.9533624,OPERATIONAL_DURING_APRIL_2025,True,,,4.175,MW,GENERATOR_NAMEPLATE,https://www.equinix.com/data-centers/asia-pacific-colocation/australia-colocation/melbourne-data-centers/me5,ME5 Melbourne data center,A_OPERATOR,A,2026-09-01,,Official specifications list 2x400 kW and 3x1125 kW generators on a parallel bus with N+1 redundancy; no IT/facility MW is published.,A,,Identity is confirmed; 4.175 MW is generator nameplate only. N+1 upper-bound sensitivity is not real load.
AIDC10,CDC Brooklyn BK1,CDC Data Centres,CDC Data Centres,,,"Brooklyn, Victoria (street address not operator-published)",-37.8164095,144.8499089,OPERATIONAL_DURING_APRIL_2025,True,2024-06-30,2024-06-30,34.0,MW,OPERATING_CAPACITY,https://infratil.com/news/cdc-independent-valuation-30-june-2024/,CDC Independent Valuation - 30 June 2024,B_OWNER_FILING,B,2026-09-01,,Investor filing says Melbourne operating build capacity rose from zero to 34 MW when Brooklyn 1 commenced operations.,B,,"34 MW is BK1 operating build capacity, not actual consumption; later/under-construction campus capacity is excluded."
AIDC10,CDC Brooklyn BK1,CDC Data Centres,CDC Data Centres,,,"Brooklyn, Victoria (street address not operator-published)",-37.8164095,144.8499089,OPERATIONAL_DURING_APRIL_2025,True,2025-03-31,2025-04-04,34.0,MW,OPERATING_CAPACITY,https://infratil.com/news/cdc-independent-valuation-31-march-2025/cdc-independent-valuation-31-march-2025/,CDC Independent Valuation - 31 March 2025,B_OWNER_FILING,B,2026-09-01,,Contemporaneous filing keeps Melbourne operating build capacity at 34 MW and separately lists 121 MW under construction and 630 MW future build.,B,,"34 MW is BK1 operating build capacity, not actual consumption; later/under-construction campus capacity is excluded."
AIDC11,IBM MEL01 / Digital Realty MEL11,Digital Realty,Digital Realty,IBM SoftLayer MEL01,Digital Realty MEL11 / Deer Park 2,"72 Radnor Drive, Deer Park VIC 3023",-37.7819,144.7778,OPERATIONAL_DURING_APRIL_2025,TEMPORAL_APPLICABILITY_UNRESOLVED,,,6.7,MW,FULLY_BUILT_OUT_POWER,https://www.datacentermap.com/australia/melbourne/72-radnor-drive/specs/,72 Radnor Drive (MEL11) - Specs,F_DIRECTORY,F,2026-09-01,,Directory reports 6.7 MW fully built-out power and estimated operation from 2013.,A,MEL11_POWER,"IBM MEL01 is a tenant/site code at Digital Realty MEL11 in Deer Park, not Cheltenham; 6.7/10/13.4 MW secondary values remain unresolved."
AIDC11,IBM MEL01 / Digital Realty MEL11,Digital Realty,Digital Realty,IBM SoftLayer MEL01,Digital Realty MEL11 / Deer Park 2,"72 Radnor Drive, Deer Park VIC 3023",-37.7819,144.7778,OPERATIONAL_DURING_APRIL_2025,TEMPORAL_APPLICABILITY_UNRESOLVED,,,10.0,MW,FACILITY_POWER,https://gotcolo.com/data-center/melbourne-mel11-data-center/,Melbourne MEL11 Data Center,F_DIRECTORY,F,2026-09-01,,Directory reports 10 MW total power without phase/effective-date resolution.,A,MEL11_POWER,"IBM MEL01 is a tenant/site code at Digital Realty MEL11 in Deer Park, not Cheltenham; 6.7/10/13.4 MW secondary values remain unresolved."
AIDC11,IBM MEL01 / Digital Realty MEL11,Digital Realty,Digital Realty,IBM SoftLayer MEL01,Digital Realty MEL11 / Deer Park 2,"72 Radnor Drive, Deer Park VIC 3023",-37.7819,144.7778,OPERATIONAL_DURING_APRIL_2025,TEMPORAL_APPLICABILITY_UNRESOLVED,,,13.4,MW,FACILITY_POWER,https://www.ocolo.io/colocation/digital-realty/melbourne-mel11/,Digital Realty Melbourne MEL11,F_DIRECTORY,F,2026-09-01,,Directory reports 13.40 MW power capacity without phase/effective-date resolution.,A,MEL11_POWER,"IBM MEL01 is a tenant/site code at Digital Realty MEL11 in Deer Park, not Cheltenham; 6.7/10/13.4 MW secondary values remain unresolved."
AIDC12,STACK MEL01A,STACK Infrastructure,STACK Infrastructure,,,"399 Palmers Road, Truganina VIC 3029",-37.8199329,144.7476422,OPERATIONAL_DURING_APRIL_2025,True,2023-08-22,2023-08-22,36.0,MW,BUILT_CAPACITY,https://www.stackinfra.com/about/news-press/press-releases/stack-infrastructure-delivers-first-data-center-in-australia-launching-a-robust-apac-portfolio/,STACK opens first data center in Australia,A_OPERATOR,A,2026-09-01,,"STACK announced completion/opening of the first 36 MW facility; the second 36 MW development was upcoming. A 105 MW onsite substation is campus context, not an actual DNSP transformer rating.",A,,First 36 MW building completed in 2023; second building and later 180 MW campus values are not backcast.
AIDC12,STACK MEL01A,STACK Infrastructure,STACK Infrastructure,,,"399 Palmers Road, Truganina VIC 3029",-37.8199329,144.7476422,OPERATIONAL_DURING_APRIL_2025,True,,,36.0,MW,BUILT_CAPACITY,https://www.stackinfra.com/locations/asia-pacific/melbourne/mel01/,MEL01 Campus,A_OPERATOR,A,2026-09-01,,Current page lists MEL01A 36 MW but also a later 180 MW four-building campus and 135 MW onsite substation; later campus totals are not backcast.,A,,First 36 MW building completed in 2023; second building and later 180 MW campus values are not backcast.
AIDC12,STACK MEL01A,STACK Infrastructure,STACK Infrastructure,,,"399 Palmers Road, Truganina VIC 3029",-37.8199329,144.7476422,OPERATIONAL_DURING_APRIL_2025,True,,,36.0,MW,BUILT_CAPACITY,https://www.conceptcx.com.au/recent-experience/,Concept Commissioning recent projects,D_CONTRACTOR,D,2026-09-01,,Independent commissioning-agent project record identifies STACK MEL01 in Truganina with a 36 MW metric.,A,,First 36 MW building completed in 2023; second building and later 180 MW campus values are not backcast.
AIDC11,IBM MEL01 / Digital Realty MEL11,Digital Realty,Digital Realty,IBM SoftLayer MEL01,Digital Realty MEL11 / Deer Park 2,"72 Radnor Drive, Deer Park VIC 3023",-37.7819,144.7778,OPERATIONAL_DURING_APRIL_2025,True,2024-12-17,2024-12-17,2 x 225,MVA,MVA_INPUT,https://media.unitedenergy.com.au/reports/2024-TCPR_17-Dec.pdf,2024 Transmission Connection Planning Report,C_DNSP,C,2026-09-01,,DPTS has two 225 MVA transformers and serves the broad Powercor western area; exact MEL11 zone service is not public.,A,,"IBM MEL01 is a tenant/site code at Digital Realty MEL11 in Deer Park, not Cheltenham; 6.7/10/13.4 MW secondary values remain unresolved."
IEEE123,IEEE123 feeder,IEEE PES,IEEE PES,,,,,,TEST_FEEDER_AUTHORITY,True,,,5.0,MVA,MVA_INPUT,https://cmte.ieee.org/pes-testfeeders/wp-content/uploads/sites/167/2017/08/testfeeders.pdf,IEEE PES Radial Distribution Test Feeders,C_STANDARD,C,2026-09-01,,"Official IEEE 123-node data specifies a 5,000 kVA 115 kV delta / 4.16 kV grounded-wye substation transformer.",A,,
IEEE123,IEEE123 feeder,IEEE PES,IEEE PES,,,,,,TEST_FEEDER_AUTHORITY,ENGINEERING_INTERFACE_ONLY,2025-05-07,2025-05-07,0.8,per_unit,UNKNOWN,https://swp.energex.com.au/upload/technical_documents/20250527_071841_257532.pdf,Energex/Ergon Joint Supply & Planning Manual,C_DNSP,C,2026-09-01,,Official DNSP planning manual assigns a 0.8 loading-limit factor to dual 1000 kVA commercial outdoor transformers and explains that headroom supports load growth; used only for the IEEE123 engineering interface main assumption.,A,,
