date,decision_type,entity_id,before_1R,after_2R,delta,slot,timestamp_AEST
2025-05-19,AIDC_assignment,9020435,"{""AIDC_site"":""AIDC04"",""Rack_label"":""AIDC04_LP01"",""compute_segments"":[{""end"":154,""site"":""AIDC04"",""start"":113}],""end_slot"":154,""post_H_site"":""AIDC04"",""start_slot"":113}","{""AIDC_site"":""AIDC10"",""Rack_label"":""AIDC10_LP01"",""compute_segments"":[{""end"":154,""site"":""AIDC10"",""start"":113}],""end_slot"":154,""post_H_site"":""AIDC10"",""start_slot"":113}",,,
2025-05-19,AIDC_assignment,9020585,"{""AIDC_site"":""AIDC10"",""Rack_label"":""AIDC10_LP01"",""compute_segments"":[{""end"":154,""site"":""AIDC10"",""start"":113}],""end_slot"":154,""post_H_site"":""AIDC10"",""start_slot"":113}","{""AIDC_site"":""AIDC01"",""Rack_label"":""AIDC01_LP01"",""compute_segments"":[{""end"":115,""site"":""AIDC10"",""start"":113},{""end"":156,""site"":""AIDC01"",""start"":117}],""end_slot"":156,""post_H_site"":""AIDC01"",""start_slot"":113}",,,
2025-05-19,migration,9020585,"{""migration_events"":[],""migration_selected"":false}","{""migration_events"":[{""bytes_axis_origin"":""OPERATING_DAY"",""bytes_by_slot"":[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80000000000,0,0,0,0],""checkpoint"":115,""destination_AIDC"":""AIDC01"",""fixed_path_id"":""OD10_01_FIXED"",""fixed_path_links"":[""LOSAng--SNVAng"",""HSTNng--LOSAng"",""ATLAng--HSTNng"",""ATLAM5--ATLAng""],""interruption_end"":117,""interruption_start"":115,""job_uid"":""9020585"",""path_selection_decisions"":0,""payload_bytes"":80000000000,""ready"":116,""restart_end"":117,""slot_origin"":""D_MINUS_1_ISSUE"",""source_AIDC"":""AIDC10"",""transfer_end"":116,""transfer_start"":115}],""migration_selected"":true}",,,
2025-05-19,AIDC_assignment,9020593,"{""AIDC_site"":""AIDC10"",""Rack_label"":""AIDC10_LP01"",""compute_segments"":[{""end"":154,""site"":""AIDC10"",""start"":113}],""end_slot"":154,""post_H_site"":""AIDC10"",""start_slot"":113}","{""AIDC_site"":""AIDC10"",""Rack_label"":""AIDC10_LP01"",""compute_segments"":[{""end"":115,""site"":""AIDC04"",""start"":113},{""end"":157,""site"":""AIDC10"",""start"":118}],""end_slot"":157,""post_H_site"":""AIDC10"",""start_slot"":113}",,,
2025-05-19,migration,9020593,"{""migration_events"":[],""migration_selected"":false}","{""migration_events"":[{""bytes_axis_origin"":""OPERATING_DAY"",""bytes_by_slot"":[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80000000000,0,0,0],""checkpoint"":115,""destination_AIDC"":""AIDC10"",""fixed_path_id"":""OD04_10_FIXED"",""fixed_path_links"":[""DNVRng--SNVAng""],""interruption_end"":118,""interruption_start"":115,""job_uid"":""9020593"",""path_selection_decisions"":0,""payload_bytes"":80000000000,""ready"":117,""restart_end"":118,""slot_origin"":""D_MINUS_1_ISSUE"",""source_AIDC"":""AIDC04"",""transfer_end"":117,""transfer_start"":116}],""migration_selected"":true}",,,
2025-05-19,AIDC_assignment,9020596,"{""AIDC_site"":""AIDC10"",""Rack_label"":""AIDC10_LP01"",""compute_segments"":[{""end"":154,""site"":""AIDC10"",""start"":113}],""end_slot"":154,""post_H_site"":""AIDC10"",""start_slot"":113}","{""AIDC_site"":""AIDC11"",""Rack_label"":""AIDC11_LP01"",""compute_segments"":[{""end"":115,""site"":""AIDC10"",""start"":113},{""end"":158,""site"":""AIDC11"",""start"":119}],""end_slot"":158,""post_H_site"":""AIDC11"",""start_slot"":113}",,,
2025-05-19,migration,9020596,"{""migration_events"":[],""migration_selected"":false}","{""migration_events"":[{""bytes_axis_origin"":""OPERATING_DAY"",""bytes_by_slot"":[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80000000000,0,0],""checkpoint"":115,""destination_AIDC"":""AIDC11"",""fixed_path_id"":""OD10_11_FIXED"",""fixed_path_links"":[""SNVAng--STTLng""],""interruption_end"":119,""interruption_start"":115,""job_uid"":""9020596"",""path_selection_decisions"":0,""payload_bytes"":80000000000,""ready"":118,""restart_end"":119,""slot_origin"":""D_MINUS_1_ISSUE"",""source_AIDC"":""AIDC10"",""transfer_end"":118,""transfer_start"":117}],""migration_selected"":true}",,,
2025-05-19,AIDC_assignment,9020634,"{""AIDC_site"":""AIDC01"",""Rack_label"":""AIDC01_LP01"",""compute_segments"":[{""end"":158,""site"":""AIDC01"",""start"":117}],""end_slot"":158,""post_H_site"":""AIDC01"",""start_slot"":117}","{""AIDC_site"":""AIDC04"",""Rack_label"":""AIDC04_LP01"",""compute_segments"":[{""end"":158,""site"":""AIDC04"",""start"":117}],""end_slot"":158,""post_H_site"":""AIDC04"",""start_slot"":117}",,,
2025-05-19,AIDC_assignment,9020639,"{""AIDC_site"":""AIDC07"",""Rack_label"":""AIDC07_LP01"",""compute_segments"":[{""end"":160,""site"":""AIDC07"",""start"":119}],""end_slot"":160,""post_H_site"":""AIDC07"",""start_slot"":119}","{""AIDC_site"":""AIDC10"",""Rack_label"":""AIDC10_LP01"",""compute_segments"":[{""end"":160,""site"":""AIDC10"",""start"":119}],""end_slot"":160,""post_H_site"":""AIDC10"",""start_slot"":119}",,,
2025-05-19,AIDC_assignment,9020640,"{""AIDC_site"":""AIDC07"",""Rack_label"":""AIDC07_LP01"",""compute_segments"":[{""end"":160,""site"":""AIDC07"",""start"":119}],""end_slot"":160,""post_H_site"":""AIDC07"",""start_slot"":119}","{""AIDC_site"":""AIDC11"",""Rack_label"":""AIDC11_LP01"",""compute_segments"":[{""end"":160,""site"":""AIDC11"",""start"":119}],""end_slot"":160,""post_H_site"":""AIDC11"",""start_slot"":119}",,,
2025-05-19,AIDC_assignment,9020641,"{""AIDC_site"":""AIDC07"",""Rack_label"":""AIDC07_LP01"",""compute_segments"":[{""end"":160,""site"":""AIDC07"",""start"":119}],""end_slot"":160,""post_H_site"":""AIDC07"",""start_slot"":119}","{""AIDC_site"":""AIDC11"",""Rack_label"":""AIDC11_LP01"",""compute_segments"":[{""end"":160,""site"":""AIDC11"",""start"":119}],""end_slot"":160,""post_H_site"":""AIDC11"",""start_slot"":119}",,,
2025-05-19,AIDC_assignment,9020642,"{""AIDC_site"":""AIDC07"",""Rack_label"":""AIDC07_LP01"",""compute_segments"":[{""end"":160,""site"":""AIDC07"",""start"":119}],""end_slot"":160,""post_H_site"":""AIDC07"",""start_slot"":119}","{""AIDC_site"":""AIDC11"",""Rack_label"":""AIDC11_LP01"",""compute_segments"":[{""end"":160,""site"":""AIDC11"",""start"":119}],""end_slot"":160,""post_H_site"":""AIDC11"",""start_slot"":119}",,,
2025-05-19,AIDC_assignment,9020643,"{""AIDC_site"":""AIDC11"",""Rack_label"":""AIDC11_LP01"",""compute_segments"":[{""end"":160,""site"":""AIDC11"",""start"":119}],""end_slot"":160,""post_H_site"":""AIDC11"",""start_slot"":119}","{""AIDC_site"":""AIDC12"",""Rack_label"":""AIDC12_LP01"",""compute_segments"":[{""end"":160,""site"":""AIDC12"",""start"":119}],""end_slot"":160,""post_H_site"":""AIDC12"",""start_slot"":119}",,,
2025-05-19,AIDC_assignment,9020644,"{""AIDC_site"":""AIDC11"",""Rack_label"":""AIDC11_LP01"",""compute_segments"":[{""end"":160,""site"":""AIDC11"",""start"":119}],""end_slot"":160,""post_H_site"":""AIDC11"",""start_slot"":119}","{""AIDC_site"":""AIDC12"",""Rack_label"":""AIDC12_LP01"",""compute_segments"":[{""end"":160,""site"":""AIDC12"",""start"":119}],""end_slot"":160,""post_H_site"":""AIDC12"",""start_slot"":119}",,,
2025-05-19,AIDC_assignment,9020645,"{""AIDC_site"":""AIDC11"",""Rack_label"":""AIDC11_LP01"",""compute_segments"":[{""end"":160,""site"":""AIDC11"",""start"":119}],""end_slot"":160,""post_H_site"":""AIDC11"",""start_slot"":119}","{""AIDC_site"":""AIDC12"",""Rack_label"":""AIDC12_LP01"",""compute_segments"":[{""end"":160,""site"":""AIDC12"",""start"":119}],""end_slot"":160,""post_H_site"":""AIDC12"",""start_slot"":119}",,,
2025-05-19,AIDC_assignment,9020646,"{""AIDC_site"":""AIDC11"",""Rack_label"":""AIDC11_LP01"",""compute_segments"":[{""end"":160,""site"":""AIDC11"",""start"":119}],""end_slot"":160,""post_H_site"":""AIDC11"",""start_slot"":119}","{""AIDC_site"":""AIDC12"",""Rack_label"":""AIDC12_LP01"",""compute_segments"":[{""end"":160,""site"":""AIDC12"",""start"":119}],""end_slot"":160,""post_H_site"":""AIDC12"",""start_slot"":119}",,,
2025-05-19,AIDC_assignment,9020647,"{""AIDC_site"":""AIDC12"",""Rack_label"":""AIDC12_LP01"",""compute_segments"":[{""end"":160,""site"":""AIDC12"",""start"":119}],""end_slot"":160,""post_H_site"":""AIDC12"",""start_slot"":119}","{""AIDC_site"":""AIDC07"",""Rack_label"":""AIDC07_LP01"",""compute_segments"":[{""end"":160,""site"":""AIDC07"",""start"":119}],""end_slot"":160,""post_H_site"":""AIDC07"",""start_slot"":119}",,,
2025-05-19,AIDC_assignment,9020648,"{""AIDC_site"":""AIDC12"",""Rack_label"":""AIDC12_LP01"",""compute_segments"":[{""end"":160,""site"":""AIDC12"",""start"":119}],""end_slot"":160,""post_H_site"":""AIDC12"",""start_slot"":119}","{""AIDC_site"":""AIDC07"",""Rack_label"":""AIDC07_LP01"",""compute_segments"":[{""end"":160,""site"":""AIDC07"",""start"":119}],""end_slot"":160,""post_H_site"":""AIDC07"",""start_slot"":119}",,,
2025-05-19,AIDC_assignment,9020649,"{""AIDC_site"":""AIDC12"",""Rack_label"":""AIDC12_LP01"",""compute_segments"":[{""end"":160,""site"":""AIDC12"",""start"":119}],""end_slot"":160,""post_H_site"":""AIDC12"",""start_slot"":119}","{""AIDC_site"":""AIDC07"",""Rack_label"":""AIDC07_LP01"",""compute_segments"":[{""end"":160,""site"":""AIDC07"",""start"":119}],""end_slot"":160,""post_H_site"":""AIDC07"",""start_slot"":119}",,,
2025-05-19,AIDC_assignment,9020650,"{""AIDC_site"":""AIDC12"",""Rack_label"":""AIDC12_LP01"",""compute_segments"":[{""end"":160,""site"":""AIDC12"",""start"":119}],""end_slot"":160,""post_H_site"":""AIDC12"",""start_slot"":119}","{""AIDC_site"":""AIDC07"",""Rack_label"":""AIDC07_LP01"",""compute_segments"":[{""end"":160,""site"":""AIDC07"",""start"":119}],""end_slot"":160,""post_H_site"":""AIDC07"",""start_slot"":119}",,,
2025-05-21,AIDC_assignment,9062155,"{""AIDC_site"":""AIDC10"",""Rack_label"":""AIDC10_LP01"",""compute_segments"":[{""end"":26,""site"":""AIDC05"",""start"":0},{""end"":198,""site"":""AIDC10"",""start"":40}],""end_slot"":198,""post_H_site"":""AIDC10"",""start_slot"":0}","{""AIDC_site"":""AIDC05"",""Rack_label"":""AIDC05_LP01"",""compute_segments"":[{""end"":184,""site"":""AIDC05"",""start"":0}],""end_slot"":184,""post_H_site"":""AIDC05"",""start_slot"":0}",,,
2025-05-21,migration,9062155,"{""migration_events"":[{""bytes_axis_origin"":""OPERATING_DAY"",""bytes_by_slot"":[0,0,0,0,0,0,0,0,0,0,0,0,1116000000000,1116000000000,328000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],""checkpoint"":26,""destination_AIDC"":""AIDC10"",""fixed_path_id"":""OD05_10_FIXED"",""fixed_path_links"":[""HSTNng--LOSAng"",""LOSAng--SNVAng""],""interruption_end"":40,""interruption_start"":26,""job_uid"":""9062155"",""path_selection_decisions"":0,""payload_bytes"":2560000000000,""ready"":39,""restart_end"":40,""slot_origin"":""D_MINUS_1_ISSUE"",""source_AIDC"":""AIDC05"",""transfer_end"":39,""transfer_start"":36}],""migration_selected"":true}","{""migration_events"":[],""migration_selected"":false}",,,
2025-05-21,AIDC_assignment,9062156,"{""AIDC_site"":""AIDC08"",""Rack_label"":""AIDC08_LP01"",""compute_segments"":[{""end"":185,""site"":""AIDC08"",""start"":0}],""end_slot"":185,""post_H_site"":""AIDC08"",""start_slot"":0}","{""AIDC_site"":""AIDC10"",""Rack_label"":""AIDC10_LP01"",""compute_segments"":[{""end"":25,""site"":""AIDC08"",""start"":0},{""end"":200,""site"":""AIDC10"",""start"":40}],""end_slot"":200,""post_H_site"":""AIDC10"",""start_slot"":0}",,,
2025-05-21,migration,9062156,"{""migration_events"":[],""migration_selected"":false}","{""migration_events"":[{""bytes_axis_origin"":""OPERATING_DAY"",""bytes_by_slot"":[0,0,0,0,0,0,0,0,0,0,0,0,1116000000000,1116000000000,328000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],""checkpoint"":25,""destination_AIDC"":""AIDC10"",""fixed_path_id"":""OD08_10_FIXED"",""fixed_path_links"":[""LOSAng--SNVAng""],""interruption_end"":40,""interruption_start"":25,""job_uid"":""9062156"",""path_selection_decisions"":0,""payload_bytes"":2560000000000,""ready"":39,""restart_end"":40,""slot_origin"":""D_MINUS_1_ISSUE"",""source_AIDC"":""AIDC08"",""transfer_end"":39,""transfer_start"":36}],""migration_selected"":true}",,,
2025-05-21,AIDC_assignment,9062160,"{""AIDC_site"":""AIDC05"",""Rack_label"":""AIDC05_LP01"",""compute_segments"":[{""end"":25,""site"":""AIDC11"",""start"":0},{""end"":210,""site"":""AIDC05"",""start"":46}],""end_slot"":210,""post_H_site"":""AIDC05"",""start_slot"":0}","{""AIDC_site"":""AIDC08"",""Rack_label"":""AIDC08_LP01"",""compute_segments"":[{""end"":25,""site"":""AIDC11"",""start"":0},{""end"":210,""site"":""AIDC08"",""start"":46}],""end_slot"":210,""post_H_site"":""AIDC08"",""start_slot"":0}",,,
2025-05-21,migration,9062160,"{""migration_events"":[{""bytes_axis_origin"":""OPERATING_DAY"",""bytes_by_slot"":[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1116000000000,1116000000000,328000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],""checkpoint"":25,""destination_AIDC"":""AIDC05"",""fixed_path_id"":""OD11_05_FIXED"",""fixed_path_links"":[""DNVRng--STTLng"",""DNVRng--KSCYng"",""HSTNng--KSCYng""],""interruption_end"":46,""interruption_start"":25,""job_uid"":""9062160"",""path_selection_decisions"":0,""payload_bytes"":2560000000000,""ready"":45,""restart_end"":46,""slot_origin"":""D_MINUS_1_ISSUE"",""source_AIDC"":""AIDC11"",""transfer_end"":45,""transfer_start"":42}],""migration_selected"":true}","{""migration_events"":[{""bytes_axis_origin"":""OPERATING_DAY"",""bytes_by_slot"":[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1116000000000,1116000000000,328000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],""checkpoint"":25,""destination_AIDC"":""AIDC08"",""fixed_path_id"":""OD11_08_FIXED"",""fixed_path_links"":[""SNVAng--STTLng"",""LOSAng--SNVAng""],""interruption_end"":46,""interruption_start"":25,""job_uid"":""9062160"",""path_selection_decisions"":0,""payload_bytes"":2560000000000,""ready"":45,""restart_end"":46,""slot_origin"":""D_MINUS_1_ISSUE"",""source_AIDC"":""AIDC11"",""transfer_end"":45,""transfer_start"":42}],""migration_selected"":true}",,,
2025-05-27,AIDC_assignment,9062395,"{""AIDC_site"":""AIDC05"",""Rack_label"":""AIDC05_LP01"",""compute_segments"":[{""end"":24,""site"":""AIDC01"",""start"":0},{""end"":179,""site"":""AIDC05"",""start"":31}],""end_slot"":179,""post_H_site"":""AIDC05"",""start_slot"":0}","{""AIDC_site"":""AIDC12"",""Rack_label"":""AIDC12_LP01"",""compute_segments"":[{""end"":24,""site"":""AIDC01"",""start"":0},{""end"":179,""site"":""AIDC12"",""start"":31}],""end_slot"":179,""post_H_site"":""AIDC12"",""start_slot"":0}",,,
2025-05-27,migration,9062395,"{""migration_events"":[{""bytes_axis_origin"":""OPERATING_DAY"",""bytes_by_slot"":[0,0,0,1116000000000,1116000000000,328000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],""checkpoint"":24,""destination_AIDC"":""AIDC05"",""fixed_path_id"":""OD01_05_FIXED"",""fixed_path_links"":[""ATLAM5--ATLAng"",""ATLAng--HSTNng""],""interruption_end"":31,""interruption_start"":24,""job_uid"":""9062395"",""path_selection_decisions"":0,""payload_bytes"":2560000000000,""ready"":30,""restart_end"":31,""slot_origin"":""D_MINUS_1_ISSUE"",""source_AIDC"":""AIDC01"",""transfer_end"":30,""transfer_start"":27}],""migration_selected"":true}","{""migration_events"":[{""bytes_axis_origin"":""OPERATING_DAY"",""bytes_by_slot"":[0,0,0,1116000000000,1116000000000,328000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],""checkpoint"":24,""destination_AIDC"":""AIDC12"",""fixed_path_id"":""OD01_12_FIXED"",""fixed_path_links"":[""ATLAM5--ATLAng"",""ATLAng--WASHng""],""interruption_end"":31,""interruption_start"":24,""job_uid"":""9062395"",""path_selection_decisions"":0,""payload_bytes"":2560000000000,""ready"":30,""restart_end"":31,""slot_origin"":""D_MINUS_1_ISSUE"",""source_AIDC"":""AIDC01"",""transfer_end"":30,""transfer_start"":27}],""migration_selected"":true}",,,
